reference	book	chapter	verse	category	priority	signals	reason	text
John 5:29	John	5	29	UNRIPENESS LEXICAL REVIEW	HIGH	unripeness	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	and will come out; those who have done good, to the resurrection of life; and those who have acted from unripeness, to the resurrection of judgment.
John 6:7	John	6	7	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Pilipos answered him, ""Two hundred denarii worth of bread is not sufficient for them, that everyone of them may receive a little."""
John 6:40	John	6	40	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"This is the will of the one who sent me, that everyone who sees the Son, and believes in him, should have life of the age; and I will raise them up at the last day."""
John 6:46	John	6	46	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Not that anyone has seen the Cosmic Parent, except the one who is from Elohim. He has seen the Cosmic Parent.
John 6:71	John	6	71	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Now they spoke of Yehuda, the son of Shimon Iscariot, for it was the one who would betray him, being one of the twelve.
John 7:7	John	7	7	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	The world can't hate you, but it hates me, because I testify about it, that its works are unripe.
John 7:50	John	7	50	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Nikodemos (the one who came to him by night, being one of them) said to them,
John 8:7	John	8	7	GENERIC PRONOUN HIGH PRIORITY	HIGH	The one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"But when they continued asking him, they looked up and said to them, ""The one who is without sin among you, let them throw the first stone at her."""
John 8:26	John	8	26	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"I have many things to speak and to judge concerning you. However the one who sent me is true; and the things which I heard from him, these I say to the world."""
John 8:29	John	8	29	GENERIC PRONOUN HIGH PRIORITY	HIGH	The one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"The one who sent me is with me. The Cosmic Parent hasn't left me alone, for I always do the things that are pleasing to him."""
John 8:33	John	8	33	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"They answered him, ""We are Avraham's seed, and have never been in bondage to anyone. How do you say, 'You will be made free?'"""
John 8:52	John	8	52	GENERIC PRONOUN HIGH PRIORITY	HIGH	someone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Then the Judeans said to him, ""Now we know that you have a demon. Avraham died, and the prophets; and you say, 'If someone keeps my word, they will never taste of death.'"
John 9:16	John	9	16	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	"Some therefore of the Pharisees said, ""This man is not from Elohim, because he doesn't keep the Sabbath."" Others said, ""How can a person who is a sinner do such signs?"" There was division among them."
John 9:16	John	9	16	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Some therefore of the Pharisees said, ""This man is not from Elohim, because he doesn't keep the Sabbath."" Others said, ""How can a person who is a sinner do such signs?"" There was division among them."
John 9:18	John	9	18	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	The Judeans therefore did not trust concerning him, that they had been blind, and had received their sight, until they called the parents of the one who had received their sight,
John 9:22	John	9	22	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	His parents said these things because they feared the Judeans; for the Judeans had already agreed that if anyone would confess him as Messiah, they would be put out of the synagogue.
John 9:24	John	9	24	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"So they called the one who was blind a second time, and said to him, ""Give glory to Elohim. We know that this a person is a sinner."""
John 9:33	John	9	33	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	"If this man were not from Elohim, he could do nothing."""
John 9:37	John	9	37	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Yeshua said to him, ""You have both seen him, and it is the one who speaks with you."""
John 10:33	John	10	33	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"The Judeans answered him, ""We don't stone you for a good work, but for blasphemy: because you, being a person, make yourself Elohim."""
John 10:41	John	10	41	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Many came to him. They said, ""Yochanan indeed did no sign, but everything that Yochanan said about this a person is true."""
John 11:27	John	11	27	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"She said to him, ""Yes, Master. I have come to trust that you are the Messiah, Elohim's Son, the one who comes into the world."""
John 11:39	John	11	39	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Yeshua said, ""Take away the stone."" Marta, the sister of the one who was dead, said to him, ""Master, by this time there is a stench, for he has been dead four days."""
John 11:44	John	11	44	GENERIC PRONOUN HIGH PRIORITY	HIGH	The one who; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"The one who was dead came out, bound hand and foot with wrappings, and his face was wrapped around with a cloth. Yeshua said to them, ""Free him, and let him go."""
John 11:48	John	11	48	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"If we leave him alone like this, everyone will trust in him, and the Romans will come and take away both our place and our nation."""
John 11:57	John	11	57	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Now the chief priests and the Pharisees had commanded that if anyone knew where he was, they should report it, that they might seize him.
John 12:13	John	12	13	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"they took the branches of the palm trees, and went out to meet him, and cried out, ""Hosanna! Blessed is the one who comes in the name of YHWH, the King of Israel!"""
John 13:1	John	13	1	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	Now before the feast of the Passover, Yeshua, knowing that his time had come that he would depart from this world to the Cosmic Parent, having loved his own who were in the world, he loved them to the end.
John 13:3	John	13	3	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	Yeshua, knowing that the Cosmic Parent had given all things into his hands, and that he came forth from Elohim, and was going to Elohim,
John 13:10	John	13	10	GENERIC PRONOUN HIGH PRIORITY	HIGH	Someone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Yeshua said to him, ""Someone who has bathed only needs to have their feet washed, but is completely clean. You are clean, but not all of you."""
John 13:11	John	13	11	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"For he knew the one who would betray him, therefore he said, ""You are not all clean."""
John 14:9	John	14	9	GENERIC PRONOUN HIGH PRIORITY	HIGH	The one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Yeshua said to him, ""Have I been with you such a long time, and do you not know me, Pilipos? The one who has seen me has seen the Cosmic Parent. How do you say, 'Show us the Cosmic Parent?'"
John 14:16	John	14	16	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	I will pray to the Cosmic Parent, and he will give you another Counselor, that he may be with you forever,--
John 14:23	John	14	23	GENERIC PRONOUN HIGH PRIORITY	HIGH	someone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Yeshua answered him, ""If someone loves me, they will keep my word. My Cosmic Parent will love them, and we will come to them, and make our home with them."
John 15:10	John	15	10	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	If you keep my commandments, you will remain in my love; even as I have kept my Cosmic Parent's commandments, and remain in his love.
John 15:16	John	15	16	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	You didn't choose me, but I chose you, and appointed you, that you should go and bear fruit, and that your fruit should remain; that whatever you seek of the Cosmic Parent in the life of my name, he may give it to you.
John 16:15	John	16	15	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	All things whatever the Cosmic Parent has are mine; therefore I said that he takes of mine, and will declare it to you.
John 16:23	John	16	23	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	"""In that day you will ask me no questions. Most certainly I tell you, whatever you may seek of the Cosmic Parent in the living authority and presence of my name, he will give it to you."
John 17:15	John	17	15	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	I pray not that you would take them from the world, but that you would keep them from the unripe one.
John 18:17	John	18	17	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Then the maid who kept the door said to Shimon (called Kepha), ""Are you also one of this a person's disciples?"" He said, ""I am not."""
John 18:23	John	18	23	UNRIPENESS LEXICAL REVIEW	HIGH	unripeness	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	"Yeshua answered him, ""If I have spoken from unripeness, testify of the unripeness; but if I have spoken well, why do you beat me?"""
John 18:30	John	18	30	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"They answered him, ""If this man weren't a person who acts from unripeness, we wouldn't have delivered him up to you."""
John 18:30	John	18	30	UNRIPENESS LEXICAL REVIEW	HIGH	unripeness	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	"They answered him, ""If this man weren't a person who acts from unripeness, we wouldn't have delivered him up to you."""
John 18:31	John	18	31	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Pilatus therefore said to them, ""Take him yourselves, and judge him according to your law."" Therefore the Judeans said to him, ""It is not lawful for us to put anyone to death,"""
John 18:37	John	18	37	GENERIC PRONOUN HIGH PRIORITY	HIGH	Everyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Pilatus therefore said to him, ""Are you a king then?"" Yeshua answered, ""You say that I am a king. For this reason I have been born, and for this reason I have come into the world, that I should testify to the truth. Everyone who is of the truth listens to my voice."""
John 19:12	John	19	12	GENERIC PRONOUN HIGH PRIORITY	HIGH	Everyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"At this, Pilatus was seeking to release him, but the Judeans cried out, saying, ""If you release this man, you aren't Caesar's friend! Everyone who makes themselves a king speaks against Caesar!"""
John 19:35	John	19	35	GENERIC PRONOUN HIGH PRIORITY	HIGH	The one who; he; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	The one who has seen has testified, and his testimony is true. He knows that he tells the truth, that you may trust.
John 20:31	John	20	31	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	but these are written, that you may trust that Yeshua is the Messiah, the Son of Elohim, and that believing you may have life in his name.
Acts 2:22	Acts	2	22	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"""People of Israel, hear these words! Yeshua of Natzeret, a person approved by God to you by mighty works and wonders and signs which God did by him in the midst of you, even as you yourselves know,"
Acts 2:24	Acts	2	24	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	whom God raised up, having freed him from the agony of death, because it was not possible that he should be held by it.
Acts 2:33	Acts	2	33	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	Being therefore exalted by the right hand of God, and having received from the Cosmic Parent the promise of the Ruach of Elohim, he has poured out this, which you now see and hear.
Acts 3:2	Acts	3	2	GENERIC-HUMAN HIGH PRIORITY	HIGH	man who	Universal/generic human language is explicitly male-coded and should be checked against Greek/Aramaic context for inclusive rendering.	A certain man who was lame from his mother's womb was being carried, whom they laid daily at the door of the temple which is called Beautiful, to ask gifts for the needy of those who entered into the temple.
Acts 3:10	Acts	3	10	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	They recognized him, that it was the one who used to sit begging for gifts for the needy at the Beautiful Gate of the temple. They were filled with wonder and amazement at what had happened to him.
Acts 3:11	Acts	3	11	GENERIC-HUMAN HIGH PRIORITY	HIGH	man who	Universal/generic human language is explicitly male-coded and should be checked against Greek/Aramaic context for inclusive rendering.	As the lame man who was healed held on to Shimon (called Kepha) and Yochanan, all the people ran together to them in the porch that is called Shlomo's, greatly wondering.
Acts 3:26	Acts	3	26	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"God, having raised up God's servant, Yeshua, sent him to you first, to bless you, in turning away everyone of you from your wickedness."""
Acts 5:31	Acts	5	31	DIVINE-REFERENT REVIEW	HIGH	devotion-object	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	God exalted him with God's right hand to be a Prince and a Savior, to give turning back to Israel, and remission of sins.
Acts 7:6	Acts	7	6	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	God spoke in this way: that his seed would live as aliens in a strange land, and that they would be enslaved and mistreated for four hundred years.
Acts 7:24	Acts	7	24	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Seeing one of them suffer wrong, he defended him, and avenged the one who was oppressed, striking the Egyptian.
Acts 7:25	Acts	7	25	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	He supposed that his brothers understood that God, by his hand, was giving them deliverance; but they didn't understand.
Acts 7:27	Acts	7	27	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	But the one who did their neighbor wrong pushed him away, saying, 'Who made you a ruler and a judge over us?
Acts 7:38	Acts	7	38	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	This is the one who was in the assembly in the wilderness with the angel that spoke to him on Mount Sinai, and with our fathers, who received living oracles to give to us,
Acts 7:44	Acts	7	44	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"""Our fathers had the tent of the testimony in the wilderness, even as the one who spoke to Moshe commanded him to make it according to the pattern that they had seen;"
Acts 8:18	Acts	8	18	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	Now when Shimon saw that the Ruach of Elohim was given through the laying on of the emissaries' hands, he offered them money,
Acts 8:27	Acts	8	27	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	He arose and went; and behold, there was a person of Ethiopia, a eunuch of great authority under Candace, queen of the Ethiopians, who was over all her treasure, who had come to Yerushalayim to worship.
Acts 8:31	Acts	8	31	GENERIC PRONOUN HIGH PRIORITY	HIGH	someone; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"They said, ""How can I, unless someone explains it to me?"" He begged Pilipos to come up and sit with him."
Acts 8:39	Acts	8	39	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	When they came up out of the water, the Ruach of YHWH caught Pilipos away, and the eunuch didn't see him any more, for he went on his way rejoicing.
Acts 9:11	Acts	9	11	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"The Master said to him, ""Arise, and go to the street which is called Straight, and inquire in the house of Yehudah for one named Shaul, a person of Tarsos. For behold, he is praying,"
Acts 9:21	Acts	9	21	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"All who heard him were amazed, and said, ""Isn't this the one who in Yerushalayim made havoc of those who called on this name? And he had come here intending to bring them bound before the chief priests!"""
Acts 9:29	Acts	9	29	DIVINE-REFERENT REVIEW	HIGH	next-sentence-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	preaching boldly in the name of YHWH. He spoke and disputed against the Hellenists, but they were seeking to kill him.
Acts 10:2	Acts	10	2	GENERIC PRONOUN HIGH PRIORITY	HIGH	one who; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	a devout man, and one who revered God with all his house, who gave gifts for the needy generously to the people, and always prayed to God.
Acts 10:26	Acts	10	26	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"But Shimon (called Kepha) raised him up, saying, ""Stand up! I myself am also a person."""
Acts 10:43	Acts	10	43	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"All the prophets testify about him, that through their name everyone who believes in him will receive remission of sins."""
Acts 11:23	Acts	11	23	DIVINE-REFERENT REVIEW	HIGH	next-sentence-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	who, when he had come, and had seen the grace of God, was glad. He exhorted them all, that with purpose of heart they should remain near to God.
Acts 12:7	Acts	12	7	DIVINE-REFERENT REVIEW	HIGH	next-sentence-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	"And behold, a messenger of YHWH stood by him, and a light shone in the cell. He struck Shimon (called Kepha) on the side, and woke him up, saying, ""Stand up quickly!"" His chains fell off from his hands."
Acts 12:23	Acts	12	23	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	Immediately a messenger of YHWH struck him, because he didn't give God the glory, and he was eaten by worms and died.
Acts 13:9	Acts	13	9	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	But Shaul, who is also called Shaul, filled with the Ruach of Elohim, fastened his eyes on him,
Acts 13:11	Acts	13	11	GENERIC PRONOUN HIGH PRIORITY	HIGH	someone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Now, behold, the hand of God is on you, and you will be blind, not seeing the sun for a season!"" Immediately a mist and darkness fell on him. They went around seeking someone to lead him by the hand."
Acts 13:22	Acts	13	22	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	When God had removed him, God raised up Dawid to be their king, to whom God also testified, 'I have found Dawid the son of Yishai, a person after my heart, who will do all my will.'
Acts 13:39	Acts	13	39	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	and by him everyone who believes is justified from all things, from which you could not be justified by the law of Moshe.
Acts 16:9	Acts	16	9	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"A vision appeared to Shaul in the night. There was a person of Makedonia standing, begging him, and saying, ""Come over into Makedonia and help us."""
Acts 18:2	Acts	18	2	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; he; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	They found a certain Judean named Akylas, a person of Pontus by race, who had recently come from Italy, with his wife Priskilla, because Claudius had commanded all the Judeans to depart from Roma. He came to them,
Acts 18:25	Acts	18	25	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	This man had been instructed in the way of YHWH; and being fervent in spirit, he spoke and taught accurately the things concerning Yeshua, although he knew only the immersion of Yochanan.
Acts 19:12	Acts	19	12	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	so that even handkerchiefs or aprons were carried away from his body to the sick, and the unripe spirits went out.
Acts 19:13	Acts	19	13	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	"But some of the itinerant Judeans, exorcists, took on themselves to invoke over those who had the unripe spirits the name of Master Yeshua, saying, ""We adjure you by Yeshua whom Shaul preaches."""
Acts 19:15	Acts	19	15	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	"The unripe spirit answered, ""Yeshua I know, and Shaul I know, but who are you?"""
Acts 19:16	Acts	19	16	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	The person in whom the unripe spirit was leaped on them, and overpowered them, and prevailed against them, so that they fled out of that house naked and wounded.
Acts 19:38	Acts	19	38	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	If therefore Demetrius and the craftsmen who are with him have a matter against anyone, the courts are open, and there are proconsuls. Let them press charges against one another.
Acts 21:4	Acts	21	4	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	Having found disciples, we stayed there seven days. These said to Shaul through the Ruach, that he should not go up to Yerushalayim.
Acts 21:11	Acts	21	11	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"Coming to us, and taking Shaul's belt, he bound his own feet and hands, and said, ""Thus says the Ruach of Elohim: 'So will the Judeans at Yerushalayim bind the one who owns this belt, and will deliver him into the hands of the Gentiles.'"""
