reference	testament	decision_change	current_text	proposed_form	proposed_text	semantic_rationale	grammar_check	capitalization_check	spacing_punctuation_check	reviewed	approved	notes
Proverbs 11:27	OT	YES	The one who diligently seeks good seeks favor, but the one who searches after evil, it shall come to them.	brokenness	The one who diligently seeks good seeks favor, but the one who searches after brokenness, it shall come to them.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Proverbs 12:21	OT	YES	No mischief shall happen to the righteous, but the wicked shall be filled with evil.	brokenness	No mischief shall happen to the righteous, but the wicked shall be filled with brokenness.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Proverbs 14:16	OT	YES	A wise person fears, and shuns evil, but the fool is hotheaded and reckless.	brokenness	A wise person fears, and shuns brokenness, but the fool is hotheaded and reckless.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Proverbs 15:3	OT	YES	YHWH's eyes are everywhere, keeping watch on the evil and the good.	broken	YHWH's eyes are everywhere, keeping watch on the broken and the good.	Adjectival/predicate context: use broken rather than the ungrammatical noun modifier brokenness.	PASS	PASS	PASS	☐	☐	
Proverbs 15:28	OT	YES	The heart of the righteous weighs answers, but the mouth of the wicked gushes out evil.	brokenness	The heart of the righteous weighs answers, but the mouth of the wicked gushes out brokenness.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Proverbs 16:4	OT	YES	YHWH has made everything for its own end--yes, even the wicked for the day of evil.	calamity	YHWH has made everything for its own end--yes, even the wicked for the day of calamity.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Proverbs 16:30	OT	YES	One who winks their eyes to plot perversities, one who compresses their lips, is bent on evil.	brokenness	One who winks their eyes to plot perversities, one who compresses their lips, is bent on brokenness.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Proverbs 17:13	OT	YES	Whoever rewards evil for good, evil shall not depart from their house.	harm | harm	Whoever rewards harm for good, harm shall not depart from their house.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Proverbs 20:8	OT	YES	A king who sits on the throne of judgment scatters away all evil with his eyes.	wrongdoing	A king who sits on the throne of judgment scatters away all wrongdoing with his eyes.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	☐	☐	
Proverbs 20:22	OT	YES	"Don't say, ""I will pay back evil."" Wait for YHWH, and YHWH will save you."	harm	"Don't say, ""I will pay back harm."" Wait for YHWH, and YHWH will save you."	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Proverbs 20:30	OT	YES	Wounding blows cleanse away evil, and beatings purge the innermost parts.	brokenness	Wounding blows cleanse away brokenness, and beatings purge the innermost parts.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Proverbs 21:10	OT	YES	The soul of the wicked desires evil; their neighbor finds no mercy in their eyes.	brokenness	The soul of the wicked desires brokenness; their neighbor finds no mercy in their eyes.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Isaiah 5:20	OT	YES	Woe to those who call evil good, and good evil; who put darkness for light, and light for darkness; who put bitter for sweet, and sweet for bitter!	brokenness | brokenness	Woe to those who call brokenness good, and good brokenness; who put darkness for light, and light for darkness; who put bitter for sweet, and sweet for bitter!	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Isaiah 7:15	OT	YES	He shall eat butter and honey when he knows to refuse the evil, and choose the good.	brokenness	He shall eat butter and honey when he knows to refuse the brokenness, and choose the good.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Isaiah 7:16	OT	YES	For before the child knows to refuse the evil, and choose the good, the land whose two kings you abhor shall be forsaken.	brokenness	For before the child knows to refuse the brokenness, and choose the good, the land whose two kings you abhor shall be forsaken.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Isaiah 13:11	OT	YES	I will punish the world for their evil, and the wicked for their iniquity. I will cause the arrogance of the proud to cease, and will humble the haughtiness of the terrible.	brokenness	I will punish the world for their brokenness, and the wicked for their iniquity. I will cause the arrogance of the proud to cease, and will humble the haughtiness of the terrible.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Isaiah 32:7	OT	YES	The ways of the scoundrel are evil. He devises wicked devices to destroy the humble with lying words, even when the needy speaks right.	broken	The ways of the scoundrel are broken. He devises wicked devices to destroy the humble with lying words, even when the needy speaks right.	Adjectival/predicate context: use broken rather than the ungrammatical noun modifier brokenness.	PASS	PASS	PASS	☐	☐	
Isaiah 33:15	OT	YES	The one who walks righteously, and speaks blamelessly; The one who despises the gain of oppressions, who gestures with their hands, refusing to take a bribe, who stops their ears from hearing of blood, and shuts their eyes from looking at evil--	brokenness	The one who walks righteously, and speaks blamelessly; The one who despises the gain of oppressions, who gestures with their hands, refusing to take a bribe, who stops their ears from hearing of blood, and shuts their eyes from looking at brokenness--	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Isaiah 56:2	OT	YES	Blessed is the one who does this, and the child of humanity who holds it fast; who keeps the Sabbath from profaning it, and keeps his hand from doing any evil.	wrong	Blessed is the one who does this, and the child of humanity who holds it fast; who keeps the Sabbath from profaning it, and keeps his hand from doing any wrong.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	☐	☐	
Isaiah 59:7	OT	YES	Their feet run to evil, and they make haste to shed innocent blood: their thoughts are thoughts of iniquity; desolation and destruction are in their paths.	harm	Their feet run to harm, and they make haste to shed innocent blood: their thoughts are thoughts of iniquity; desolation and destruction are in their paths.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Jeremiah 1:14	OT	YES	Then YHWH said to me, Out of the north evil shall break forth on all the inhabitants of the land.	disaster	Then YHWH said to me, Out of the north disaster shall break forth on all the inhabitants of the land.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Jeremiah 2:13	OT	YES	For my people have committed two acts of evil: they have forsaken me, the spring of living waters, and hewed them out cisterns, broken cisterns, that can hold no water.	brokenness	For my people have committed two acts of brokenness: they have forsaken me, the spring of living waters, and hewed them out cisterns, broken cisterns, that can hold no water.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Jeremiah 4:6	OT	YES	Set up a standard toward Tzion: flee for safety, don't stay; for I will bring evil from the north, and a great destruction.	disaster	Set up a standard toward Tzion: flee for safety, don't stay; for I will bring disaster from the north, and a great destruction.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Jeremiah 4:15	OT	YES	For a voice declares from Dan, and publishes evil from the hills of Efrayim:	disaster	For a voice declares from Dan, and publishes disaster from the hills of Efrayim:	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Jeremiah 5:12	OT	YES	They have denied YHWH, and said, It is not YHWH; neither shall evil come on us; neither shall we see sword nor famine:	disaster	They have denied YHWH, and said, It is not YHWH; neither shall disaster come on us; neither shall we see sword nor famine:	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Jeremiah 11:17	OT	YES	For YHWH of Armies, who planted you, has pronounced harm against you, because of the evil of the house of Israel and of the house of Yehudah, which they have worked for themselves in provoking me to anger by offering incense to Baal.	brokenness	For YHWH of Armies, who planted you, has pronounced harm against you, because of the brokenness of the house of Israel and of the house of Yehudah, which they have worked for themselves in provoking me to anger by offering incense to Baal.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Jeremiah 15:11	OT	YES	YHWH said, Most certainly I will strengthen you for good; most certainly I will cause the enemy to make supplication to you in the time of evil and in the time of affliction.	trouble	YHWH said, Most certainly I will strengthen you for good; most certainly I will cause the enemy to make supplication to you in the time of trouble and in the time of affliction.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Jeremiah 17:17	OT	YES	Don't be a terror to me: you are my refuge in the day of evil.	trouble	Don't be a terror to me: you are my refuge in the day of trouble.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Jeremiah 17:18	OT	YES	Let them be disappointed who persecute me, but let not me be disappointed; let them be dismayed, but don't let me be dismayed; bring on them the day of evil, and destroy them with double destruction.	disaster	Let them be disappointed who persecute me, but let not me be disappointed; let them be dismayed, but don't let me be dismayed; bring on them the day of disaster, and destroy them with double destruction.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Jeremiah 18:8	OT	YES	if that nation, concerning which I have spoken, turn from their evil, I will relent from the evil that I thought to do to them.	brokenness | harm	if that nation, concerning which I have spoken, turn from their brokenness, I will relent from the harm that I thought to do to them.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Jeremiah 18:20	OT	YES	Shall evil be recompensed for good? for they have dug a pit for my soul. Remember how I stood before you to speak good for them, to turn away your wrath from them.	harm	Shall harm be recompensed for good? for they have dug a pit for my soul. Remember how I stood before you to speak good for them, to turn away your wrath from them.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Jeremiah 42:6	OT	YES	Whether it be good, or whether it be evil, we will obey the voice of YHWH our God, to whom we send you; that it may be well with us, when we obey the voice of YHWH our God.	harmful	Whether it be good, or whether it be harmful, we will obey the voice of YHWH our God, to whom we send you; that it may be well with us, when we obey the voice of YHWH our God.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Jeremiah 44:2	OT	YES	Thus says YHWH of Armies, the God of Israel: You have seen all the evil that I have brought on Yerushalayim, and on all the cities of Yehudah; and behold, this day they are a desolation, and no one dwells therein,	disaster	Thus says YHWH of Armies, the God of Israel: You have seen all the disaster that I have brought on Yerushalayim, and on all the cities of Yehudah; and behold, this day they are a desolation, and no one dwells therein,	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Jeremiah 44:11	OT	YES	Therefore thus says YHWH of Armies, the God of Israel: Behold, I will set my face against you for evil, even to cut off all Yehudah.	harm	Therefore thus says YHWH of Armies, the God of Israel: Behold, I will set my face against you for harm, even to cut off all Yehudah.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Jeremiah 44:17	OT	YES	But we will certainly perform every word that is gone forth out of our mouth, to burn incense to the queen of the sky, and to pour out drink offerings to her, as we have done, we and our fathers, our kings and our princes, in the cities of Yehudah, and in the streets of Yerushalayim; for then had we plenty of food, and were well, and saw no evil.	trouble	But we will certainly perform every word that is gone forth out of our mouth, to burn incense to the queen of the sky, and to pour out drink offerings to her, as we have done, we and our fathers, our kings and our princes, in the cities of Yehudah, and in the streets of Yerushalayim; for then had we plenty of food, and were well, and saw no trouble.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Jeremiah 51:24	OT	YES	I will render to Bavel and to all the inhabitants of Chaldea all their evil that they have done in Tzion in your sight, says YHWH.	harm	I will render to Bavel and to all the inhabitants of Chaldea all their harm that they have done in Tzion in your sight, says YHWH.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Jeremiah 52:31	OT	NO	It happened in the seven and thirtieth year of the captivity of Jehoiachin king of Yehudah, in the twelfth month, in the five and twentieth day of the month, that Evilmerodach king of Bavel, in the [first] year of his reign, lifted up the head of Jehoiachin king of Yehudah, and brought him forth out of prison;	retain proper name Evilmerodach	It happened in the seven and thirtieth year of the captivity of Jehoiachin king of Yehudah, in the twelfth month, in the five and twentieth day of the month, that Evilmerodach king of Bavel, in the [first] year of his reign, lifted up the head of Jehoiachin king of Yehudah, and brought him forth out of prison;	Proper name, not the lexical word “evil.” Keep unchanged in this terminology audit; any original-name restoration belongs in the separate name workflow.	PASS	PASS	PASS	☐	☐	False positive for evil-family substring matching.
Ezekiel 6:10	OT	YES	They shall know that I am YHWH: I have not said in vain that I would do this evil to them.	harm	They shall know that I am YHWH: I have not said in vain that I would do this harm to them.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Ezekiel 6:11	OT	YES	Thus says YHWH God: Smite with your hand, and stamp with your foot, and say, Alas! because of all the evil abominations of the house of Israel; for they shall fall by the sword, by the famine, and by the pestilence.	broken acts	Thus says YHWH God: Smite with your hand, and stamp with your foot, and say, Alas! because of all the broken acts of the house of Israel; for they shall fall by the sword, by the famine, and by the pestilence.	Adjectival/predicate context: use broken rather than the ungrammatical noun modifier brokenness.	PASS	PASS	PASS	☐	☐	
Ezekiel 38:10	OT	YES	Thus says YHWH God: It shall happen in that day, that things shall come into your mind, and you shall devise an evil plan:	a harmful plan	Thus says YHWH God: It shall happen in that day, that things shall come into your mind, and you shall devise a harmful plan:	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Amos 5:14	OT	YES	Seek good, and not evil, that you may live; and so YHWH, the God of Armies, will be with you, as you say.	brokenness	Seek good, and not brokenness, that you may live; and so YHWH, the God of Armies, will be with you, as you say.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Amos 5:15	OT	YES	"Hate evil, love good, and establish justice in the courts. It may be that YHWH, the God of Armies, will be gracious to the remnant of Yosef."""	brokenness	"Hate brokenness, love good, and establish justice in the courts. It may be that YHWH, the God of Armies, will be gracious to the remnant of Yosef."""	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Micah 3:4	OT	YES	"Then they will cry to YHWH, but YHWH will not answer them. Yes, YHWH will hide YHWH’s face from them at that time, because their deeds were evil."""	broken	"Then they will cry to YHWH, but YHWH will not answer them. Yes, YHWH will hide YHWH’s face from them at that time, because their deeds were broken."""	Adjectival/predicate context: use broken rather than the ungrammatical noun modifier brokenness.	PASS	PASS	PASS	☐	☐	
Micah 7:3	OT	YES	Their hands are on that which is evil to do it diligently. The ruler and judge ask for a bribe; and the powerful man dictates the broken desire of his soul. Thus they conspire together.	wrong	Their hands are on that which is wrong to do it diligently. The ruler and judge ask for a bribe; and the powerful man dictates the broken desire of his soul. Thus they conspire together.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	☐	☐	
Habakkuk 1:13	OT	YES	You who have purer eyes than to see evil, and who cannot look on perversity, why do you tolerate those who deal treacherously, and keep silent when the wicked swallows up the one who is more righteous than they,	brokenness	You who have purer eyes than to see brokenness, and who cannot look on perversity, why do you tolerate those who deal treacherously, and keep silent when the wicked swallows up the one who is more righteous than they,	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Habakkuk 2:9	OT	YES	Woe to the one who gets dishonest gain for their house, that they may set their nest on high, that they may be delivered from the hand of evil!	harm	Woe to the one who gets dishonest gain for their house, that they may set their nest on high, that they may be delivered from the hand of harm!	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Zephaniah 3:15	OT	YES	YHWH has taken away your judgments. YHWH has thrown out your enemy. The King of Israel, YHWH, is in the midst of you. You will not be afraid of evil any more.	harm	YHWH has taken away your judgments. YHWH has thrown out your enemy. The King of Israel, YHWH, is in the midst of you. You will not be afraid of harm any more.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Zechariah 1:4	OT	YES	Don't you be like your fathers, to whom the former prophets proclaimed, saying: Thus says YHWH of Armies, 'Return now from your wrong ways, and from your evil doings;' but they did not hear, nor listen to me, says YHWH.	broken actions	Don't you be like your fathers, to whom the former prophets proclaimed, saying: Thus says YHWH of Armies, 'Return now from your wrong ways, and from your broken actions;' but they did not hear, nor listen to me, says YHWH.	Adjectival/predicate context: use broken rather than the ungrammatical noun modifier brokenness.	PASS	PASS	PASS	☐	☐	
Malachi 1:8	OT	YES	"When you offer the blind for sacrifice, isn't that evil? And when you offer the lame and sick, isn't that evil? Present it now to your governor! Will he be pleased with you? Or will he accept your person?"" says YHWH of Armies."	wrong | wrong	"When you offer the blind for sacrifice, isn't that wrong? And when you offer the lame and sick, isn't that wrong? Present it now to your governor! Will he be pleased with you? Or will he accept your person?"" says YHWH of Armies."	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	☐	☐	
Malachi 2:17	OT	YES	You have wearied YHWH with your words. Yet you say, 'How have we wearied YHWH?' In that you say, 'Everyone who does evil is good in the sight of YHWH, and they delights in them;' or 'Where is the God of justice?'	wrong	You have wearied YHWH with your words. Yet you say, 'How have we wearied YHWH?' In that you say, 'Everyone who does wrong is good in the sight of YHWH, and they delight in them;' or 'Where is the God of justice?'	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	☐	☐	Also correct adjacent agreement: 'they delights' → 'they delight'.
