reference	testament	current_verse	change_evil	proposed_form	proposed_verse	semantic_rationale	grammar_check	capitalization_check	spacing_punctuation_check	historical_pre_cleanup_text	reviewed	approved	editor_notes
Psalms 49:5	OT	Why should I fear in the days of evil, when iniquity at my heels surrounds me?	YES	trouble	Why should I fear in the days of trouble, when iniquity at my heels surrounds me?	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Why should I fear in the days of brokenness, when iniquity at my heels surrounds me?	☐	☐	
Psalms 50:19	OT	"""You give your mouth to evil. Your tongue frames deceit."	YES	brokenness	"""You give your mouth to brokenness. Your tongue frames deceit."	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	"""You give your mouth to brokenness. Your tongue frames deceit."	☐	☐	
Psalms 51:4	OT	Against you, and you only, have I sinned, and done that which is evil in your sight; that you may be proved right when you speak, and justified when you judge.	YES	wrong	Against you, and you only, have I sinned, and done that which is wrong in your sight; that you may be proved right when you speak, and justified when you judge.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	Against you, and you only, have I sinned, and done that which is brokenness in your sight; that you may be proved right when you speak, and justified when you judge.	☐	☐	
Psalms 52:3	OT	You love evil more than good, lying rather than speaking the truth. Selah.	YES	brokenness	You love brokenness more than good, lying rather than speaking the truth. Selah.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	You love brokenness more than good, lying rather than speaking the truth. Selah.	☐	☐	
Psalms 54:5	OT	YHWH will repay the evil to my enemies. Destroy them in your truth.	YES	harm	YHWH will repay the harm to my enemies. Destroy them in your truth.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	YHWH will repay the brokenness to my enemies. Destroy them in your truth.	☐	☐	
Psalms 56:5	OT	All day long they twist my words. All their thoughts are against me for evil.	YES	harm	All day long they twist my words. All their thoughts are against me for harm.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	All day long they twist my words. All their thoughts are against me for brokenness.	☐	☐	
Psalms 64:5	OT	"They encourage themselves in evil plans. They talk about laying snares secretly. They say, ""Who will see them?"""	YES	harmful	"They encourage themselves in harmful plans. They talk about laying snares secretly. They say, ""Who will see them?"""	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	"They encourage themselves in brokenness plans. They talk about laying snares secretly. They say, ""Who will see them?"""	☐	☐	
Psalms 74:3	OT	Lift up your feet to the perpetual ruins, all the evil that the enemy has done in the sanctuary.	YES	harm	Lift up your feet to the perpetual ruins, all the harm that the enemy has done in the sanctuary.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Lift up your feet to the perpetual ruins, all the brokenness that the enemy has done in the sanctuary.	☐	☐	
Psalms 78:49	OT	Elohim threw on them the fierceness of Elohim’s anger, wrath, indignation, and trouble, and a band of angels of evil.	YES	destruction	Elohim threw on them the fierceness of Elohim’s anger, wrath, indignation, and trouble, and a band of angels of destruction.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Elohim threw on them the fierceness of Elohim’s anger, wrath, indignation, and trouble, and a band of angels of brokenness.	☐	☐	
Psalms 90:15	OT	Make us glad for as many days as you have afflicted us, for as many years as we have seen evil.	YES	adversity	Make us glad for as many days as you have afflicted us, for as many years as we have seen adversity.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Make us glad for as many days as you have afflicted us, for as many years as we have seen brokenness.	☐	☐	
Psalms 91:10	OT	no evil shall happen to you, neither shall any plague come near your dwelling.	YES	harm	no harm shall happen to you, neither shall any plague come near your dwelling.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	no brokenness shall happen to you, neither shall any plague come near your dwelling.	☐	☐	
Psalms 97:10	OT	You who love YHWH, hate evil. YHWH preserves the souls of YHWH’s saints. YHWH delivers them out of the hand of the wicked.	YES	brokenness	You who love YHWH, hate brokenness. YHWH preserves the souls of YHWH’s saints. YHWH delivers them out of the hand of the wicked.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	You who love YHWH, hate brokenness. YHWH preserves the souls of YHWH’s saints. YHWH delivers them out of the hand of the wicked.	☐	☐	
Psalms 101:4	OT	A perverse heart will be far from me. I will have nothing to do with evil.	YES	brokenness	A perverse heart will be far from me. I will have nothing to do with brokenness.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	A perverse heart will be far from me. I will have nothing to do with brokenness.	☐	☐	
Psalms 140:8	OT	YHWH, don't grant the desires of the wicked. Don't let their evil plans succeed, or they will become proud. Selah.	YES	harmful	YHWH, don't grant the desires of the wicked. Don't let their harmful plans succeed, or they will become proud. Selah.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	YHWH, don't grant the desires of the wicked. Don't let their brokenness plans succeed, or they will become proud. Selah.	☐	☐	
Psalms 140:11	OT	A malicious speaker won't be established in the earth. Evil will hunt the violent person to overthrow them.	YES	calamity	A malicious speaker won't be established in the earth. Calamity will hunt the violent person to overthrow them.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	A brokenness speaker won't be established in the earth. Brokenness will hunt the violent man to overthrow him.	☐	☐	
Proverbs 1:16	OT	for their feet run to evil. They hurry to shed blood.	YES	harm	for their feet run to harm. They hurry to shed blood.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	for their feet run to brokenness. They hurry to shed blood.	☐	☐	
Proverbs 2:12	OT	to deliver you from the way of evil, from the people who speak perverse things;	YES	brokenness	to deliver you from the way of brokenness, from the people who speak perverse things;	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	to deliver you from the way of brokenness, from the people who speak perverse things;	☐	☐	
Proverbs 2:14	OT	who rejoice to do wrong, and delight in the perverseness of evil;	YES	brokenness	who rejoice to do wrong, and delight in the perverseness of brokenness;	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	who rejoice to do brokenness, and delight in the perverseness of brokenness;	☐	☐	
Proverbs 8:13	OT	Reverence for YHWH is to hate evil. I hate pride, arrogance, the wrong way, and the perverse mouth.	YES	brokenness	Reverence for YHWH is to hate brokenness. I hate pride, arrogance, the wrong way, and the perverse mouth.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	Reverence for YHWH is to hate brokenness. I hate pride, arrogance, the broken way, and the perverse mouth.	☐	☐	
Proverbs 11:19	OT	The one who is truly righteous gets life. The one who pursues evil gets death.	YES	brokenness	The one who is truly righteous gets life. The one who pursues brokenness gets death.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	The one who is truly righteous gets life. The one who pursues brokenness gets death.	☐	☐	
Proverbs 11:27	OT	The one who diligently seeks good seeks favor, but the one who searches after evil, it shall come to them.	YES	brokenness	The one who diligently seeks good seeks favor, but the one who searches after brokenness, it shall come to them.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	The one who diligently seeks good seeks favor, but the one who searches after brokenness, it shall come to them.	☐	☐	
Proverbs 12:21	OT	No mischief shall happen to the righteous, but the wicked shall be filled with evil.	YES	brokenness	No mischief shall happen to the righteous, but the wicked shall be filled with brokenness.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	No mischief shall happen to the righteous, but the wicked shall be filled with brokenness.	☐	☐	
Proverbs 14:16	OT	A wise person fears, and shuns evil, but the fool is hotheaded and reckless.	YES	brokenness	A wise person fears, and shuns brokenness, but the fool is hotheaded and reckless.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	A wise person fears, and shuns brokenness, but the fool is hotheaded and reckless.	☐	☐	
Proverbs 15:3	OT	YHWH's eyes are everywhere, keeping watch on the evil and the good.	YES	broken	YHWH's eyes are everywhere, keeping watch on the broken and the good.	Adjectival/predicate context: use broken rather than the ungrammatical noun modifier brokenness.	PASS	PASS	PASS	YHWH's eyes are everywhere, keeping watch on the brokenness and the good.	☐	☐	
Proverbs 15:28	OT	The heart of the righteous weighs answers, but the mouth of the wicked gushes out evil.	YES	brokenness	The heart of the righteous weighs answers, but the mouth of the wicked gushes out brokenness.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	The heart of the righteous weighs answers, but the mouth of the wicked gushes out brokenness.	☐	☐	
Proverbs 16:4	OT	YHWH has made everything for its own end--yes, even the wicked for the day of evil.	YES	calamity	YHWH has made everything for its own end--yes, even the wicked for the day of calamity.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	YHWH has made everything for its own end--yes, even the wicked for the day of brokenness.	☐	☐	
Proverbs 16:30	OT	One who winks their eyes to plot perversities, one who compresses their lips, is bent on evil.	YES	brokenness	One who winks their eyes to plot perversities, one who compresses their lips, is bent on brokenness.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	One who winks their eyes to plot perversities, one who compresses their lips, is bent on brokenness.	☐	☐	
Proverbs 17:13	OT	Whoever rewards evil for good, evil shall not depart from their house.	YES	harm | harm	Whoever rewards harm for good, harm shall not depart from their house.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Whoever rewards brokenness for good, brokenness shall not depart from their house.	☐	☐	
Proverbs 20:8	OT	A king who sits on the throne of judgment scatters away all evil with his eyes.	YES	wrongdoing	A king who sits on the throne of judgment scatters away all wrongdoing with his eyes.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	A king who sits on the throne of judgment scatters away all brokenness with his eyes.	☐	☐	
Proverbs 20:22	OT	"Don't say, ""I will pay back evil."" Wait for YHWH, and YHWH will save you."	YES	harm	"Don't say, ""I will pay back harm."" Wait for YHWH, and YHWH will save you."	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	"Don't say, ""I will pay back brokenness."" Wait for YHWH, and YHWH will save you."	☐	☐	
Proverbs 20:30	OT	Wounding blows cleanse away evil, and beatings purge the innermost parts.	YES	brokenness	Wounding blows cleanse away brokenness, and beatings purge the innermost parts.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	Wounding blows cleanse away brokenness, and beatings purge the innermost parts.	☐	☐	
Proverbs 21:10	OT	The soul of the wicked desires evil; their neighbor finds no mercy in their eyes.	YES	brokenness	The soul of the wicked desires brokenness; their neighbor finds no mercy in their eyes.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	The soul of the wicked desires brokenness; their neighbor finds no mercy in their eyes.	☐	☐	
Isaiah 5:20	OT	Woe to those who call evil good, and good evil; who put darkness for light, and light for darkness; who put bitter for sweet, and sweet for bitter!	YES	brokenness | brokenness	Woe to those who call brokenness good, and good brokenness; who put darkness for light, and light for darkness; who put bitter for sweet, and sweet for bitter!	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	Woe to those who call brokenness good, and good brokenness; who put darkness for light, and light for darkness; who put bitter for sweet, and sweet for bitter!	☐	☐	
Isaiah 7:15	OT	He shall eat butter and honey when he knows to refuse the evil, and choose the good.	YES	brokenness	He shall eat butter and honey when he knows to refuse the brokenness, and choose the good.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	He shall eat butter and honey when he knows to refuse the brokenness, and choose the good.	☐	☐	
Isaiah 7:16	OT	For before the child knows to refuse the evil, and choose the good, the land whose two kings you abhor shall be forsaken.	YES	brokenness	For before the child knows to refuse the brokenness, and choose the good, the land whose two kings you abhor shall be forsaken.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	For before the child knows to refuse the brokenness, and choose the good, the land whose two kings you abhor shall be forsaken.	☐	☐	
Isaiah 13:11	OT	I will punish the world for their evil, and the wicked for their iniquity. I will cause the arrogance of the proud to cease, and will humble the haughtiness of the terrible.	YES	brokenness	I will punish the world for their brokenness, and the wicked for their iniquity. I will cause the arrogance of the proud to cease, and will humble the haughtiness of the terrible.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	I will punish the world for their brokenness, and the wicked for their iniquity. I will cause the arrogance of the proud to cease, and will humble the haughtiness of the terrible.	☐	☐	
Isaiah 32:7	OT	The ways of the scoundrel are evil. He devises wicked devices to destroy the humble with lying words, even when the needy speaks right.	YES	broken	The ways of the scoundrel are broken. He devises wicked devices to destroy the humble with lying words, even when the needy speaks right.	Adjectival/predicate context: use broken rather than the ungrammatical noun modifier brokenness.	PASS	PASS	PASS	The ways of the scoundrel are brokenness. He devises wicked devices to destroy the humble with lying words, even when the needy speaks right.	☐	☐	
Isaiah 33:15	OT	The one who walks righteously, and speaks blamelessly; The one who despises the gain of oppressions, who gestures with their hands, refusing to take a bribe, who stops their ears from hearing of blood, and shuts their eyes from looking at evil--	YES	brokenness	The one who walks righteously, and speaks blamelessly; The one who despises the gain of oppressions, who gestures with their hands, refusing to take a bribe, who stops their ears from hearing of blood, and shuts their eyes from looking at brokenness--	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	The one who walks righteously, and speaks blamelessly; The one who despises the gain of oppressions, who gestures with their hands, refusing to take a bribe, who stops their ears from hearing of blood, and shuts their eyes from looking at brokenness--	☐	☐	
Isaiah 56:2	OT	Blessed is the one who does this, and the child of humanity who holds it fast; who keeps the Sabbath from profaning it, and keeps his hand from doing any evil.	YES	wrong	Blessed is the one who does this, and the child of humanity who holds it fast; who keeps the Sabbath from profaning it, and keeps his hand from doing any wrong.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	Blessed is the one who does this, and the child of humanity who holds it fast; who keeps the Sabbath from profaning it, and keeps his hand from doing any brokenness.	☐	☐	
Isaiah 59:7	OT	Their feet run to evil, and they make haste to shed innocent blood: their thoughts are thoughts of iniquity; desolation and destruction are in their paths.	YES	harm	Their feet run to harm, and they make haste to shed innocent blood: their thoughts are thoughts of iniquity; desolation and destruction are in their paths.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Their feet run to brokenness, and they make haste to shed innocent blood: their thoughts are thoughts of iniquity; desolation and destruction are in their paths.	☐	☐	
Jeremiah 1:14	OT	Then YHWH said to me, Out of the north evil shall break forth on all the inhabitants of the land.	YES	disaster	Then YHWH said to me, Out of the north disaster shall break forth on all the inhabitants of the land.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Then YHWH said to me, Out of the north brokenness shall break forth on all the inhabitants of the land.	☐	☐	
Jeremiah 2:13	OT	For my people have committed two acts of evil: they have forsaken me, the spring of living waters, and hewed them out cisterns, broken cisterns, that can hold no water.	YES	brokenness	For my people have committed two acts of brokenness: they have forsaken me, the spring of living waters, and hewed them out cisterns, broken cisterns, that can hold no water.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	For my people have committed two acts of brokenness: they have forsaken me, the spring of living waters, and hewed them out cisterns, broken cisterns, that can hold no water.	☐	☐	
Jeremiah 4:6	OT	Set up a standard toward Tzion: flee for safety, don't stay; for I will bring evil from the north, and a great destruction.	YES	disaster	Set up a standard toward Tzion: flee for safety, don't stay; for I will bring disaster from the north, and a great destruction.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Set up a standard toward Tzion: flee for safety, don't stay; for I will bring brokenness from the north, and a great destruction.	☐	☐	
Jeremiah 4:15	OT	For a voice declares from Dan, and publishes evil from the hills of Efrayim:	YES	disaster	For a voice declares from Dan, and publishes disaster from the hills of Efrayim:	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	For a voice declares from Dan, and publishes brokenness from the hills of Efrayim:	☐	☐	
Jeremiah 5:12	OT	They have denied YHWH, and said, It is not YHWH; neither shall evil come on us; neither shall we see sword nor famine:	YES	disaster	They have denied YHWH, and said, It is not YHWH; neither shall disaster come on us; neither shall we see sword nor famine:	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	They have denied YHWH, and said, It is not YHWH; neither shall brokenness come on us; neither shall we see sword nor famine:	☐	☐	
Jeremiah 11:17	OT	For YHWH of Armies, who planted you, has pronounced harm against you, because of the evil of the house of Israel and of the house of Yehudah, which they have worked for themselves in provoking me to anger by offering incense to Baal.	YES	brokenness	For YHWH of Armies, who planted you, has pronounced harm against you, because of the brokenness of the house of Israel and of the house of Yehudah, which they have worked for themselves in provoking me to anger by offering incense to Baal.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	For YHWH of Armies, who planted you, has pronounced brokenness against you, because of the brokenness of the house of Israel and of the house of Yehudah, which they have worked for themselves in provoking me to anger by offering incense to Baal.	☐	☐	
Jeremiah 15:11	OT	YHWH said, Most certainly I will strengthen you for good; most certainly I will cause the enemy to make supplication to you in the time of evil and in the time of affliction.	YES	trouble	YHWH said, Most certainly I will strengthen you for good; most certainly I will cause the enemy to make supplication to you in the time of trouble and in the time of affliction.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	YHWH said, Most certainly I will strengthen you for good; most certainly I will cause the enemy to make supplication to you in the time of brokenness and in the time of affliction.	☐	☐	
Jeremiah 17:17	OT	Don't be a terror to me: you are my refuge in the day of evil.	YES	trouble	Don't be a terror to me: you are my refuge in the day of trouble.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Don't be a terror to me: you are my refuge in the day of brokenness.	☐	☐	
Jeremiah 17:18	OT	Let them be disappointed who persecute me, but let not me be disappointed; let them be dismayed, but don't let me be dismayed; bring on them the day of evil, and destroy them with double destruction.	YES	disaster	Let them be disappointed who persecute me, but let not me be disappointed; let them be dismayed, but don't let me be dismayed; bring on them the day of disaster, and destroy them with double destruction.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Let them be disappointed who persecute me, but let not me be disappointed; let them be dismayed, but don't let me be dismayed; bring on them the day of brokenness, and destroy them with double destruction.	☐	☐	
Jeremiah 18:8	OT	if that nation, concerning which I have spoken, turn from their evil, I will relent from the evil that I thought to do to them.	YES	brokenness | harm	if that nation, concerning which I have spoken, turn from their brokenness, I will relent from the harm that I thought to do to them.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	if that nation, concerning which I have spoken, turn from their brokenness, I will relent from the brokenness that I thought to do to them.	☐	☐	
Jeremiah 18:20	OT	Shall evil be recompensed for good? for they have dug a pit for my soul. Remember how I stood before you to speak good for them, to turn away your wrath from them.	YES	harm	Shall harm be recompensed for good? for they have dug a pit for my soul. Remember how I stood before you to speak good for them, to turn away your wrath from them.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Shall brokenness be recompensed for good? for they have dug a pit for my soul. Remember how I stood before you to speak good for them, to turn away your wrath from them.	☐	☐	
Jeremiah 42:6	OT	Whether it be good, or whether it be evil, we will obey the voice of YHWH our God, to whom we send you; that it may be well with us, when we obey the voice of YHWH our God.	YES	harmful	Whether it be good, or whether it be harmful, we will obey the voice of YHWH our God, to whom we send you; that it may be well with us, when we obey the voice of YHWH our God.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Whether it be good, or whether it be brokenness, we will obey the voice of YHWH our God, to whom we send you; that it may be well with us, when we obey the voice of YHWH our God.	☐	☐	
Jeremiah 44:2	OT	Thus says YHWH of Armies, the God of Israel: You have seen all the evil that I have brought on Yerushalayim, and on all the cities of Yehudah; and behold, this day they are a desolation, and no one dwells therein,	YES	disaster	Thus says YHWH of Armies, the God of Israel: You have seen all the disaster that I have brought on Yerushalayim, and on all the cities of Yehudah; and behold, this day they are a desolation, and no one dwells therein,	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Thus says YHWH of Armies, the God of Israel: You have seen all the brokenness that I have brought on Yerushalayim, and on all the cities of Yehudah; and behold, this day they are a desolation, and no one dwells therein,	☐	☐	
Jeremiah 44:11	OT	Therefore thus says YHWH of Armies, the God of Israel: Behold, I will set my face against you for evil, even to cut off all Yehudah.	YES	harm	Therefore thus says YHWH of Armies, the God of Israel: Behold, I will set my face against you for harm, even to cut off all Yehudah.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Therefore thus says YHWH of Armies, the God of Israel: Behold, I will set my face against you for brokenness, even to cut off all Yehudah.	☐	☐	
Jeremiah 44:17	OT	But we will certainly perform every word that is gone forth out of our mouth, to burn incense to the queen of the sky, and to pour out drink offerings to her, as we have done, we and our fathers, our kings and our princes, in the cities of Yehudah, and in the streets of Yerushalayim; for then had we plenty of food, and were well, and saw no evil.	YES	trouble	But we will certainly perform every word that is gone forth out of our mouth, to burn incense to the queen of the sky, and to pour out drink offerings to her, as we have done, we and our fathers, our kings and our princes, in the cities of Yehudah, and in the streets of Yerushalayim; for then had we plenty of food, and were well, and saw no trouble.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	But we will certainly perform every word that is gone forth out of our mouth, to burn incense to the queen of the sky, and to pour out drink offerings to her, as we have done, we and our fathers, our kings and our princes, in the cities of Yehudah, and in the streets of Yerushalayim; for then had we plenty of food, and were well, and saw no brokenness.	☐	☐	
Jeremiah 51:24	OT	I will render to Bavel and to all the inhabitants of Chaldea all their evil that they have done in Tzion in your sight, says YHWH.	YES	harm	I will render to Bavel and to all the inhabitants of Chaldea all their harm that they have done in Tzion in your sight, says YHWH.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	I will render to Bavel and to all the inhabitants of Chaldea all their brokenness that they have done in Tzion in your sight, says YHWH.	☐	☐	
Ezekiel 6:10	OT	They shall know that I am YHWH: I have not said in vain that I would do this evil to them.	YES	harm	They shall know that I am YHWH: I have not said in vain that I would do this harm to them.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	They shall know that I am YHWH: I have not said in vain that I would do this brokenness to them.	☐	☐	
Ezekiel 6:11	OT	Thus says YHWH God: Smite with your hand, and stamp with your foot, and say, Alas! because of all the evil abominations of the house of Israel; for they shall fall by the sword, by the famine, and by the pestilence.	YES	broken acts	Thus says YHWH God: Smite with your hand, and stamp with your foot, and say, Alas! because of all the broken acts of the house of Israel; for they shall fall by the sword, by the famine, and by the pestilence.	Adjectival/predicate context: use broken rather than the ungrammatical noun modifier brokenness.	PASS	PASS	PASS	Thus says YHWH God: Smite with your hand, and stamp with your foot, and say, Alas! because of all the brokenness abominations of the house of Israel; for they shall fall by the sword, by the famine, and by the pestilence.	☐	☐	
Ezekiel 38:10	OT	Thus says YHWH God: It shall happen in that day, that things shall come into your mind, and you shall devise an evil plan:	YES	a harmful plan	Thus says YHWH God: It shall happen in that day, that things shall come into your mind, and you shall devise a harmful plan:	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Thus says YHWH God: It shall happen in that day, that things shall come into your mind, and you shall devise a brokenness device:	☐	☐	
Amos 5:14	OT	Seek good, and not evil, that you may live; and so YHWH, the God of Armies, will be with you, as you say.	YES	brokenness	Seek good, and not brokenness, that you may live; and so YHWH, the God of Armies, will be with you, as you say.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	Seek good, and not brokenness, that you may live; and so YHWH, the God of Armies, will be with you, as you say.	☐	☐	
Amos 5:15	OT	"Hate evil, love good, and establish justice in the courts. It may be that YHWH, the God of Armies, will be gracious to the remnant of Yosef."""	YES	brokenness	"Hate brokenness, love good, and establish justice in the courts. It may be that YHWH, the God of Armies, will be gracious to the remnant of Yosef."""	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	"Hate brokenness, love good, and establish justice in the courts. It may be that YHWH, the God of Armies, will be gracious to the remnant of Yosef."""	☐	☐	
Micah 3:4	OT	"Then they will cry to YHWH, but YHWH will not answer them. Yes, YHWH will hide YHWH’s face from them at that time, because their deeds were evil."""	YES	broken	"Then they will cry to YHWH, but YHWH will not answer them. Yes, YHWH will hide YHWH’s face from them at that time, because their deeds were broken."""	Adjectival/predicate context: use broken rather than the ungrammatical noun modifier brokenness.	PASS	PASS	PASS	"Then they will cry to YHWH, but YHWH will not answer them. Yes, YHWH will hide YHWH’s face from them at that time, because they made their deeds brokenness."""	☐	☐	
Micah 7:3	OT	Their hands are on that which is evil to do it diligently. The ruler and judge ask for a bribe; and the powerful man dictates the broken desire of his soul. Thus they conspire together.	YES	wrong	Their hands are on that which is wrong to do it diligently. The ruler and judge ask for a bribe; and the powerful man dictates the broken desire of his soul. Thus they conspire together.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	Their hands are on that which is brokenness to do it diligently. The ruler and judge ask for a bribe; and the powerful man dictates the broken desire of his soul. Thus they conspire together.	☐	☐	
Habakkuk 1:13	OT	You who have purer eyes than to see evil, and who cannot look on perversity, why do you tolerate those who deal treacherously, and keep silent when the wicked swallows up the one who is more righteous than they,	YES	brokenness	You who have purer eyes than to see brokenness, and who cannot look on perversity, why do you tolerate those who deal treacherously, and keep silent when the wicked swallows up the one who is more righteous than they,	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	You who have purer eyes than to see brokenness, and who cannot look on perversity, why do you tolerate those who deal treacherously, and keep silent when the wicked swallows up the one who is more righteous than they,	☐	☐	
Habakkuk 2:9	OT	Woe to the one who gets dishonest gain for their house, that they may set their nest on high, that they may be delivered from the hand of evil!	YES	harm	Woe to the one who gets dishonest gain for their house, that they may set their nest on high, that they may be delivered from the hand of harm!	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	Woe to the one who gets a brokenness gain for their house, that they may set their nest on high, that they may be delivered from the hand of brokenness!	☐	☐	
Zephaniah 3:15	OT	YHWH has taken away your judgments. YHWH has thrown out your enemy. The King of Israel, YHWH, is in the midst of you. You will not be afraid of evil any more.	YES	harm	YHWH has taken away your judgments. YHWH has thrown out your enemy. The King of Israel, YHWH, is in the midst of you. You will not be afraid of harm any more.	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	YHWH has taken away your judgments. YHWH has thrown out your enemy. The King of Israel, YHWH, is in the midst of you. You will not be afraid of brokenness any more.	☐	☐	
