reference	testament	book	chapter	verse	matched_terms	current_text
Proverbs 1:16	OT	Proverbs	1	16	evil	for their feet run to evil. They hurry to shed blood.
Proverbs 2:12	OT	Proverbs	2	12	evil	to deliver you from the way of evil, from the people who speak perverse things;
Proverbs 2:14	OT	Proverbs	2	14	evil	who rejoice to do wrong, and delight in the perverseness of evil;
Proverbs 3:20	OT	Proverbs	3	20	broken	By YHWH’s knowledge, the depths were broken up, and the skies drop down the dew.
Proverbs 6:15	OT	Proverbs	6	15	broken	Therefore their calamity will come suddenly. They will be broken suddenly, and that without remedy.
Proverbs 8:13	OT	Proverbs	8	13	evil	Reverence for YHWH is to hate evil. I hate pride, arrogance, the wrong way, and the perverse mouth.
Proverbs 11:6	OT	Proverbs	11	6	broken	The righteousness of the upright shall deliver them, but the unfaithful will be trapped by broken desires.
Proverbs 11:19	OT	Proverbs	11	19	evil	The one who is truly righteous gets life. The one who pursues evil gets death.
Proverbs 11:27	OT	Proverbs	11	27	evil	The one who diligently seeks good seeks favor, but the one who searches after evil, it shall come to them.
Proverbs 12:21	OT	Proverbs	12	21	evil	No mischief shall happen to the righteous, but the wicked shall be filled with evil.
Proverbs 14:16	OT	Proverbs	14	16	evil	A wise person fears, and shuns evil, but the fool is hotheaded and reckless.
Proverbs 15:3	OT	Proverbs	15	3	evil	YHWH's eyes are everywhere, keeping watch on the evil and the good.
Proverbs 15:28	OT	Proverbs	15	28	evil	The heart of the righteous weighs answers, but the mouth of the wicked gushes out evil.
Proverbs 16:4	OT	Proverbs	16	4	evil	YHWH has made everything for its own end--yes, even the wicked for the day of evil.
Proverbs 16:30	OT	Proverbs	16	30	evil	One who winks their eyes to plot perversities, one who compresses their lips, is bent on evil.
Proverbs 17:13	OT	Proverbs	17	13	evil	Whoever rewards evil for good, evil shall not depart from their house.
Proverbs 20:8	OT	Proverbs	20	8	evil	A king who sits on the throne of judgment scatters away all evil with his eyes.
Proverbs 20:22	OT	Proverbs	20	22	evil	"Don't say, ""I will pay back evil."" Wait for YHWH, and YHWH will save you."
Proverbs 20:30	OT	Proverbs	20	30	evil	Wounding blows cleanse away evil, and beatings purge the innermost parts.
Proverbs 21:10	OT	Proverbs	21	10	evil	The soul of the wicked desires evil; their neighbor finds no mercy in their eyes.
Proverbs 24:31	OT	Proverbs	24	31	broken	Behold, it was all grown over with thorns. Its surface was covered with nettles, and its stone wall was broken down.
Proverbs 25:28	OT	Proverbs	25	28	broken	Like a city that is broken down and without walls is a person whose spirit is without restraint.
Proverbs 26:23	OT	Proverbs	26	23	broken	Like silver dross on an earthen vessel are the lips of a fervent one with a broken heart.
Proverbs 28:10	OT	Proverbs	28	10	broken	Whoever causes the upright to go astray in a broken way, they will fall into their own trap; but the blameless will inherit good.
Ecclesiastes 4:12	OT	Ecclesiastes	4	12	broken	If someone prevails against one who is alone, two shall withstand them; and a threefold cord is not quickly broken.
Ecclesiastes 8:3	OT	Ecclesiastes	8	3	broken	Don't be hasty to go out of his presence. Don't persist in a broken thing, for he does whatever pleases him,
Ecclesiastes 12:6	OT	Ecclesiastes	12	6	broken	before the silver cord is severed, or the golden bowl is broken, or the pitcher is broken at the spring, or the wheel broken at the cistern,
Isaiah 5:20	OT	Isaiah	5	20	evil	Woe to those who call evil good, and good evil; who put darkness for light, and light for darkness; who put bitter for sweet, and sweet for bitter!
Isaiah 5:27	OT	Isaiah	5	27	broken	None shall be weary nor stumble among them; none shall slumber nor sleep; neither shall the belt of their waist be untied, nor the latchet of their shoes be broken:
Isaiah 7:8	OT	Isaiah	7	8	broken	For the head of Aram is Dammeseq, and the head of Dammeseq is Rezin; and within sixty-five years Efrayim shall be broken in pieces, so that it shall not be a people;
Isaiah 7:15	OT	Isaiah	7	15	evil	He shall eat butter and honey when he knows to refuse the evil, and choose the good.
Isaiah 7:16	OT	Isaiah	7	16	evil	For before the child knows to refuse the evil, and choose the good, the land whose two kings you abhor shall be forsaken.
Isaiah 8:9	OT	Isaiah	8	9	broken	Make an uproar, you peoples, and be broken in pieces! Listen, all you from far countries: dress for battle, and be shattered! Dress for battle, and be shattered!
Isaiah 8:15	OT	Isaiah	8	15	broken	"Many will stumble over it, fall, be broken, be snared, and be captured."""
Isaiah 9:4	OT	Isaiah	9	4	broken	For the yoke of his burden, and the staff of his shoulder, the rod of his oppressor, you have broken as in the day of Midian.
Isaiah 13:11	OT	Isaiah	13	11	evil	I will punish the world for their evil, and the wicked for their iniquity. I will cause the arrogance of the proud to cease, and will humble the haughtiness of the terrible.
Isaiah 14:5	OT	Isaiah	14	5	broken	YHWH has broken the staff of the wicked, the scepter of the rulers,
Isaiah 14:29	OT	Isaiah	14	29	broken	Don't rejoice, O Philistia, all of you, because the rod that struck you is broken; for out of the serpent's root an adder will emerge, and his fruit will be a fiery flying serpent.
Isaiah 16:8	OT	Isaiah	16	8	broken	For the fields of Heshbon languish with the vine of Sibmah. The lords of the nations have broken down its choice branches, which reached even to Jazer, which wandered into the wilderness. Its shoots were spread abroad. They passed over the sea.
Isaiah 19:10	OT	Isaiah	19	10	broken	The pillars will be broken in pieces. All those who work for hire will be grieved in soul.
Isaiah 21:9	OT	Isaiah	21	9	broken	"Behold, here comes a troop of people, horsemen in pairs."" He answered, ""Fallen, fallen is Bavel; and all the engraved images of her gods are broken to the ground."
Isaiah 24:5	OT	Isaiah	24	5	broken	The earth also is polluted under its inhabitants, because they have transgressed the laws, violated the statutes, and broken the everlasting covenant.
Isaiah 24:10	OT	Isaiah	24	10	broken	The confused city is broken down. Every house is shut up, that no one may come in.
Isaiah 24:19	OT	Isaiah	24	19	broken	The earth is utterly broken. The earth is torn apart. The earth is shaken violently.
Isaiah 27:11	OT	Isaiah	27	11	broken	When its boughs are withered, they will be broken off. The women will come and set them on fire, for they are a people of no understanding. Therefore the one who made them will not have compassion on them, and the one who formed them will show them no favor.
Isaiah 28:13	OT	Isaiah	28	13	broken	Therefore the word of YHWH will be to them precept on precept, precept on precept; line on line, line on line; here a little, there a little; that they may go, fall backward, be broken, be snared, and be taken.
Isaiah 30:14	OT	Isaiah	30	14	broken	"He will break it as a potter's vessel is broken, breaking it in pieces without sparing, so that there won't be found among the broken piece a piece good enough to take fire from the hearth, or to dip up water out of the cistern."""
Isaiah 32:7	OT	Isaiah	32	7	evil	The ways of the scoundrel are evil. He devises wicked devices to destroy the humble with lying words, even when the needy speaks right.
Isaiah 33:8	OT	Isaiah	33	8	broken	The highways are desolate. The traveling man ceases. The covenant is broken. He has despised the cities. He doesn't regard man.
Isaiah 33:15	OT	Isaiah	33	15	evil	The one who walks righteously, and speaks blamelessly; The one who despises the gain of oppressions, who gestures with their hands, refusing to take a bribe, who stops their ears from hearing of blood, and shuts their eyes from looking at evil--
Isaiah 33:20	OT	Isaiah	33	20	broken	Look at Tzion, the city of our appointed festivals. Your eyes will see Yerushalayim, a quiet habitation, a tent that won't be removed. Its stakes will never be plucked up, nor will any of its cords be broken.
Isaiah 56:2	OT	Isaiah	56	2	evil	Blessed is the one who does this, and the child of humanity who holds it fast; who keeps the Sabbath from profaning it, and keeps his hand from doing any evil.
Isaiah 59:7	OT	Isaiah	59	7	evil	Their feet run to evil, and they make haste to shed innocent blood: their thoughts are thoughts of iniquity; desolation and destruction are in their paths.
Isaiah 61:1	OT	Isaiah	61	1	broken	The Ruach of YHWH God is on me; because YHWH has anointed me to preach good news to the humble; he has sent me to bind up the broken-hearted, to proclaim liberty to the captives, and the opening [of the prison] to those who are bound;
Isaiah 65:12	OT	Isaiah	65	12	broken	I will destine you to the sword, and you shall all bow down to the slaughter; because when I called, you did not answer; when I spoke, you did not hear; but you did what was broken in my eyes, and chose that in which I didn't delight.
Isaiah 66:4	OT	Isaiah	66	4	broken	I also will choose their delusions, and will bring their fears on them; because when I called, none did answer; when I spoke, they did not hear: but they did what was broken in my eyes, and chose that in which I didn't delight.
Jeremiah 1:14	OT	Jeremiah	1	14	evil	Then YHWH said to me, Out of the north evil shall break forth on all the inhabitants of the land.
Jeremiah 2:13	OT	Jeremiah	2	13	broken,evil	For my people have committed two acts of evil: they have forsaken me, the spring of living waters, and hewed them out cisterns, broken cisterns, that can hold no water.
Jeremiah 2:16	OT	Jeremiah	2	16	broken	The children also of Memphis and Tahpanhes have broken the crown of your head.
Jeremiah 2:19	OT	Jeremiah	2	19	broken	Your own wickedness shall correct you, and your backsliding shall reprove you: know therefore and see that it is a broken thing and a bitter, that you have forsaken YHWH your God, and that my fear is not in you, says YHWH, YHWH of Armies.
Jeremiah 2:20	OT	Jeremiah	2	20	broken	For of old time I have broken your yoke, and burst your bonds; and you said, I will not serve; for on every high hill and under every green tree you did bow yourself, playing the prostitute.
Jeremiah 2:31	OT	Jeremiah	2	31	broken	Generation, see the word of YHWH. Have I been a wilderness to Israel? or a land of thick darkness? why say my people, We are broken loose; we will come no more to you?
Jeremiah 3:5	OT	Jeremiah	3	5	broken	Will he retain [his anger] forever? will he keep it to the end? Behold, you have spoken and have done broken things, and have had your way.
Jeremiah 3:17	OT	Jeremiah	3	17	broken	At that time they shall call Yerushalayim the throne of YHWH; and all the nations shall be gathered to it, to the name of YHWH, to Yerushalayim: neither shall they walk any more after the stubbornness of their broken heart.
Jeremiah 4:6	OT	Jeremiah	4	6	evil	Set up a standard toward Tzion: flee for safety, don't stay; for I will bring evil from the north, and a great destruction.
Jeremiah 4:14	OT	Jeremiah	4	14	broken	Yerushalayim, wash your heart from wickedness, that you may be saved. How long shall your broken thoughts lodge within you?
Jeremiah 4:15	OT	Jeremiah	4	15	evil	For a voice declares from Dan, and publishes evil from the hills of Efrayim:
Jeremiah 4:26	OT	Jeremiah	4	26	broken	I saw, and behold, the fruitful field was a wilderness, and all the cities of it were broken down at the presence of YHWH, [and] before his fierce anger.
Jeremiah 5:5	OT	Jeremiah	5	5	broken	I will get me to the great people, and will speak to them; for they know the way of YHWH, and the law of their God. But these with one accord have broken the yoke, and burst the bonds.
Jeremiah 5:12	OT	Jeremiah	5	12	evil	They have denied YHWH, and said, It is not YHWH; neither shall evil come on us; neither shall we see sword nor famine:
Jeremiah 7:24	OT	Jeremiah	7	24	broken	But they didn't listen nor turn their ear, but walked in [their own] counsels [and] in the stubbornness of their broken heart, and went backward, and not forward.
Jeremiah 10:20	OT	Jeremiah	10	20	broken	My tent is destroyed, and all my cords are broken: my children are gone forth from me, and they are no more: there is none to spread my tent any more, and to set up my curtains.
Jeremiah 11:8	OT	Jeremiah	11	8	broken	Yet they didn't obey, nor turn their ear, but walked everyone in the stubbornness of their broken heart: therefore I brought on them all the words of this covenant, which I commanded them to do, but they didn't do them.
Jeremiah 11:10	OT	Jeremiah	11	10	broken	They are turned back to the iniquities of their forefathers, who refused to hear my words; and they are gone after other gods to serve them: the house of Israel and the house of Yehudah have broken my covenant which I made with their fathers.
Jeremiah 11:16	OT	Jeremiah	11	16	broken	YHWH called your name, A green olive tree, beautiful with goodly fruit: with the noise of a great tumult he has kindled fire on it, and the branches of it are broken.
Jeremiah 11:17	OT	Jeremiah	11	17	evil	For YHWH of Armies, who planted you, has pronounced harm against you, because of the evil of the house of Israel and of the house of Yehudah, which they have worked for themselves in provoking me to anger by offering incense to Baal.
Jeremiah 14:17	OT	Jeremiah	14	17	broken	You shall say this word to them, Let my eyes run down with tears night and day, and let them not cease; for the virgin daughter of my people is broken with a great breach, with a very grievous wound.
Jeremiah 15:11	OT	Jeremiah	15	11	evil	YHWH said, Most certainly I will strengthen you for good; most certainly I will cause the enemy to make supplication to you in the time of evil and in the time of affliction.
Jeremiah 16:12	OT	Jeremiah	16	12	broken	and you have done wrong more than your fathers; for, behold, you walk every one after the stubbornness of his broken heart, so that you don't listen to me:
Jeremiah 17:17	OT	Jeremiah	17	17	evil	Don't be a terror to me: you are my refuge in the day of evil.
Jeremiah 17:18	OT	Jeremiah	17	18	evil	Let them be disappointed who persecute me, but let not me be disappointed; let them be dismayed, but don't let me be dismayed; bring on them the day of evil, and destroy them with double destruction.
Jeremiah 18:8	OT	Jeremiah	18	8	evil	if that nation, concerning which I have spoken, turn from their evil, I will relent from the evil that I thought to do to them.
Jeremiah 18:12	OT	Jeremiah	18	12	broken	But they say, It is in vain; for we will walk after our own devices, and we will do everyone after the stubbornness of their broken heart.
Jeremiah 18:20	OT	Jeremiah	18	20	evil	Shall evil be recompensed for good? for they have dug a pit for my soul. Remember how I stood before you to speak good for them, to turn away your wrath from them.
Jeremiah 22:28	OT	Jeremiah	22	28	broken	Is this man Coniah a despised broken vessel? is he a vessel in which none delights? why are they cast out, he and his seed, and are cast into the land which they don't know?
Jeremiah 23:9	OT	Jeremiah	23	9	broken	Concerning the prophets. My heart within me is broken, all my bones shake; I am like a drunken man, and like a person whom wine has overcome, because of YHWH, and because of their holy words.
Jeremiah 28:2	OT	Jeremiah	28	2	broken	Thus speaks YHWH of Armies, the God of Israel, saying, I have broken the yoke of the king of Bavel.
Jeremiah 28:12	OT	Jeremiah	28	12	broken	Then the word of YHWH came to Yirmeyahu, after that Hananiah the prophet had broken the bar from off the neck of the prophet Yirmeyahu, saying,
Jeremiah 28:13	OT	Jeremiah	28	13	broken	Go, and tell Hananiah, saying, Thus says YHWH: You have broken the bars of wood; but you have made in their place bars of iron.
Jeremiah 32:30	OT	Jeremiah	32	30	broken	For the children of Israel and the children of Yehudah have done only what was broken in my sight from their youth; for the children of Israel have only provoked me to anger with the work of their hands, says YHWH.
Jeremiah 33:4	OT	Jeremiah	33	4	broken	For thus says YHWH, the God of Israel, concerning the houses of this city, and concerning the houses of the kings of Yehudah, which are broken down [to make a defense] against the mounds and against the sword;
Jeremiah 33:21	OT	Jeremiah	33	21	broken	then may also my covenant be broken with Dawid my servant, that he shall not have a son to reign on his throne; and with the Levites the priests, my ministers.
Jeremiah 35:15	OT	Jeremiah	35	15	broken	I have sent also to you all my servants the prophets, rising up early and sending them, saying, Return you now everyone from their broken way, and amend your doings, and don't go after other gods to serve them, and you shall dwell in the land which I have given to you and to your fathers: but you have not inclined your ear, nor listened to me.
Jeremiah 36:7	OT	Jeremiah	36	7	broken	It may be they will present their supplication before YHWH, and will return everyone from their broken way; for great is the anger and the wrath that YHWH has pronounced against this people.
Jeremiah 37:11	OT	Jeremiah	37	11	broken	It happened that, when the army of the Chaldeans was broken up from Yerushalayim for fear of Pharaoh's army,
Jeremiah 42:6	OT	Jeremiah	42	6	evil	Whether it be good, or whether it be evil, we will obey the voice of YHWH our God, to whom we send you; that it may be well with us, when we obey the voice of YHWH our God.
Jeremiah 44:2	OT	Jeremiah	44	2	evil	Thus says YHWH of Armies, the God of Israel: You have seen all the evil that I have brought on Yerushalayim, and on all the cities of Yehudah; and behold, this day they are a desolation, and no one dwells therein,
Jeremiah 44:11	OT	Jeremiah	44	11	evil	Therefore thus says YHWH of Armies, the God of Israel: Behold, I will set my face against you for evil, even to cut off all Yehudah.
Jeremiah 44:17	OT	Jeremiah	44	17	evil	But we will certainly perform every word that is gone forth out of our mouth, to burn incense to the queen of the sky, and to pour out drink offerings to her, as we have done, we and our fathers, our kings and our princes, in the cities of Yehudah, and in the streets of Yerushalayim; for then had we plenty of food, and were well, and saw no evil.
Jeremiah 48:1	OT	Jeremiah	48	1	broken	Of Moab. Thus says YHWH of Armies, the God of Israel: Woe to Nebo! for it is laid waste; Kiriathaim is disappointed, it is taken; Misgab is put to shame and broken down.
Jeremiah 48:17	OT	Jeremiah	48	17	broken	All you who are round about him, bemoan him, and all you who know his name; say, How is the strong staff broken, the beautiful rod!
Jeremiah 48:20	OT	Jeremiah	48	20	broken	Moab is disappointed; for it is broken down: wail and cry; tell you it by the Arnon, that Moab is laid waste.
Jeremiah 48:25	OT	Jeremiah	48	25	broken	The horn of Moab is cut off, and his arm is broken, says YHWH.
Jeremiah 48:38	OT	Jeremiah	48	38	broken	On all the housetops of Moab and in the streets of it there is lamentation every where; for I have broken Moab like a vessel in which none delights, says YHWH.
Jeremiah 48:39	OT	Jeremiah	48	39	broken	How is it broken down! [how] do they wail! how has Moab turned the back with shame! so shall Moab become a derision and a terror to all who are round about him.
Jeremiah 50:17	OT	Jeremiah	50	17	broken	Israel is a hunted sheep; the lions have driven him away: first, the king of Ashur devoured him; and now at last Nebuchadnezzar king of Bavel has broken his bones.
Jeremiah 50:23	OT	Jeremiah	50	23	broken	How is the hammer of the whole earth cut apart and broken! how is Bavel become a desolation among the nations!
Jeremiah 51:24	OT	Jeremiah	51	24	evil	I will render to Bavel and to all the inhabitants of Chaldea all their evil that they have done in Tzion in your sight, says YHWH.
Jeremiah 51:30	OT	Jeremiah	51	30	broken	The mighty men of Bavel have forborne to fight, they remain in their strongholds; their might has failed; they are become as women: her dwelling places are set on fire; her bars are broken.
Jeremiah 51:56	OT	Jeremiah	51	56	broken	for the destroyer is come on her, even on Bavel, and her mighty people are taken, their bows are broken in pieces; for YHWH is a God of recompenses, YHWH will surely requite.
Jeremiah 52:2	OT	Jeremiah	52	2	broken	He did what was broken in the sight of YHWH, according to all that Jehoiakim had done.
Lamentations 2:9	OT	Lamentations	2	9	broken	Her gates are sunk into the ground; he has destroyed and broken her bars: Her king and her princes are among the nations where the law is not; Yes, her prophets find no vision from YHWH.
Lamentations 3:4	OT	Lamentations	3	4	broken	My flesh and my skin has he made old; he has broken my bones.
Lamentations 3:16	OT	Lamentations	3	16	broken	He has also broken my teeth with gravel stones; he has covered me with ashes.
Ezekiel 6:4	OT	Ezekiel	6	4	broken	Your altars shall become desolate, and your incense altars shall be broken; and I will cast down your slain men before your idols.
Ezekiel 6:6	OT	Ezekiel	6	6	broken	In all your dwelling places the cities shall be laid waste, and the high places shall be desolate; that your altars may be laid waste and made desolate, and your idols may be broken and cease, and your incense altars may be hewn down, and your works may be abolished.
Ezekiel 6:9	OT	Ezekiel	6	9	broken	Those of you that escape shall remember me among the nations where they shall be carried captive, how that I have been broken with their lewd heart, which has departed from me, and with their eyes, which play the prostitute after their idols: and they shall loathe themselves in their own sight for the broken acts which they have committed in all their abominations.
Ezekiel 6:10	OT	Ezekiel	6	10	evil	They shall know that I am YHWH: I have not said in vain that I would do this evil to them.
Ezekiel 6:11	OT	Ezekiel	6	11	evil	Thus says YHWH God: Smite with your hand, and stamp with your foot, and say, Alas! because of all the evil abominations of the house of Israel; for they shall fall by the sword, by the famine, and by the pestilence.
Ezekiel 17:19	OT	Ezekiel	17	19	broken	Therefore thus says YHWH God: As I live, surely my oath that he has despised, and my covenant that he has broken, I will even bring it on his own head.
Ezekiel 19:12	OT	Ezekiel	19	12	broken	But it was plucked up in fury, it was cast down to the ground, and the east wind dried up its fruit: its strong rods were broken off and withered; the fire consumed them.
Ezekiel 20:43	OT	Ezekiel	20	43	broken	There shall you remember your ways, and all your doings, in which you have polluted yourselves; and you shall loathe yourselves in your own sight for all your broken acts that you have committed.
Ezekiel 20:44	OT	Ezekiel	20	44	broken	You shall know that I am YHWH, when I have dealt with you for my name's sake, not according to your broken ways, nor according to your corrupt doings, you house of Israel, says YHWH God.
Ezekiel 23:34	OT	Ezekiel	23	34	broken	You shall even drink it and drain it out, and you shall gnaw the broken pieces of it, and shall tear your breasts; for I have spoken it, says YHWH God.
Ezekiel 26:2	OT	Ezekiel	26	2	broken	Child of humanity, because Tzor has said against Yerushalayim, Aha, she is broken: the gate of the peoples; she is turned to me; I shall be replenished, now that she is laid waste:
Ezekiel 27:26	OT	Ezekiel	27	26	broken	Your rowers have brought you into great waters: the east wind has broken you in the heart of the seas.
Ezekiel 27:34	OT	Ezekiel	27	34	broken	In the time that you were broken by the seas in the depths of the waters, your merchandise and all your company did fall in the midst of you.
Ezekiel 30:4	OT	Ezekiel	30	4	broken	A sword shall come on Mitzrayim, and anguish shall be in Ethiopia, when the slain shall fall in Mitzrayim; and they shall take away her multitude, and her foundations shall be broken down.
Ezekiel 30:16	OT	Ezekiel	30	16	broken	I will set a fire in Mitzrayim: Sin shall be in great anguish, and No shall be broken up; and Memphis [shall have] adversaries in the daytime.
Ezekiel 30:21	OT	Ezekiel	30	21	broken	Child of humanity, I have broken the arm of Pharaoh king of Mitzrayim; and behold, it has not been bound up, to apply [healing] medicines, to put a bandage to bind it, that it be strong to hold the sword.
Ezekiel 30:22	OT	Ezekiel	30	22	broken	Therefore thus says YHWH God: Behold, I am against Pharaoh king of Mitzrayim, and will break his arms, the strong [arm], and that which was broken; and I will cause the sword to fall out of his hand.
Ezekiel 31:12	OT	Ezekiel	31	12	broken	Strangers, the terrible of the nations, have cut him off, and have left him: on the mountains and in all the valleys his branches are fallen, and his boughs are broken by all the watercourses of the land; and all the peoples of the earth are gone down from his shadow, and have left him.
Ezekiel 32:28	OT	Ezekiel	32	28	broken	But you shall be broken in the midst of the uncircumcised, and shall lie with those who are slain by the sword.
Ezekiel 33:11	OT	Ezekiel	33	11	broken	Tell them, As I live, says YHWH God, I have no pleasure in the death of the wicked; but that the wicked turn from his way and live: turn you, turn you from your broken ways; for why will you die, house of Israel?
Ezekiel 34:4	OT	Ezekiel	34	4	broken	You haven't strengthened the diseased, neither have you healed that which was sick, neither have you bound up that which was broken, neither have you brought back that which was driven away, neither have you sought that which was lost; but with force and with rigor have you ruled over them.
Ezekiel 34:16	OT	Ezekiel	34	16	broken	I will seek that which was lost, and will bring back that which was driven away, and will bind up that which was broken, and will strengthen that which was sick: but the fat and the strong I will destroy; I will feed them in justice.
Ezekiel 34:27	OT	Ezekiel	34	27	broken	The tree of the field shall yield its fruit, and the earth shall yield its increase, and they shall be secure in their land; and they shall know that I am YHWH, when I have broken the bars of their yoke, and have delivered them out of the hand of those who made slaves of them.
Ezekiel 36:31	OT	Ezekiel	36	31	broken	Then shall you remember your broken ways, and your doings that were not good; and you shall loathe yourselves in your own sight for your iniquities and for your abominations.
Ezekiel 38:10	OT	Ezekiel	38	10	evil	Thus says YHWH God: It shall happen in that day, that things shall come into your mind, and you shall devise an evil plan:
Ezekiel 44:7	OT	Ezekiel	44	7	broken	in that you have brought in foreigners, uncircumcised in heart and uncircumcised in flesh, to be in my sanctuary, to profane it, even my house, when you offer my bread, the fat and the blood, and they have broken my covenant, [to add] to all your abominations.
Daniel 2:35	OT	Daniel	2	35	broken	Then was the iron, the clay, the brass, the silver, and the gold, broken in pieces together, and became like the chaff of the summer threshing floors; and the wind carried them away, so that no place was found for them: and the stone that struck the image became a great mountain, and filled the whole earth.
Daniel 2:42	OT	Daniel	2	42	broken	As the toes of the feet were part of iron, and part of clay, so the kingdom shall be partly strong, and partly broken.
Daniel 8:8	OT	Daniel	8	8	broken	The male goat magnified himself exceedingly: and when he was strong, the great horn was broken; and instead of it there came up four notable [horns] toward the four winds of the sky.
Daniel 8:22	OT	Daniel	8	22	broken	As for that which was broken, in the place where four stood up, four kingdoms shall stand up out of the nation, but not with his power.
Daniel 8:25	OT	Daniel	8	25	broken	Through his policy he shall cause craft to prosper in his hand; and he shall magnify himself in his heart, and in [their] security shall he destroy many: he shall also stand up against the prince of princes; but he shall be broken without hand.
Daniel 11:4	OT	Daniel	11	4	broken	When he shall stand up, his kingdom shall be broken, and shall be divided toward the four winds of the sky, but not to his posterity, nor according to his dominion with which he ruled; for his kingdom shall be plucked up, even for others besides these.
Daniel 11:22	OT	Daniel	11	22	broken	The overwhelming forces shall be overwhelmed from before him, and shall be broken; yes, also the prince of the covenant.
Hosea 6:7	OT	Hosea	6	7	broken	But they, like Adam, have broken the covenant. They were unfaithful to me, there.
Hosea 8:1	OT	Hosea	8	1	broken	"""Put the trumpet to your lips! Something like an eagle is over YHWH's house, because they have broken my covenant, and rebelled against my law."
Hosea 8:6	OT	Hosea	8	6	broken	For this is even from Israel! The workman made it, and it is no Elohim; indeed, the calf of Shomron shall be broken in pieces.
Joel 1:17	OT	Joel	1	17	broken	The seeds rot under their clods. The granaries are laid desolate. The barns are broken down, for the grain has withered.
Amos 5:14	OT	Amos	5	14	evil	Seek good, and not evil, that you may live; and so YHWH, the God of Armies, will be with you, as you say.
Amos 5:15	OT	Amos	5	15	evil	"Hate evil, love good, and establish justice in the courts. It may be that YHWH, the God of Armies, will be gracious to the remnant of Yosef."""
Jonah 3:8	OT	Jonah	3	8	broken	but let them be covered with sackcloth, both man and animal, and let them cry mightily to Elohim. Yes, let them turn everyone from their broken way, and from the violence that is in their hands.
Jonah 3:10	OT	Jonah	3	10	broken	Elohim saw their works, that they turned from their broken way. Elohim relented of the disaster which Elohim said Elohim would do to them, and Elohim didn't do it.
Micah 3:4	OT	Micah	3	4	evil	"Then they will cry to YHWH, but YHWH will not answer them. Yes, YHWH will hide YHWH’s face from them at that time, because their deeds were evil."""
Micah 7:3	OT	Micah	7	3	broken,evil	Their hands are on that which is evil to do it diligently. The ruler and judge ask for a bribe; and the powerful man dictates the broken desire of his soul. Thus they conspire together.
Nahum 1:6	OT	Nahum	1	6	broken	Who can stand before his indignation? Who can endure the fierceness of his anger? His wrath is poured out like fire, and the rocks are broken apart by him.
Habakkuk 1:13	OT	Habakkuk	1	13	evil	You who have purer eyes than to see evil, and who cannot look on perversity, why do you tolerate those who deal treacherously, and keep silent when the wicked swallows up the one who is more righteous than they,
Habakkuk 2:9	OT	Habakkuk	2	9	evil	Woe to the one who gets dishonest gain for their house, that they may set their nest on high, that they may be delivered from the hand of evil!
Zephaniah 3:15	OT	Zephaniah	3	15	evil	YHWH has taken away your judgments. YHWH has thrown out your enemy. The King of Israel, YHWH, is in the midst of you. You will not be afraid of evil any more.
Zechariah 1:4	OT	Zechariah	1	4	evil	Don't you be like your fathers, to whom the former prophets proclaimed, saying: Thus says YHWH of Armies, 'Return now from your wrong ways, and from your evil doings;' but they did not hear, nor listen to me, says YHWH.
Zechariah 11:11	OT	Zechariah	11	11	broken	It was broken in that day; and thus the poor of the flock that listened to me knew that it was the word of YHWH.
Zechariah 11:16	OT	Zechariah	11	16	broken	For, behold, I will raise up a shepherd in the land, who will not visit those who are cut off, neither will seek those who are scattered, nor heal that which is broken, nor feed that which is sound; but he will eat the flesh of the fat sheep, and will tear their hoofs in pieces.
Malachi 1:8	OT	Malachi	1	8	evil	"When you offer the blind for sacrifice, isn't that evil? And when you offer the lame and sick, isn't that evil? Present it now to your governor! Will he be pleased with you? Or will he accept your person?"" says YHWH of Armies."
Malachi 2:17	OT	Malachi	2	17	evil	You have wearied YHWH with your words. Yet you say, 'How have we wearied YHWH?' In that you say, 'Everyone who does evil is good in the sight of YHWH, and they delights in them;' or 'Where is the God of justice?'
Matthew 5:11	NT	Matthew	5	11	unripeness	"""Blessed are you when people reproach you, persecute you, and say all kinds of unripeness against you falsely, for my sake."
Matthew 5:37	NT	Matthew	5	37	unripe	But let your 'Yes' be 'Yes' and your 'No' be 'No.' Whatever is more than these is of the unripe one.
Matthew 5:39	NT	Matthew	5	39	unripeness	But I tell you, don't resist one who acts from unripeness; but whoever strikes you on your right cheek, turn to them the other also.
Matthew 5:45	NT	Matthew	5	45	unripe	that you may be children of your Cosmic Parent who is in heaven. For he makes his sun to rise on the unripe and the good, and sends rain on the just and the unjust.
Matthew 6:23	NT	Matthew	6	23	unripe	But if your eye is unripe, your whole body will be full of darkness. If therefore the light that is in you is darkness, how great is the darkness!
Matthew 6:34	NT	Matthew	6	34	unripeness	Therefore don't be anxious for tomorrow, for tomorrow will be anxious for itself. Each day's own unripeness is sufficient.
Matthew 7:11	NT	Matthew	7	11	unripe	If you then, being unripe and still able to sour, know how to give good gifts to your children, how much more will your Cosmic Parent who is in heaven give good things to those who seek from him!
Matthew 7:17	NT	Matthew	7	17	unripe	Even so, every good tree produces good fruit; but the corrupt tree produces unripe fruit.
Matthew 7:18	NT	Matthew	7	18	unripe	A good tree can't produce unripe fruit, neither can a corrupt tree produce good fruit.
Matthew 9:4	NT	Matthew	9	4	unripeness	"Yeshua, knowing their thoughts, said, ""Why do you think unripeness in your hearts?"
