reference	testament	book	chapter	verse	current_text	historical_pre_cleanup_text	historical_cleanup_text	in_2026_09_14_lexical_ledger	current_grammar_flags
Proverbs 15:3	OT	Proverbs	15	3	YHWH's eyes are everywhere, keeping watch on the evil and the good.	YHWH's eyes are everywhere, keeping watch on the brokenness and the good.	YHWH's eyes are everywhere, keeping watch on the evil and the good.	yes	
Proverbs 15:28	OT	Proverbs	15	28	The heart of the righteous weighs answers, but the mouth of the wicked gushes out evil.	The heart of the righteous weighs answers, but the mouth of the wicked gushes out brokenness.	The heart of the righteous weighs answers, but the mouth of the wicked gushes out evil.	yes	
Proverbs 16:4	OT	Proverbs	16	4	YHWH has made everything for its own end--yes, even the wicked for the day of evil.	YHWH has made everything for its own end--yes, even the wicked for the day of brokenness.	YHWH has made everything for its own end--yes, even the wicked for the day of evil.	yes	
Proverbs 16:30	OT	Proverbs	16	30	One who winks their eyes to plot perversities, one who compresses their lips, is bent on evil.	One who winks their eyes to plot perversities, one who compresses their lips, is bent on brokenness.	One who winks their eyes to plot perversities, one who compresses their lips, is bent on evil.	yes	
Proverbs 17:13	OT	Proverbs	17	13	Whoever rewards evil for good, evil shall not depart from their house.	Whoever rewards brokenness for good, brokenness shall not depart from their house.	Whoever rewards evil for good, evil shall not depart from their house.	yes	
Proverbs 20:8	OT	Proverbs	20	8	A king who sits on the throne of judgment scatters away all evil with his eyes.	A king who sits on the throne of judgment scatters away all brokenness with his eyes.	A king who sits on the throne of judgment scatters away all evil with his eyes.	yes	
Proverbs 20:22	OT	Proverbs	20	22	"Don't say, ""I will pay back evil."" Wait for YHWH, and YHWH will save you."	"Don't say, ""I will pay back brokenness."" Wait for YHWH, and YHWH will save you."	"Don't say, ""I will pay back evil."" Wait for YHWH, and YHWH will save you."	yes	
Proverbs 20:30	OT	Proverbs	20	30	Wounding blows cleanse away evil, and beatings purge the innermost parts.	Wounding blows cleanse away brokenness, and beatings purge the innermost parts.	Wounding blows cleanse away evil, and beatings purge the innermost parts.	yes	
Proverbs 21:10	OT	Proverbs	21	10	The soul of the wicked desires evil; their neighbor finds no mercy in their eyes.	The soul of the wicked desires brokenness; their neighbor finds no mercy in their eyes.	The soul of the wicked desires evil; their neighbor finds no mercy in their eyes.	yes	
Isaiah 5:20	OT	Isaiah	5	20	Woe to those who call evil good, and good evil; who put darkness for light, and light for darkness; who put bitter for sweet, and sweet for bitter!	Woe to those who call brokenness good, and good brokenness; who put darkness for light, and light for darkness; who put bitter for sweet, and sweet for bitter!	Woe to those who call evil good, and good evil; who put darkness for light, and light for darkness; who put bitter for sweet, and sweet for bitter!	yes	
Isaiah 7:15	OT	Isaiah	7	15	He shall eat butter and honey when he knows to refuse the evil, and choose the good.	He shall eat butter and honey when he knows to refuse the brokenness, and choose the good.	He shall eat butter and honey when he knows to refuse the evil, and choose the good.	yes	
Isaiah 7:16	OT	Isaiah	7	16	For before the child knows to refuse the evil, and choose the good, the land whose two kings you abhor shall be forsaken.	For before the child knows to refuse the brokenness, and choose the good, the land whose two kings you abhor shall be forsaken.	For before the child knows to refuse the evil, and choose the good, the land whose two kings you abhor shall be forsaken.	yes	
Isaiah 13:11	OT	Isaiah	13	11	I will punish the world for their evil, and the wicked for their iniquity. I will cause the arrogance of the proud to cease, and will humble the haughtiness of the terrible.	I will punish the world for their brokenness, and the wicked for their iniquity. I will cause the arrogance of the proud to cease, and will humble the haughtiness of the terrible.	I will punish the world for their evil, and the wicked for their iniquity. I will cause the arrogance of the proud to cease, and will humble the haughtiness of the terrible.	yes	
Isaiah 32:7	OT	Isaiah	32	7	The ways of the scoundrel are evil. He devises wicked devices to destroy the humble with lying words, even when the needy speaks right.	The ways of the scoundrel are brokenness. He devises wicked devices to destroy the humble with lying words, even when the needy speaks right.	The ways of the scoundrel are evil. He devises wicked devices to destroy the humble with lying words, even when the needy speaks right.	yes	
Isaiah 33:15	OT	Isaiah	33	15	The one who walks righteously, and speaks blamelessly; The one who despises the gain of oppressions, who gestures with their hands, refusing to take a bribe, who stops their ears from hearing of blood, and shuts their eyes from looking at evil--	The one who walks righteously, and speaks blamelessly; The one who despises the gain of oppressions, who gestures with their hands, refusing to take a bribe, who stops their ears from hearing of blood, and shuts their eyes from looking at brokenness--	The one who walks righteously, and speaks blamelessly; The one who despises the gain of oppressions, who gestures with their hands, refusing to take a bribe, who stops their ears from hearing of blood, and shuts their eyes from looking at evil--	yes	terminal-punctuation-review
Isaiah 56:2	OT	Isaiah	56	2	Blessed is the one who does this, and the child of humanity who holds it fast; who keeps the Sabbath from profaning it, and keeps his hand from doing any evil.	Blessed is the one who does this, and the child of humanity who holds it fast; who keeps the Sabbath from profaning it, and keeps his hand from doing any brokenness.	Blessed is the one who does this, and the child of humanity who holds it fast; who keeps the Sabbath from profaning it, and keeps his hand from doing any evil.	yes	
Isaiah 59:7	OT	Isaiah	59	7	Their feet run to evil, and they make haste to shed innocent blood: their thoughts are thoughts of iniquity; desolation and destruction are in their paths.	Their feet run to brokenness, and they make haste to shed innocent blood: their thoughts are thoughts of iniquity; desolation and destruction are in their paths.	Their feet run to evil, and they make haste to shed innocent blood: their thoughts are thoughts of iniquity; desolation and destruction are in their paths.	yes	
Jeremiah 1:14	OT	Jeremiah	1	14	Then YHWH said to me, Out of the north evil shall break forth on all the inhabitants of the land.	Then YHWH said to me, Out of the north brokenness shall break forth on all the inhabitants of the land.	Then YHWH said to me, Out of the north evil shall break forth on all the inhabitants of the land.	yes	
Jeremiah 2:13	OT	Jeremiah	2	13	For my people have committed two acts of evil: they have forsaken me, the spring of living waters, and hewed them out cisterns, broken cisterns, that can hold no water.	For my people have committed two acts of brokenness: they have forsaken me, the spring of living waters, and hewed them out cisterns, broken cisterns, that can hold no water.	For my people have committed two acts of evil: they have forsaken me, the spring of living waters, and hewed them out cisterns, broken cisterns, that can hold no water.	yes	
Jeremiah 4:6	OT	Jeremiah	4	6	Set up a standard toward Tzion: flee for safety, don't stay; for I will bring evil from the north, and a great destruction.	Set up a standard toward Tzion: flee for safety, don't stay; for I will bring brokenness from the north, and a great destruction.	Set up a standard toward Tzion: flee for safety, don't stay; for I will bring evil from the north, and a great destruction.	yes	
Jeremiah 4:15	OT	Jeremiah	4	15	For a voice declares from Dan, and publishes evil from the hills of Efrayim:	For a voice declares from Dan, and publishes brokenness from the hills of Efrayim:	For a voice declares from Dan, and publishes evil from the hills of Efrayim:	yes	
Jeremiah 5:12	OT	Jeremiah	5	12	They have denied YHWH, and said, It is not YHWH; neither shall evil come on us; neither shall we see sword nor famine:	They have denied YHWH, and said, It is not YHWH; neither shall brokenness come on us; neither shall we see sword nor famine:	They have denied YHWH, and said, It is not YHWH; neither shall evil come on us; neither shall we see sword nor famine:	yes	
Jeremiah 11:17	OT	Jeremiah	11	17	For YHWH of Armies, who planted you, has pronounced harm against you, because of the evil of the house of Israel and of the house of Yehudah, which they have worked for themselves in provoking me to anger by offering incense to Baal.	For YHWH of Armies, who planted you, has pronounced brokenness against you, because of the brokenness of the house of Israel and of the house of Yehudah, which they have worked for themselves in provoking me to anger by offering incense to Baal.	For YHWH of Armies, who planted you, has pronounced harm against you, because of the evil of the house of Israel and of the house of Yehudah, which they have worked for themselves in provoking me to anger by offering incense to Baal.	yes	
Jeremiah 15:11	OT	Jeremiah	15	11	YHWH said, Most certainly I will strengthen you for good; most certainly I will cause the enemy to make supplication to you in the time of evil and in the time of affliction.	YHWH said, Most certainly I will strengthen you for good; most certainly I will cause the enemy to make supplication to you in the time of brokenness and in the time of affliction.	YHWH said, Most certainly I will strengthen you for good; most certainly I will cause the enemy to make supplication to you in the time of evil and in the time of affliction.	yes	
Jeremiah 17:17	OT	Jeremiah	17	17	Don't be a terror to me: you are my refuge in the day of evil.	Don't be a terror to me: you are my refuge in the day of brokenness.	Don't be a terror to me: you are my refuge in the day of evil.	yes	
Jeremiah 17:18	OT	Jeremiah	17	18	Let them be disappointed who persecute me, but let not me be disappointed; let them be dismayed, but don't let me be dismayed; bring on them the day of evil, and destroy them with double destruction.	Let them be disappointed who persecute me, but let not me be disappointed; let them be dismayed, but don't let me be dismayed; bring on them the day of brokenness, and destroy them with double destruction.	Let them be disappointed who persecute me, but let not me be disappointed; let them be dismayed, but don't let me be dismayed; bring on them the day of evil, and destroy them with double destruction.	yes	
Jeremiah 18:8	OT	Jeremiah	18	8	if that nation, concerning which I have spoken, turn from their evil, I will relent from the evil that I thought to do to them.	if that nation, concerning which I have spoken, turn from their brokenness, I will relent from the brokenness that I thought to do to them.	if that nation, concerning which I have spoken, turn from their evil, I will relent from the evil that I thought to do to them.	yes	
Jeremiah 18:20	OT	Jeremiah	18	20	Shall evil be recompensed for good? for they have dug a pit for my soul. Remember how I stood before you to speak good for them, to turn away your wrath from them.	Shall brokenness be recompensed for good? for they have dug a pit for my soul. Remember how I stood before you to speak good for them, to turn away your wrath from them.	Shall evil be recompensed for good? for they have dug a pit for my soul. Remember how I stood before you to speak good for them, to turn away your wrath from them.	yes	
Jeremiah 42:6	OT	Jeremiah	42	6	Whether it be good, or whether it be evil, we will obey the voice of YHWH our God, to whom we send you; that it may be well with us, when we obey the voice of YHWH our God.	Whether it be good, or whether it be brokenness, we will obey the voice of YHWH our God, to whom we send you; that it may be well with us, when we obey the voice of YHWH our God.	Whether it be good, or whether it be evil, we will obey the voice of YHWH our God, to whom we send you; that it may be well with us, when we obey the voice of YHWH our God.	yes	
Jeremiah 44:2	OT	Jeremiah	44	2	Thus says YHWH of Armies, the God of Israel: You have seen all the evil that I have brought on Yerushalayim, and on all the cities of Yehudah; and behold, this day they are a desolation, and no one dwells therein,	Thus says YHWH of Armies, the God of Israel: You have seen all the brokenness that I have brought on Yerushalayim, and on all the cities of Yehudah; and behold, this day they are a desolation, and no one dwells therein,	Thus says YHWH of Armies, the God of Israel: You have seen all the evil that I have brought on Yerushalayim, and on all the cities of Yehudah; and behold, this day they are a desolation, and no one dwells therein,	yes	
Jeremiah 44:11	OT	Jeremiah	44	11	Therefore thus says YHWH of Armies, the God of Israel: Behold, I will set my face against you for evil, even to cut off all Yehudah.	Therefore thus says YHWH of Armies, the God of Israel: Behold, I will set my face against you for brokenness, even to cut off all Yehudah.	Therefore thus says YHWH of Armies, the God of Israel: Behold, I will set my face against you for evil, even to cut off all Yehudah.	yes	
Jeremiah 44:17	OT	Jeremiah	44	17	But we will certainly perform every word that is gone forth out of our mouth, to burn incense to the queen of the sky, and to pour out drink offerings to her, as we have done, we and our fathers, our kings and our princes, in the cities of Yehudah, and in the streets of Yerushalayim; for then had we plenty of food, and were well, and saw no evil.	But we will certainly perform every word that is gone forth out of our mouth, to burn incense to the queen of the sky, and to pour out drink offerings to her, as we have done, we and our fathers, our kings and our princes, in the cities of Yehudah, and in the streets of Yerushalayim; for then had we plenty of food, and were well, and saw no brokenness.	But we will certainly perform every word that is gone forth out of our mouth, to burn incense to the queen of the sky, and to pour out drink offerings to her, as we have done, we and our fathers, our kings and our princes, in the cities of Yehudah, and in the streets of Yerushalayim; for then had we plenty of food, and were well, and saw no evil.	yes	
Jeremiah 51:24	OT	Jeremiah	51	24	I will render to Bavel and to all the inhabitants of Chaldea all their evil that they have done in Tzion in your sight, says YHWH.	I will render to Bavel and to all the inhabitants of Chaldea all their brokenness that they have done in Tzion in your sight, says YHWH.	I will render to Bavel and to all the inhabitants of Chaldea all their evil that they have done in Tzion in your sight, says YHWH.	yes	
Ezekiel 6:10	OT	Ezekiel	6	10	They shall know that I am YHWH: I have not said in vain that I would do this evil to them.	They shall know that I am YHWH: I have not said in vain that I would do this brokenness to them.	They shall know that I am YHWH: I have not said in vain that I would do this evil to them.	yes	
Ezekiel 6:11	OT	Ezekiel	6	11	Thus says YHWH God: Smite with your hand, and stamp with your foot, and say, Alas! because of all the evil abominations of the house of Israel; for they shall fall by the sword, by the famine, and by the pestilence.	Thus says YHWH God: Smite with your hand, and stamp with your foot, and say, Alas! because of all the brokenness abominations of the house of Israel; for they shall fall by the sword, by the famine, and by the pestilence.	Thus says YHWH God: Smite with your hand, and stamp with your foot, and say, Alas! because of all the evil abominations of the house of Israel; for they shall fall by the sword, by the famine, and by the pestilence.	yes	
Ezekiel 38:10	OT	Ezekiel	38	10	Thus says YHWH God: It shall happen in that day, that things shall come into your mind, and you shall devise an evil plan:	Thus says YHWH God: It shall happen in that day, that things shall come into your mind, and you shall devise a brokenness device:	Thus says YHWH God: It shall happen in that day, that things shall come into your mind, and you shall devise an evil plan:	yes	
Amos 5:14	OT	Amos	5	14	Seek good, and not evil, that you may live; and so YHWH, the God of Armies, will be with you, as you say.	Seek good, and not brokenness, that you may live; and so YHWH, the God of Armies, will be with you, as you say.	Seek good, and not evil, that you may live; and so YHWH, the God of Armies, will be with you, as you say.	yes	
Amos 5:15	OT	Amos	5	15	"Hate evil, love good, and establish justice in the courts. It may be that YHWH, the God of Armies, will be gracious to the remnant of Yosef."""	"Hate brokenness, love good, and establish justice in the courts. It may be that YHWH, the God of Armies, will be gracious to the remnant of Yosef."""	"Hate evil, love good, and establish justice in the courts. It may be that YHWH, the God of Armies, will be gracious to the remnant of Yosef."""	yes	
Micah 3:4	OT	Micah	3	4	"Then they will cry to YHWH, but YHWH will not answer them. Yes, YHWH will hide YHWH’s face from them at that time, because their deeds were evil."""	"Then they will cry to YHWH, but YHWH will not answer them. Yes, YHWH will hide YHWH’s face from them at that time, because they made their deeds brokenness."""	"Then they will cry to YHWH, but YHWH will not answer them. Yes, YHWH will hide YHWH’s face from them at that time, because their deeds were evil."""	yes	
Micah 7:3	OT	Micah	7	3	Their hands are on that which is evil to do it diligently. The ruler and judge ask for a bribe; and the powerful man dictates the broken desire of his soul. Thus they conspire together.	Their hands are on that which is brokenness to do it diligently. The ruler and judge ask for a bribe; and the powerful man dictates the broken desire of his soul. Thus they conspire together.	Their hands are on that which is evil to do it diligently. The ruler and judge ask for a bribe; and the powerful man dictates the broken desire of his soul. Thus they conspire together.	yes	
Habakkuk 1:13	OT	Habakkuk	1	13	You who have purer eyes than to see evil, and who cannot look on perversity, why do you tolerate those who deal treacherously, and keep silent when the wicked swallows up the one who is more righteous than they,	You who have purer eyes than to see brokenness, and who cannot look on perversity, why do you tolerate those who deal treacherously, and keep silent when the wicked swallows up the one who is more righteous than they,	You who have purer eyes than to see evil, and who cannot look on perversity, why do you tolerate those who deal treacherously, and keep silent when the wicked swallows up the one who is more righteous than they,	yes	
Habakkuk 2:9	OT	Habakkuk	2	9	Woe to the one who gets dishonest gain for their house, that they may set their nest on high, that they may be delivered from the hand of evil!	Woe to the one who gets a brokenness gain for their house, that they may set their nest on high, that they may be delivered from the hand of brokenness!	Woe to the one who gets dishonest gain for their house, that they may set their nest on high, that they may be delivered from the hand of evil!	yes	
Zephaniah 3:15	OT	Zephaniah	3	15	YHWH has taken away your judgments. YHWH has thrown out your enemy. The King of Israel, YHWH, is in the midst of you. You will not be afraid of evil any more.	YHWH has taken away your judgments. YHWH has thrown out your enemy. The King of Israel, YHWH, is in the midst of you. You will not be afraid of brokenness any more.	YHWH has taken away your judgments. YHWH has thrown out your enemy. The King of Israel, YHWH, is in the midst of you. You will not be afraid of evil any more.	yes	
Zechariah 1:4	OT	Zechariah	1	4	Don't you be like your fathers, to whom the former prophets proclaimed, saying: Thus says YHWH of Armies, 'Return now from your wrong ways, and from your evil doings;' but they did not hear, nor listen to me, says YHWH.	Don't you be like your fathers, to whom the former prophets proclaimed, saying: Thus says YHWH of Armies, 'Return now from your broken ways, and from your brokenness doings;' but they did not hear, nor listen to me, says YHWH.	Don't you be like your fathers, to whom the former prophets proclaimed, saying: Thus says YHWH of Armies, 'Return now from your wrong ways, and from your evil doings;' but they did not hear, nor listen to me, says YHWH.	yes	
Malachi 1:8	OT	Malachi	1	8	"When you offer the blind for sacrifice, isn't that evil? And when you offer the lame and sick, isn't that evil? Present it now to your governor! Will he be pleased with you? Or will he accept your person?"" says YHWH of Armies."	"When you offer the blind for sacrifice, isn't that brokenness? And when you offer the lame and sick, isn't that brokenness? Present it now to your governor! Will he be pleased with you? Or will he accept your person?"" says YHWH of Armies."	"When you offer the blind for sacrifice, isn't that evil? And when you offer the lame and sick, isn't that evil? Present it now to your governor! Will he be pleased with you? Or will he accept your person?"" says YHWH of Armies."	yes	
Malachi 2:17	OT	Malachi	2	17	You have wearied YHWH with your words. Yet you say, 'How have we wearied YHWH?' In that you say, 'Everyone who does evil is good in the sight of YHWH, and they delights in them;' or 'Where is the God of justice?'	You have wearied YHWH with your words. Yet you say, 'How have we wearied YHWH?' In that you say, 'Everyone who does brokenness is good in the sight of YHWH, and they delights in them;' or 'Where is the God of justice?'	You have wearied YHWH with your words. Yet you say, 'How have we wearied YHWH?' In that you say, 'Everyone who does evil is good in the sight of YHWH, and they delights in them;' or 'Where is the God of justice?'	yes	
