reference	book	chapter	verse	historical	current	diff
2 Samuel 12:11	2 Samuel	12	11	This is what YHWH says: 'Behold, I will raise up evil against you out of your own house; and I will take your wives before your eyes, and give them to your neighbor, and he will lie with your wives in the sight of this sun.	This is what YHWH says: 'Behold, I will raise up brokenness against you out of your own house; and I will take your wives before your eyes, and give them to your neighbor, and he will lie with your wives in the sight of this sun.	replace: [evil] -> [brokenness]
2 Samuel 15:14	2 Samuel	15	14	David said to all his servants who were with him at Jerusalem, Arise, and let us flee; for else none of us shall escape from Absalom: make speed to depart, lest he overtake us quickly, and bring down evil on us, and strike the city with the edge of the sword.	Dawid said to all his servants who were with him at Yerushalayim, Arise, and let us flee; for else none of us shall escape from Avshalom: make speed to depart, lest he overtake us quickly, and bring down brokenness on us, and strike the city with the edge of the sword.	replace: [David] -> [Dawid] || replace: [Jerusalem] -> [Yerushalayim] || replace: [Absalom] -> [Avshalom] || replace: [evil] -> [brokenness]
2 Samuel 19:7	2 Samuel	19	7	Now therefore arise, go forth, and speak comfortably to your servants; for I swear by YHWH, if you don't go forth, there will not stay a man with you this night: and that will be worse to you than all the evil that has happened to you from your youth until now.	Now therefore arise, go forth, and speak comfortably to your servants; for I swear by YHWH, if you don't go forth, there will not stay a person with you this night: and that will be worse to you than all the brokenness that has happened to you from your youth until now.	replace: [man] -> [person] || replace: [evil] -> [brokenness]
1 Kings 3:9	1 Kings	3	9	Give your servant therefore an understanding heart to judge your people, that I may discern between good and evil; for who is able to judge this your great people?	Give your servant therefore an understanding heart to judge your people, that I may discern between good and brokenness; for who is able to judge this your great people?	replace: [evil] -> [brokenness]
1 Kings 9:9	1 Kings	9	9	and they shall answer, Because they forsook YHWH their Elohim, who brought forth their fathers out of the land of Egypt, and laid hold on other gods, and worshiped them, and served them: therefore has YHWH brought all this evil on them.	and they shall answer, Because they forsook YHWH their God, who brought forth their fathers out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has YHWH brought all this brokenness on them.	replace: [Elohim] -> [God] || replace: [Egypt] -> [Mitzrayim] || replace: [evil] -> [brokenness]
1 Kings 14:9	1 Kings	14	9	but have done evil above all who were before you, and have gone and made you other gods, and molten images, to provoke me to anger, and have cast me behind your back:	but have done brokenness above all who were before you, and have gone and made you other gods, and molten images, to provoke me to anger, and have cast me behind your back:	replace: [evil] -> [brokenness]
1 Kings 16:7	1 Kings	16	7	Moreover by the prophet Jehu the son of Hanani came the word of YHWH against Baasha, and against his house, both because of all the evil that he did in the sight of YHWH, to provoke him to anger with the work of his hands, in being like the house of Jeroboam, and because he struck him.	Moreover by the prophet Yehu the son of Hanani came the word of YHWH against Baasha, and against his house, both because of all the brokenness that he did in the sight of YHWH, to provoke him to anger with the work of his hands, in being like the house of Yerovam, and because he struck him.	replace: [Jehu] -> [Yehu] || replace: [evil] -> [brokenness] || replace: [Jeroboam] -> [Yerovam]
1 Kings 21:20	1 Kings	21	20	Ahab said to Elijah, Have you found me, my enemy? He answered, I have found you, because you have sold yourself to do that which is evil in the sight of YHWH.	Achav said to Eliyahu, Have you found me, my enemy? He answered, I have found you, because you have sold yourself to do that which is brokenness in the sight of YHWH.	replace: [Ahab] -> [Achav] || replace: [Elijah] -> [Eliyahu] || replace: [evil] -> [brokenness]
1 Kings 21:29	1 Kings	21	29	See you how Ahab humbles himself before me? because he humbles himself before me, I will not bring the evil in his days; but in his son's days will I bring the evil on his house.	See you how Achav humbles himself before me? because he humbles himself before me, I will not bring the brokenness in his days; but in his son's days will I bring the brokenness on his house.	replace: [Ahab] -> [Achav] || replace: [evil] -> [brokenness] || replace: [evil] -> [brokenness]
1 Kings 22:8	1 Kings	22	8	"The king of Israel said to Jehoshaphat, there is yet one man by whom we may inquire of YHWH, Micaiah the son of Imlah: but I hate him; for he does not prophesy good concerning me, but evil. Jehoshaphat said, ""Don't let the king say so."""	"The king of Israel said to Yehoshafat, there is yet one man by whom we may inquire of YHWH, Micaiah the son of Imlah: but I hate him; for he does not prophesy good concerning me, but brokenness. Yehoshafat said, ""Don't let the king say so."""	replace: [Jehoshaphat] -> [Yehoshafat] || replace: [evil] -> [brokenness] || replace: [Jehoshaphat] -> [Yehoshafat]
1 Kings 22:18	1 Kings	22	18	The king of Israel said to Jehoshaphat, Didn't I tell you that he would not prophesy good concerning me, but evil?	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but brokenness?	replace: [Jehoshaphat] -> [Yehoshafat] || replace: [evil] -> [brokenness]
2 Kings 8:12	2 Kings	8	12	Hazael said, Why weeps my lord? He answered, Because I know the evil that you will do to the children of Israel: their strongholds will you set on fire, and their young men will you kill with the sword, and will dash in pieces their little ones, and rip up their women with child.	Hazael said, Why weeps my lord? He answered, Because I know the brokenness that you will do to the children of Israel: their strongholds will you set on fire, and their young people will you kill with the sword, and will dash in pieces their little ones, and rip up their women with child.	replace: [evil] -> [brokenness] || replace: [men] -> [people]
2 Kings 21:6	2 Kings	21	6	He made his son to pass through the fire, and practiced sorcery, and used enchantments, and dealt with those who had familiar spirits, and with wizards: he worked much evil in the sight of YHWH, to provoke him to anger.	He made his son to pass through the fire, and practiced sorcery, and used enchantments, and dealt with those who had familiar spirits, and with wizards: he worked much brokenness in the sight of YHWH, to provoke him to anger.	replace: [evil] -> [brokenness]
2 Kings 21:9	2 Kings	21	9	But they didn't listen: and Manasseh seduced them to do that which is evil more than did the nations whom YHWH destroyed before the children of Israel.	But they didn't listen: and Menashe seduced them to do that which is brokenness more than did the nations whom YHWH destroyed before the children of Israel.	replace: [Manasseh] -> [Menashe] || replace: [evil] -> [brokenness]
2 Kings 21:12	2 Kings	21	12	therefore thus says YHWH, the Elohim of Israel, Behold, I bring such evil on Jerusalem and Judah, that whoever hears of it, both his ears shall tingle.	therefore thus says YHWH, the God of Israel, Behold, I bring such brokenness on Yerushalayim and Yehudah, that whoever hears of it, both their ears shall tingle.	replace: [Elohim] -> [God] || replace: [evil] -> [brokenness] || replace: [Jerusalem] -> [Yerushalayim] || replace: [Judah] -> [Yehudah] || replace: [his] -> [their]
2 Kings 21:15	2 Kings	21	15	because they have done that which is evil in my sight, and have provoked me to anger, since the day their fathers came forth out of Egypt, even to this day.	because they have done that which is brokenness in my sight, and have provoked me to anger, since the day their fathers came forth out of Mitzrayim, even to this day.	replace: [evil] -> [brokenness] || replace: [Egypt] -> [Mitzrayim]
2 Kings 22:20	2 Kings	22	20	Therefore, behold, I will gather you to your fathers, and you shall be gathered to your grave in peace, neither shall your eyes see all the evil which I will bring on this place. They brought the king word again.	Therefore, behold, I will gather you to your fathers, and you shall be gathered to your grave in peace, neither shall your eyes see all the brokenness which I will bring on this place. They brought the king word again.	replace: [evil] -> [brokenness]
1 Chronicles 7:23	1 Chronicles	7	23	He went in to his wife, and she conceived, and bore a son, and he named him Beriah, because it went evil with his house.	He went in to his wife, and she conceived, and bore a son, and he named him Beriah, because it went brokenness with his house.	replace: [evil] -> [brokenness]
2 Chronicles 7:22	2 Chronicles	7	22	They shall answer, Because they abandoned YHWH, the Elohim of their fathers, who brought them forth out of the land of Egypt, and laid hold on other gods, and worshiped them, and served them: therefore has he brought all this evil on them.	They shall answer, Because they abandoned YHWH, the God of their fathers, who brought them forth out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has he brought all this brokenness on them.	replace: [Elohim] -> [God] || replace: [Egypt] -> [Mitzrayim] || replace: [evil] -> [brokenness]
2 Chronicles 18:7	2 Chronicles	18	7	The king of Israel said to Jehoshaphat, There is yet one man by whom we may inquire of YHWH: but I hate him; for he never prophesies good concerning me, but always evil: the same is Micaiah the son of Imla. Jehoshaphat said, Don't let the king say so.	The king of Israel said to Yehoshafat, There is yet one man by whom we may inquire of YHWH: but I hate him; for he never prophesies good concerning me, but always brokenness: the same is Micaiah the son of Imla. Yehoshafat said, Don't let the king say so.	replace: [Jehoshaphat] -> [Yehoshafat] || replace: [evil] -> [brokenness] || replace: [Jehoshaphat] -> [Yehoshafat]
2 Chronicles 18:17	2 Chronicles	18	17	The king of Israel said to Jehoshaphat, Didn't I tell you that he would not prophesy good concerning me, but evil?	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but brokenness?	replace: [Jehoshaphat] -> [Yehoshafat] || replace: [evil] -> [brokenness]
2 Chronicles 20:9	2 Chronicles	20	9	If evil come on us, the sword, judgment, or pestilence, or famine, we will stand before this house, and before you, (for your name is in this house), and cry to you in our affliction, and you will hear and save.	If brokenness come on us, the sword, judgment, or pestilence, or famine, we will stand before this house, and before you, (for your name is in this house), and cry to you in our affliction, and you will hear and save.	replace: [evil] -> [brokenness]
2 Chronicles 33:6	2 Chronicles	33	6	He also made his children to pass through the fire in the valley of the son of Hinnom; and he practiced sorcery, and used enchantments, and practiced sorcery, and dealt with those who had familiar spirits, and with wizards: he worked much evil in the sight of YHWH, to provoke him to anger.	He also made his children to pass through the fire in the valley of the son of Hinnom; and he practiced sorcery, and used enchantments, and practiced sorcery, and dealt with those who had familiar spirits, and with wizards: he worked much brokenness in the sight of YHWH, to provoke him to anger.	replace: [evil] -> [brokenness]
2 Chronicles 33:9	2 Chronicles	33	9	Manasseh seduced Judah and the inhabitants of Jerusalem, so that they did evil more than did the nations whom YHWH destroyed before the children of Israel.	Menashe seduced Yehudah and the inhabitants of Yerushalayim, so that they did brokenness more than did the nations whom YHWH destroyed before the children of Israel.	replace: [Manasseh] -> [Menashe] || replace: [Judah] -> [Yehudah] || replace: [Jerusalem] -> [Yerushalayim] || replace: [evil] -> [brokenness]
2 Chronicles 34:28	2 Chronicles	34	28	Behold, I will gather you to your fathers, and you shall be gathered to your grave in peace, neither shall your eyes see all the evil that I will bring on this place, and on the inhabitants of it. They brought back word to the king.	Behold, I will gather you to your fathers, and you shall be gathered to your grave in peace, neither shall your eyes see all the brokenness that I will bring on this place, and on the inhabitants of it. They brought back word to the king.	replace: [evil] -> [brokenness]
Ezra 9:13	Ezra	9	13	After all that is come on us for our evil deeds, and for our great guilt, seeing that you our Elohim have punished us less than our iniquities deserve, and have given us such a remnant,	After all that is come on us for our broken deeds, and for our great guilt, seeing that you our God have punished us less than our iniquities deserve, and have given us such a remnant,	replace: [evil] -> [broken] || replace: [Elohim] -> [God]
Nehemiah 2:17	Nehemiah	2	17	Then said I to them, You see the evil case that we are in, how Jerusalem lies waste, and the gates of it are burned with fire: come, and let us build up the wall of Jerusalem, that we be no more a reproach.	Then said I to them, You see the brokenness case that we are in, how Yerushalayim lies waste, and the gates of it are burned with fire: come, and let us build up the wall of Yerushalayim, that we be no more a reproach.	replace: [evil] -> [brokenness] || replace: [Jerusalem] -> [Yerushalayim] || replace: [Jerusalem] -> [Yerushalayim]
Nehemiah 9:28	Nehemiah	9	28	But after they had rest, they did evil again before you; therefore left you them in the hand of their enemies, so that they had the dominion over them: yet when they returned, and cried to you, you heard from heavens; and many times did you deliver them according to your mercies,	But after they had rest, they did brokenness again before you; therefore left you them in the hand of their enemies, so that they had the dominion over them: yet when they returned, and cried to you, you heard from heavens; and many times did you deliver them according to your mercies,	replace: [evil] -> [brokenness]
Nehemiah 13:7	Nehemiah	13	7	and I came to Jerusalem, and understood the evil that Eliashib had done for Tobiah, in preparing him a chamber in the courts of the house of Elohim.	and I came to Yerushalayim, and understood the brokenness that Eliashib had done for Tobiah, in preparing him a chamber in the courts of the house of Elohim.	replace: [Jerusalem] -> [Yerushalayim] || replace: [evil] -> [brokenness]
Nehemiah 13:18	Nehemiah	13	18	Didn't your fathers do thus, and did not our Elohim bring all this evil on us, and on this city? yet you bring more wrath on Israel by profaning the Sabbath.	Didn't your fathers do thus, and did not our God bring all this brokenness on us, and on this city? yet you bring more wrath on Israel by profaning the Sabbath.	replace: [Elohim] -> [God] || replace: [evil] -> [brokenness]
Nehemiah 13:27	Nehemiah	13	27	Shall we then listen to you to do all this great evil, to trespass against our Elohim in marrying foreign women?	Shall we then listen to you to do all this great brokenness, to trespass against our God in marrying foreign women?	replace: [evil] -> [brokenness] || replace: [Elohim] -> [God]
Esther 7:7	Esther	7	7	The king arose in his wrath from the banquet of wine and went into the palace garden. Haman stood up to make request for his life to Esther the queen; for he saw that there was evil determined against him by the king.	The king arose in his wrath from the banquet of wine and went into the palace garden. Haman stood up to make request for his life to Esther the queen; for he saw that there was brokenness determined against him by the king.	replace: [evil] -> [brokenness]
Esther 8:6	Esther	8	6	"For how can I endure to see the evil that would come to my people? How can I endure to see the destruction of my relatives?"""	"For how can I endure to see the brokenness that would come to my people? How can I endure to see the destruction of my relatives?"""	replace: [evil] -> [brokenness]
Job 2:10	Job	2	10	"But he said to her, ""You speak as one of the foolish women would speak. What? Shall we receive good at the hand of Elohim, and shall we not receive evil?"" In all this Job didn't sin with his lips."	"But he said to her, ""You speak as one of the foolish women would speak. What? Shall we receive good at the hand of Elohim, and shall we not receive brokenness?"" In all this Job didn't sin with his lips."	replace: [evil] -> [brokenness]
Job 2:11	Job	2	11	Now when Job's three friends heard of all this evil that had come on him, they each came from his own place: Eliphaz the Temanite, Bildad the Shuhite, and Zophar the Naamathite, and they made an appointment together to come to sympathize with him and to comfort him.	Now when Job's three friends heard of all this brokenness that had come on him, they each came from his own place: Eliphaz the Temanite, Bildad the Shuhite, and Zophar the Naamathite, and they made an appointment together to come to sympathize with him and to comfort him.	replace: [evil] -> [brokenness]
Job 5:19	Job	5	19	He will deliver you in six troubles; yes, in seven there shall no evil touch you.	He will deliver you in six troubles; yes, in seven there shall no brokenness touch you.	replace: [evil] -> [brokenness]
Job 8:20	Job	8	20	"""Behold, Elohim will not cast away a blameless man, neither will he uphold the evil-doers."	"""Behold, Elohim will not cast away a blameless man, neither will he uphold the people who act from brokenness."	replace: [evil - doers] -> [people who act from brokenness]
Job 15:20	Job	15	20	the wicked man writhes in pain all his days, even the number of years that are laid up for the oppressor.	the broken person writhes in pain all their days, even the number of years that are laid up for the oppressor.	replace: [wicked man] -> [broken person] || replace: [his] -> [their]
Job 20:29	Job	20	29	"This is the portion of a wicked man from Elohim, the heritage appointed to him by Elohim."""	"This is the portion of a broken person from Elohim, the heritage appointed to him by Elohim."""	replace: [wicked man] -> [broken person]
Job 21:30	Job	21	30	that the evil man is reserved to the day of calamity, That they are led forth to the day of wrath?	that the brokenness a person is reserved to the day of calamity, That they are led forth to the day of wrath?	replace: [evil man] -> [brokenness a person]
Job 27:13	Job	27	13	"""This is the portion of a wicked man with Elohim, the heritage of oppressors, which they receive from the Almighty."	"""This is the portion of a broken person with Elohim, the heritage of oppressors, which they receive from the Almighty."	replace: [wicked man] -> [broken person]
Job 30:26	Job	30	26	When I looked for good, then evil came; When I waited for light, there came darkness.	When I looked for good, then brokenness came; When I waited for light, there came darkness.	replace: [evil] -> [brokenness]
Job 31:29	Job	31	29	"""If I have rejoiced at the destruction of him who hated me, or lifted up myself when evil found him;"	"""If I have rejoiced at the destruction of the one who hated me, or lifted up myself when brokenness found him;"	replace: [him] -> [the one] || replace: [evil] -> [brokenness]
Job 35:12	Job	35	12	There they cry, but none gives answer, because of the pride of evil men.	There they cry, but none gives answer, because of the pride of brokenness men.	replace: [evil] -> [brokenness]
Psalms 5:4	Psalms	5	4	For you are not a Elohim who has pleasure in wickedness. Evil can't live with you.	For you are not an Elohim who has pleasure in wickedness. Brokenness can't live with you.	replace: [a] -> [an] || replace: [Evil] -> [Brokenness]
Psalms 7:4	Psalms	7	4	if I have rewarded evil to him who was at peace with me (yes, if I have delivered him who without cause was my adversary),	if I have rewarded brokenness to the one who was at peace with me (yes, if I have delivered the one who without cause was my adversary),	replace: [evil] -> [brokenness] || replace: [him] -> [the one] || replace: [him] -> [the one]
Psalms 10:15	Psalms	10	15	Break the arm of the wicked. As for the evil man, seek out his wickedness until you find none.	Break the arm of the wicked. As for the brokenness man, seek out his wickedness until you find none.	replace: [evil] -> [brokenness]
Psalms 15:3	Psalms	15	3	He who doesn't slander with his tongue, nor does evil to his friend, nor casts slurs against his fellow man;	The one who doesn't slander with their tongue, nor does brokenness to their friend, nor casts slurs against their fellow man;	replace: [He] -> [The one] || replace: [his] -> [their] || replace: [evil] -> [brokenness] || replace: [his] -> [their] || replace: [his] -> [their]
Psalms 21:11	Psalms	21	11	For they intended evil against you. They plotted evil against you which cannot succeed.	For they intended brokenness against you. They plotted brokenness against you which cannot succeed.	replace: [evil] -> [brokenness] || replace: [evil] -> [brokenness]
Psalms 22:16	Psalms	22	16	For dogs have surrounded me. A company of evil-doers have enclosed me. Like a lion, they pin my hands and feet.	For dogs have surrounded me. A company of people who act from brokenness have enclosed me. Like a lion, they pin my hands and feet.	replace: [evil - doers] -> [people who act from brokenness]
Psalms 23:4	Psalms	23	4	Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me. Your rod and your staff, they comfort me.	Even though I walk through the valley of the shadow of death, I will fear no brokenness, for you are with me. Your rod and your staff, they comfort me.	replace: [evil] -> [brokenness]
Psalms 26:5	Psalms	26	5	I hate the assembly of evil-doers, and will not sit with the wicked.	I hate the assembly of people who act from brokenness, and will not sit with the wicked.	replace: [evil - doers] -> [people who act from brokenness]
Psalms 27:2	Psalms	27	2	When evil-doers came at me to eat up my flesh, even my adversaries and my foes, they stumbled and fell.	When people who act from brokenness came at me to eat up my flesh, even my adversaries and my foes, they stumbled and fell.	replace: [evil - doers] -> [people who act from brokenness]
Psalms 34:16	Psalms	34	16	YHWH's face is against those who do evil, to cut off the memory of them from the earth.	YHWH's face is against those who do brokenness, to cut off the memory of them from the earth.	replace: [evil] -> [brokenness]
Psalms 34:21	Psalms	34	21	Evil shall kill the wicked. Those who hate the righteous shall be condemned.	Brokenness shall kill the wicked. Those who hate the righteous shall be condemned.	replace: [Evil] -> [Brokenness]
Psalms 35:12	Psalms	35	12	They reward me evil for good, to the bereaving of my soul.	They reward me brokenness for good, to the bereaving of my soul.	replace: [evil] -> [brokenness]
Psalms 36:4	Psalms	36	4	He plots iniquity on his bed. He sets himself in a way that is not good. He doesn't abhor evil.	They plot iniquity on their bed. They set themselves in a way that is not good. They don't abhor brokenness.	replace: [He plots] -> [They plot] || replace: [his] -> [their] || replace: [He sets himself] -> [They set themselves] || replace: [He doesn't] -> [They don't] || replace: [evil] -> [brokenness]
Psalms 37:1	Psalms	37	1	<<By David.>> Don't fret because of evil-doers, neither be envious against those who work unrighteousness.	Don't fret because of people who act from brokenness, neither be envious against those who work unrighteousness.	delete: [< < By David . > >] -> [∅] || replace: [evil - doers] -> [people who act from brokenness]
Psalms 37:8	Psalms	37	8	Cease from anger, and forsake wrath. Don't fret, it leads only to evildoing.	Cease from anger, and forsake wrath. Don't fret, it leads only to acting from brokenness.	replace: [evildoing] -> [acting from brokenness]
Psalms 37:9	Psalms	37	9	For evildoers shall be cut off, but those who wait for YHWH shall inherit the land.	For people who act from brokenness shall be cut off, but those who wait for YHWH shall inherit the land.	replace: [evildoers] -> [people who act from brokenness]
Psalms 37:19	Psalms	37	19	They shall not be disappointed in the time of evil. In the days of famine they shall be satisfied.	They shall not be disappointed in the time of brokenness. In the days of famine they shall be satisfied.	replace: [evil] -> [brokenness]
Psalms 38:20	Psalms	38	20	They who also render evil for good are adversaries to me, because I follow what is good.	They who also render brokenness for good are adversaries to me, because I follow what is good.	replace: [evil] -> [brokenness]
Psalms 41:1	Psalms	41	1	<<For the Chief Musician. A Psalm by David.>> Blessed is he who considers the poor. YHWH will deliver him in the day of evil.	Blessed is the one who considers the poor. YHWH will deliver them in the day of brokenness.	delete: [< < For the Chief Musician . A Psalm by David . > >] -> [∅] || replace: [he] -> [the one] || replace: [him] -> [them] || replace: [evil] -> [brokenness]
Psalms 49:5	Psalms	49	5	Why should I fear in the days of evil, when iniquity at my heels surrounds me?	Why should I fear in the days of brokenness, when iniquity at my heels surrounds me?	replace: [evil] -> [brokenness]
Psalms 50:19	Psalms	50	19	"""You give your mouth to evil. Your tongue frames deceit."	"""You give your mouth to brokenness. Your tongue frames deceit."	replace: [evil] -> [brokenness]
Psalms 51:4	Psalms	51	4	Against you, and you only, have I sinned, and done that which is evil in your sight; that you may be proved right when you speak, and justified when you judge.	Against you, and you only, have I sinned, and done that which is brokenness in your sight; that you may be proved right when you speak, and justified when you judge.	replace: [evil] -> [brokenness]
Psalms 52:3	Psalms	52	3	You love evil more than good, lying rather than speaking the truth. Selah.	You love brokenness more than good, lying rather than speaking the truth. Selah.	replace: [evil] -> [brokenness]
Psalms 54:5	Psalms	54	5	He will repay the evil to my enemies. Destroy them in your truth.	YHWH will repay the brokenness to my enemies. Destroy them in your truth.	replace: [He] -> [YHWH] || replace: [evil] -> [brokenness]
Psalms 56:5	Psalms	56	5	All day long they twist my words. All their thoughts are against me for evil.	All day long they twist my words. All their thoughts are against me for brokenness.	replace: [evil] -> [brokenness]
Psalms 64:2	Psalms	64	2	Hide me from the conspiracy of the wicked, from the noisy crowd of the ones doing evil;	Hide me from the conspiracy of the wicked, from the noisy crowd of the ones doing brokenness;	replace: [evil] -> [brokenness]
Psalms 64:5	Psalms	64	5	"They encourage themselves in evil plans. They talk about laying snares secretly. They say, ""Who will see them?"""	"They encourage themselves in brokenness plans. They talk about laying snares secretly. They say, ""Who will see them?"""	replace: [evil] -> [brokenness]
Psalms 74:3	Psalms	74	3	Lift up your feet to the perpetual ruins, all the evil that the enemy has done in the sanctuary.	Lift up your feet to the perpetual ruins, all the brokenness that the enemy has done in the sanctuary.	replace: [evil] -> [brokenness]
Psalms 78:49	Psalms	78	49	He threw on them the fierceness of his anger, wrath, indignation, and trouble, and a band of angels of evil.	Elohim threw on them the fierceness of Elohim’s anger, wrath, indignation, and trouble, and a band of angels of brokenness.	replace: [He] -> [Elohim] || replace: [his] -> [Elohim’s] || replace: [evil] -> [brokenness]
Psalms 89:22	Psalms	89	22	No enemy will tax him. No wicked man will oppress him.	No enemy will tax him. No broken person will oppress him.	replace: [wicked man] -> [broken person]
Psalms 90:15	Psalms	90	15	Make us glad for as many days as you have afflicted us, for as many years as we have seen evil.	Make us glad for as many days as you have afflicted us, for as many years as we have seen brokenness.	replace: [evil] -> [brokenness]
Psalms 91:10	Psalms	91	10	no evil shall happen to you, neither shall any plague come near your dwelling.	no brokenness shall happen to you, neither shall any plague come near your dwelling.	replace: [evil] -> [brokenness]
Psalms 92:7	Psalms	92	7	though the wicked spring up as the grass, and all the evil-doers flourish, they will be destroyed forever.	though the wicked spring up as the grass, and all the people who act from brokenness flourish, they will be destroyed forever.	replace: [evil - doers] -> [people who act from brokenness]
Psalms 92:9	Psalms	92	9	For, behold, your enemies, YHWH, for, behold, your enemies shall perish. All the evil-doers will be scattered.	For, behold, your enemies, YHWH, for, behold, your enemies shall perish. All the people who act from brokenness will be scattered.	replace: [evil - doers] -> [people who act from brokenness]
Psalms 94:4	Psalms	94	4	They pour out arrogant words. All the evil-doers boast.	They pour out arrogant words. All the people who act from brokenness boast.	replace: [evil - doers] -> [people who act from brokenness]
Psalms 94:16	Psalms	94	16	Who will rise up for me against the wicked? Who will stand up for me against the evil-doers?	Who will rise up for me against the wicked? Who will stand up for me against the people who act from brokenness?	replace: [evil - doers] -> [people who act from brokenness]
Psalms 97:10	Psalms	97	10	You who love YHWH, hate evil. He preserves the souls of his saints. He delivers them out of the hand of the wicked.	You who love YHWH, hate brokenness. YHWH preserves the souls of YHWH’s saints. YHWH delivers them out of the hand of the wicked.	replace: [evil] -> [brokenness] || replace: [He] -> [YHWH] || replace: [his] -> [YHWH’s] || replace: [He] -> [YHWH]
Psalms 101:4	Psalms	101	4	A perverse heart will be far from me. I will have nothing to do with evil.	A perverse heart will be far from me. I will have nothing to do with brokenness.	replace: [evil] -> [brokenness]
Psalms 109:5	Psalms	109	5	They have rewarded me evil for good, and hatred for my love.	They have rewarded me brokenness for good, and hatred for my love.	replace: [evil] -> [brokenness]
Psalms 109:6	Psalms	109	6	Set a wicked man over him. Let an adversary stand at his right hand.	Set a broken person over him. Let an adversary stand at his right hand.	replace: [wicked man] -> [broken person]
Psalms 112:7	Psalms	112	7	He will not be afraid of evil news. His heart is steadfast, trusting in YHWH.	They will not be afraid of brokenness news. Their heart is steadfast, trusting in YHWH.	replace: [He] -> [They] || replace: [evil] -> [brokenness] || replace: [His] -> [Their]
Psalms 119:115	Psalms	119	115	Depart from me, you evildoers, that I may keep the commandments of my Elohim.	Depart from me, you people who act from brokenness, that I may keep the commandments of my God.	replace: [evildoers] -> [people who act from brokenness] || replace: [Elohim] -> [God]
Psalms 121:7	Psalms	121	7	YHWH will keep you from all evil. He will keep your soul.	YHWH will keep you from all brokenness. YHWH will keep your soul.	replace: [evil] -> [brokenness] || replace: [He] -> [YHWH]
Psalms 125:3	Psalms	125	3	For the scepter of wickedness won't remain over the allotment of the righteous; so that the righteous won't use their hands to do evil.	For the scepter of wickedness won't remain over the allotment of the righteous; so that the righteous won't use their hands to do brokenness.	replace: [evil] -> [brokenness]
Psalms 140:1	Psalms	140	1	<<For the Chief Musician. A Psalm by David.>> Deliver me, YHWH, from the evil man. Preserve me from the violent man;	Deliver me, YHWH, from the brokenness man. Preserve me from the violent man;	delete: [< < For the Chief Musician . A Psalm by David . > >] -> [∅] || replace: [evil] -> [brokenness]
Psalms 140:8	Psalms	140	8	YHWH, don't grant the desires of the wicked. Don't let their evil plans succeed, or they will become proud. Selah.	YHWH, don't grant the desires of the wicked. Don't let their brokenness plans succeed, or they will become proud. Selah.	replace: [evil] -> [brokenness]
Psalms 140:11	Psalms	140	11	An evil speaker won't be established in the earth. Evil will hunt the violent man to overthrow him.	A brokenness speaker won't be established in the earth. Brokenness will hunt the violent man to overthrow him.	replace: [An evil] -> [A brokenness] || replace: [Evil] -> [Brokenness]
Psalms 141:5	Psalms	141	5	Let the righteous strike me, it is kindness; let him reprove me, it is like oil on the head; don't let my head refuse it; Yet my prayer is always against evil deeds.	Let the righteous strike me, it is kindness; let them reprove me, it is like oil on the head; don't let my head refuse it; Yet my prayer is always against broken deeds.	replace: [him] -> [them] || replace: [evil] -> [broken]
Proverbs 1:16	Proverbs	1	16	for their feet run to evil. They hurry to shed blood.	for their feet run to brokenness. They hurry to shed blood.	replace: [evil] -> [brokenness]
Proverbs 2:12	Proverbs	2	12	to deliver you from the way of evil, from the men who speak perverse things;	to deliver you from the way of brokenness, from the people who speak perverse things;	replace: [evil] -> [brokenness] || replace: [men] -> [people]
Proverbs 2:14	Proverbs	2	14	who rejoice to do evil, and delight in the perverseness of evil;	who rejoice to do brokenness, and delight in the perverseness of brokenness;	replace: [evil] -> [brokenness] || replace: [evil] -> [brokenness]
Proverbs 3:29	Proverbs	3	29	Don't devise evil against your neighbor, seeing he dwells securely by you.	Don't devise brokenness against your neighbor, seeing they dwell securely by you.	replace: [evil] -> [brokenness] || replace: [he dwells] -> [they dwell]
Proverbs 4:14	Proverbs	4	14	Don't enter into the path of the wicked. Don't walk in the way of evil men.	Don't enter into the path of the wicked. Don't walk in the way of brokenness men.	replace: [evil] -> [brokenness]
Proverbs 4:16	Proverbs	4	16	For they don't sleep, unless they do evil. Their sleep is taken away, unless they make someone fall.	For they don't sleep, unless they do brokenness. Their sleep is taken away, unless they make someone fall.	replace: [evil] -> [brokenness]
Proverbs 5:22	Proverbs	5	22	The evil deeds of the wicked ensnare him. The cords of his sin hold him firmly.	The broken deeds of the wicked ensnare them. The cords of their sin hold them firmly.	replace: [evil] -> [broken] || replace: [him] -> [them] || replace: [his] -> [their] || replace: [him] -> [them]
Proverbs 6:14	Proverbs	6	14	in whose heart is perverseness, who devises evil continually, who always sows discord.	in whose heart is perverseness, who devises brokenness continually, who always sows discord.	replace: [evil] -> [brokenness]
