reference	book	chapter	verse	handledBook	category	priority	signals	reason	text
Numbers 19:13	Numbers	19	13	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	Whoever; he; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Whoever touches a dead person, the body of a person who has died, and doesn't purify themselves, defiles the tent of YHWH; and that soul shall be cut off from Israel: because the water for impurity was not sprinkled on him, he shall be unclean; his uncleanness is yet on him.
Numbers 19:13	Numbers	19	13	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	Whoever touches a dead person, the body of a person who has died, and doesn't purify themselves, defiles the tent of YHWH; and that soul shall be cut off from Israel: because the water for impurity was not sprinkled on him, he shall be unclean; his uncleanness is yet on him.
Numbers 19:20	Numbers	19	20	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	But the one who shall be unclean, and shall not purify themselves, that soul shall be cut off from the midst of the assembly, because they have defiled the sanctuary of YHWH: the water for impurity has not been sprinkled on him; he is unclean.
Numbers 19:20	Numbers	19	20	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	But the one who shall be unclean, and shall not purify themselves, that soul shall be cut off from the midst of the assembly, because they have defiled the sanctuary of YHWH: the water for impurity has not been sprinkled on him; he is unclean.
Numbers 20:5	Numbers	20	5	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	Why have you made us to come up out of Mitzrayim, to bring us in to this brokenness place? it is no place of seed, or of figs, or of vines, or of pomegranates; neither is there any water to drink.
Numbers 22:22	Numbers	22	22	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	Elohim's anger was kindled because he went; and the angel of YHWH placed himself in the way for an adversary against him. Now he was riding on his donkey, and his two servants were with him.
Numbers 22:23	Numbers	22	23	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	The donkey saw the angel of YHWH standing in the way, with his sword drawn in his hand; and the donkey turned aside out of the way, and went into the field: and Bil'am struck the donkey, to turn her into the way.
Numbers 22:25	Numbers	22	25	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	The donkey saw the angel of YHWH, and she thrust herself to the wall, and crushed Bil'am's foot against the wall: and he struck her again.
Numbers 22:27	Numbers	22	27	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	The donkey saw the angel of YHWH, and she lay down under Bil'am: and Bil'am's anger was kindled, and he struck the donkey with his staff.
Numbers 22:31	Numbers	22	31	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute; explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	Then YHWH opened the eyes of Bil'am, and he saw the angel of YHWH standing in the way, with his sword drawn in his hand; and he bowed his head, and fell on his face.
Numbers 22:35	Numbers	22	35	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	The angel of YHWH said to Bil'am, Go with the men; but only the word that I shall speak to you, that you shall speak. So Bil'am went with the princes of Balak.
Numbers 23:3	Numbers	23	3	False	DIVINE-REFERENT REVIEW	HIGH	next-sentence-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	Bil'am said to Balak, Stand by your burnt offering, and I will go: perhaps YHWH will come to meet me; and whatever he shows me I will tell you. He went to a bare height.
Numbers 23:4	Numbers	23	4	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	Elohim met Bil'am: and he said to him, I have prepared the seven altars, and I have offered up a bull and a ram on every altar.
Numbers 23:10	Numbers	23	10	False	GENERIC PRONOUN REVIEW	REVIEW	the righteous; his	A potentially generic antecedent is paired with masculine pronouns, but the referent may be a specific person. Context/source review required.	Who can count the dust of Ya'akov, Or number the fourth part of Israel? Let me die the death of the righteous, Let my last end be like his!
Numbers 24:1	Numbers	24	1	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	When Bil'am saw that it pleased YHWH to bless Israel, he didn't go, as at the other times, to meet with enchantments, but he set his face toward the wilderness.
Numbers 24:4	Numbers	24	4	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	he says, who hears the words of Elohim, who sees the vision of the Almighty, falling down, and having his eyes open:
Numbers 24:8	Numbers	24	8	False	DIVINE-REFERENT REVIEW	HIGH	next-sentence-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	Elohim brings him out of Mitzrayim. He has as it were the strength of the wild ox. He shall eat up the nations his adversaries, shall break their bones in pieces, and pierce them with his arrows.
Numbers 24:9	Numbers	24	9	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	Everyone; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	He couched, he lay down as a lion, as a lioness; who shall rouse him up? Everyone who blesses you is blessed. Everyone who curses you is cursed.
Numbers 24:16	Numbers	24	16	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	he says, who hears the words of Elohim, knows the knowledge of the Most High, and who sees the vision of the Almighty, Falling down, and having his eyes open:
Numbers 26:10	Numbers	26	10	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	and the earth opened its mouth, and swallowed them up together with Korah, when that company died; what time the fire devoured two hundred fifty men, and they became a sign.
Numbers 26:54	Numbers	26	54	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	To the more you shall give the more inheritance, and to the fewer you shall give the less inheritance: to everyone according to those who were numbered of him shall their inheritance be given.
Numbers 27:3	Numbers	27	3	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	Our father died in the wilderness, and he was not among the company of those who gathered themselves together against YHWH in the company of Korah: but he died in his own sin; and he had no sons.
Numbers 27:18	Numbers	27	18	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	YHWH said to Moshe, Take Yehoshua the son of Nun, a person in whom is the Ruach, and lay your hand on him;
Numbers 27:21	Numbers	27	21	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	He shall stand before Eleazar the priest, who shall inquire for him by the judgment of the Urim before YHWH: at his word shall they go out, and at his word they shall come in, both he, and all the children of Israel with him, even all the congregation.
Numbers 27:22	Numbers	27	22	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	Moshe did as YHWH commanded him; and he took Yehoshua, and set him before Eleazar the priest, and before all the congregation:
Numbers 30:2	Numbers	30	2	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	someone; he; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	When someone vows a vow to YHWH, or swears an oath to bind their soul with a bond, they shall not break their word; he shall do according to all that proceeds out of his mouth.
Numbers 30:2	Numbers	30	2	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	When someone vows a vow to YHWH, or swears an oath to bind their soul with a bond, they shall not break their word; he shall do according to all that proceeds out of his mouth.
Numbers 31:3	Numbers	31	3	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	Moshe spoke to the people, saying, Arm you men from among you for the war, that they may go against Midian, to execute YHWH's vengeance on Midian.
Numbers 31:11	Numbers	31	11	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	They took all the spoil, and all the prey, both of man and of animal.
Numbers 31:17	Numbers	31	17	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	Now therefore kill every male among the little ones, and kill every woman who has known man by lying with him.
Numbers 31:18	Numbers	31	18	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	But all the girls, who have not known man by lying with him, keep alive for yourselves.
Numbers 31:21	Numbers	31	21	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	Eleazar the priest said to the men of war who went to the battle, This is the statute of the law which YHWH has commanded Moshe:
Numbers 31:26	Numbers	31	26	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	Take the sum of the prey that was taken, both of man and of animal, you, and Eleazar the priest, and the heads of the fathers' [houses] of the congregation;
Numbers 31:27	Numbers	31	27	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	and divide the prey into two parts: between the men skilled in war, who went out to battle, and all the congregation.
Numbers 31:28	Numbers	31	28	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	Levy a tribute to YHWH of the men of war who went out to battle: one soul of five hundred, [both] of the persons, and of the oxen, and of the donkeys, and of the flocks:
Numbers 31:32	Numbers	31	32	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	Now the prey, over and above the booty which the men of war took, was six hundred seventy-five thousand sheep,
Numbers 31:35	Numbers	31	35	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	and thirty-two thousand persons in all, of the women who had not known man by lying with him.
Numbers 31:47	Numbers	31	47	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	even of the children of Israel's half, Moshe took one drawn out of every fifty, both of man and of animal, and gave them to the Levites, who kept the charge of the tent of YHWH; as YHWH commanded Moshe.
Numbers 31:49	Numbers	31	49	False	MASCULINE TERM REVIEW	REVIEW	man; men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	and they said to Moshe, Your servants have taken the sum of the men of war who are under our charge, and there lacks not one man of us.
Numbers 31:53	Numbers	31	53	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	([For] the men of war had taken booty, everyone for themselves.)
Numbers 32:13	Numbers	32	13	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	YHWH's anger was kindled against Israel, and YHWH made them wander back and forth in the wilderness forty years, until all the generation, who had done brokenness in the sight of YHWH, was consumed.
Numbers 32:14	Numbers	32	14	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	Behold, you are risen up in your fathers' place, an increase of sinful men, to augment yet the fierce anger of YHWH toward Israel.
Numbers 32:21	Numbers	32	21	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	and every armed man of you will pass over the Yarden before YHWH, until YHWH has driven out YHWH’s enemies from before YHWH,
Numbers 34:19	Numbers	34	19	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	These are the names of the men: Of the tribe of Yehudah, Kalev the son of Jephunneh.
Numbers 35:17	Numbers	35	17	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	If they struck him with a stone in the hand, by which a person may die, and they died, they are a murderer: the murderer shall surely be put to death.
Numbers 35:18	Numbers	35	18	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Or if they struck him with a weapon of wood in the hand, by which a person may die, and they died, they are a murderer: the murderer shall surely be put to death.
Numbers 35:21	Numbers	35	21	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	or in enmity struck him with his hand, so that he died; the one who struck him shall surely be put to death; he is a murderer: the avenger of blood shall put the murderer to death, when he meets him.
Numbers 35:23	Numbers	35	23	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	or with any stone, by which a person may die, not seeing him, and cast it on him, so that they died, and they were not their enemy, neither sought their harm;
Deuteronomy 1:16	Deuteronomy	1	16	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	I charged your judges at that time, saying, Hear [the causes] between your brothers, and judge righteously between a person and their brother, and the foreigner who is living with him.
Deuteronomy 1:17	Deuteronomy	1	17	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	You shall not show partiality in judgment; you shall hear the small and the great alike; you shall not be afraid of the face of man; for the judgment is Elohim's: and the cause that is too hard for you, you shall bring to me, and I will hear it.
Deuteronomy 1:22	Deuteronomy	1	22	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	You came near to me everyone of you, and said, Let us send men before us, that they may search the land for us, and bring us word again of the way by which we must go up, and the cities to which we shall come.
Deuteronomy 1:23	Deuteronomy	1	23	False	MASCULINE TERM REVIEW	REVIEW	man; men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	The thing pleased me well; and I took twelve men of you, one man for every tribe:
Deuteronomy 1:35	Deuteronomy	1	35	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	Surely there shall not one of these men of this broken generation see the good land, which I swore to give to your fathers,
Deuteronomy 1:39	Deuteronomy	1	39	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	Moreover your little ones, whom you said should be a prey, and your children, who this day have no knowledge of good or brokenness, they shall go in there, and to them will I give it, and they shall possess it.
Deuteronomy 2:9	Deuteronomy	2	9	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	YHWH said to me, Don't bother Moab, neither contend with them in battle; for I will not give you of his land for a possession; because I have given Ar to the children of Lot for a possession.
Deuteronomy 2:14	Deuteronomy	2	14	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	The days in which we came from Kadesh Barnea, until we were come over the brook Zered, were thirty-eight years; until all the generation of the men of war were consumed from the midst of the camp, as YHWH swore to them.
Deuteronomy 2:16	Deuteronomy	2	16	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	So it happened, when all the men of war were consumed and dead from among the people,
Deuteronomy 2:30	Deuteronomy	2	30	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute; explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	But Sihon king of Heshbon would not let us pass by him; for YHWH your God hardened his spirit, and made his heart obstinate, that he might deliver him into your hand, as at this day.
Deuteronomy 2:31	Deuteronomy	2	31	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute; explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	YHWH said to me, Behold, I have begun to deliver up Sihon and his land before you: begin to possess, that you may inherit his land.
Deuteronomy 2:33	Deuteronomy	2	33	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute; explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	YHWH our God delivered him up before us; and we struck him, and his sons, and all his people.
Deuteronomy 3:2	Deuteronomy	3	2	False	DIVINE-REFERENT REVIEW	HIGH	devotion-object; divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	YHWH said to me, Don't fear him; for I have delivered him, and all his people, and his land, into your hand; and you shall do to him as you did to Sihon king of the Amorites, who lived at Heshbon.
Deuteronomy 3:11	Deuteronomy	3	11	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	(For only Og king of Bashan remained of the remnant of the Rephaim; behold, his bedstead was a bedstead of iron; isn't it in Rabbah of the children of Ammon? nine cubits was the length of it, and four cubits the breadth of it, after the cubit of a person.)
Deuteronomy 3:18	Deuteronomy	3	18	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	I commanded you at that time, saying, YHWH your God has given you this land to possess it: you shall pass over armed before your brothers the children of Israel, all the men of valor.
Deuteronomy 4:7	Deuteronomy	4	7	False	DIVINE-REFERENT REVIEW	HIGH	devotion-object	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	For what great nation is there, that has a god so near to them, as YHWH our God is whenever we call on him?
Deuteronomy 4:25	Deuteronomy	4	25	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	When you shall father children, and children's children, and you shall have been long in the land, and shall corrupt yourselves, and make an engraved image in the form of anything, and shall do that which is brokenness in the sight of YHWH your God, to provoke him to anger;
Deuteronomy 4:32	Deuteronomy	4	32	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	For ask now of the days that are past, which were before you, since the day that Elohim created man on the earth, and from the one end of the heavens to the other, whether there has been [any such thing] as this great thing is, or has been heard like it?
Deuteronomy 5:21	Deuteronomy	5	21	False	GENERIC PRONOUN REVIEW	REVIEW	your neighbor; his	A potentially generic antecedent is paired with masculine pronouns, but the referent may be a specific person. Context/source review required.	"""Neither shall you covet your neighbor's wife; neither shall you desire your neighbor's house, his field, or his male servant, or his female servant, his ox, or his donkey, or anything that is your neighbor's."""
Deuteronomy 5:24	Deuteronomy	5	24	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	and you said, Behold, YHWH our God has shown us YHWH’s glory and YHWH’s greatness, and we have heard YHWH’s voice out of the midst of the fire: we have seen this day that Elohim does speak with man, and he lives.
Deuteronomy 7:4	Deuteronomy	7	4	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	For he will turn away your son from following me, that they may serve other gods: so will the anger of YHWH be kindled against you, and he will destroy you quickly.
Deuteronomy 7:10	Deuteronomy	7	10	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	and repays those who hate him to their face, to destroy them: they will not be slack to the one who hates him, they will repay him to their face.
Deuteronomy 7:15	Deuteronomy	7	15	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	YHWH will take away from you all sickness; and none of the brokenness diseases of Mitzrayim, which you know, YHWH will put on you, but will lay them on all those who hate you.
Deuteronomy 8:3	Deuteronomy	8	3	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	YHWH humbled you, and allowed you to hunger, and fed you with manna, which you didn't know, neither did your fathers know; that they might make you know that a person does not live by bread only, but by everything that proceeds out of the mouth of YHWH does man live.
Deuteronomy 13:5	Deuteronomy	13	5	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	That prophet, or that dreamer of dreams, shall be put to death, because he has spoken rebellion against YHWH your God, who brought you out of the land of Mitzrayim, and redeemed you out of the house of bondage, to draw you aside out of the way which YHWH your God commanded you to walk in. So shall you put away the brokenness from the midst of you.
Deuteronomy 14:21	Deuteronomy	14	21	False	GENERIC PRONOUN REVIEW	REVIEW	a foreigner; he	A potentially generic antecedent is paired with masculine pronouns, but the referent may be a specific person. Context/source review required.	You shall not eat of anything that dies of itself: you may give it to the foreigner living among you who is within your gates, that he may eat it; or you may sell it to a foreigner: for you are a holy people to YHWH your God. You shall not boil a kid in its mother's milk.
Deuteronomy 15:7	Deuteronomy	15	7	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	If there be with you a poor man, one of your brothers, within any of your gates in your land which YHWH your God gives you, you shall not harden your heart, nor shut your hand from your poor brother;
Deuteronomy 15:9	Deuteronomy	15	9	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	Beware that there not be a base thought in your heart, saying, The seventh year, the year of release, is at hand; and your eye be brokenness against your poor brother, and you give him nothing; and he cry to YHWH against you, and it be sin to you.
Deuteronomy 15:12	Deuteronomy	15	12	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	If your brother, a Hebrew man, or a Hebrew woman, be sold to you, and serve you six years; then in the seventh year you shall let him go free from you.
Deuteronomy 17:1	Deuteronomy	17	1	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	You shall not sacrifice to YHWH your God an ox, or a sheep, in which is a blemish, [or] anything brokenness; for that is an abomination to YHWH your God.
Deuteronomy 17:2	Deuteronomy	17	2	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	If there be found in the midst of you, within any of your gates which YHWH your God gives you, man or woman, who does that which is brokenness in the sight of YHWH your God, in transgressing YHWH’s covenant,
Deuteronomy 17:2	Deuteronomy	17	2	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	If there be found in the midst of you, within any of your gates which YHWH your God gives you, man or woman, who does that which is brokenness in the sight of YHWH your God, in transgressing YHWH’s covenant,
Deuteronomy 17:5	Deuteronomy	17	5	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	then shall you bring forth that man or that woman, who has done this broken thing, to your gates, even the person or the woman; and you shall stone them to death with stones.
Deuteronomy 17:6	Deuteronomy	17	6	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	At the mouth of two witnesses, or three witnesses, shall the one who is to die be put to death; at the mouth of one witness he shall not be put to death.
Deuteronomy 17:7	Deuteronomy	17	7	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall put away the brokenness from the midst of you.
Deuteronomy 17:12	Deuteronomy	17	12	False	BROKENNESS LEXICAL REVIEW	HIGH	brokenness	The English brokenness/broken wording may flatten distinct Hebrew senses such as harm, wrongdoing, calamity, trouble, wickedness, misfortune, or destruction. Requires source/context review.	The one who does presumptuously, in not listening to the priest who stands to minister there before YHWH your God, or to the judge, even that man shall die: and you shall put away the brokenness from Israel.
Deuteronomy 17:12	Deuteronomy	17	12	False	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	The one who does presumptuously, in not listening to the priest who stands to minister there before YHWH your God, or to the judge, even that man shall die: and you shall put away the brokenness from Israel.
Deuteronomy 17:15	Deuteronomy	17	15	False	GENERIC PRONOUN REVIEW	REVIEW	a foreigner; him	A potentially generic antecedent is paired with masculine pronouns, but the referent may be a specific person. Context/source review required.	you shall surely set him king over you, whom YHWH your God shall choose: one from among your brothers shall you set king over you; you may not put a foreigner over you, who is not your brother.
Deuteronomy 18:1	Deuteronomy	18	1	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	The priests the Levites, [even] all the tribe of Levi, shall have no portion nor inheritance with Israel: they shall eat the offerings of YHWH made by fire, and his inheritance.
