reference	book	chapter	verse	categories	before	after
1 Samuel 26:18	1 Samuel	26	18	lexical	He said, Why does my lord pursue after his servant? for what have I done? or what brokenness is in my hand?	He said, Why does my lord pursue after his servant? for what have I done? or what evil is in my hand?
1 Samuel 29:6	1 Samuel	29	6	lexical	Then Achish called Dawid, and said to him, As YHWH lives, you have been upright, and your going out and your coming in with me in the army is good in my sight; for I have not found brokenness in you since the day of your coming to me to this day: nevertheless the lords don't favor you.	Then Achish called Dawid, and said to him, As YHWH lives, you have been upright, and your going out and your coming in with me in the army is good in my sight; for I have not found evil in you since the day of your coming to me to this day: nevertheless the lords don't favor you.
1 Samuel 30:22	1 Samuel	30	22	generic-human	Then answered all the wicked men and base fellows, of those who went with Dawid, and said, Because they didn't go with us, we will not give them anything of the spoil that we have recovered, except to each man his wife and his children, that they may lead them away, and depart.	Then answered all the wicked men and base fellows, of those who went with Dawid, and said, Because they didn't go with us, we will not give them anything of the spoil that we have recovered, except to each person his wife and his children, that they may lead them away, and depart.
2 Samuel 3:39	2 Samuel	3	39	lexical	"I am this day weak, though anointed king; and these men the sons of Zeruiah are too hard for me. May YHWH reward the one who acts from brokenness according to their wickedness."""	"I am this day weak, though anointed king; and these men the sons of Zeruiah are too hard for me. May YHWH reward the one who does wrong according to their wickedness."""
2 Samuel 12:9	2 Samuel	12	9	lexical	Why have you despised the word of YHWH, to do that which is brokenness in his sight? You have struck Uriyah the Hittite with the sword, and have taken his wife to be your wife, and have slain him with the sword of the children of Ammon.	Why have you despised the word of YHWH, to do that which is evil in his sight? You have struck Uriyah the Hittite with the sword, and have taken his wife to be your wife, and have slain him with the sword of the children of Ammon.
2 Samuel 12:11	2 Samuel	12	11	lexical	This is what YHWH says: 'Behold, I will raise up brokenness against you out of your own house; and I will take your wives before your eyes, and give them to your neighbor, and he will lie with your wives in the sight of this sun.	This is what YHWH says: 'Behold, I will raise up harm against you out of your own house; and I will take your wives before your eyes, and give them to your neighbor, and he will lie with your wives in the sight of this sun.
2 Samuel 15:14	2 Samuel	15	14	lexical	Dawid said to all his servants who were with him at Yerushalayim, Arise, and let us flee; for else none of us shall escape from Avshalom: make speed to depart, lest he overtake us quickly, and bring down brokenness on us, and strike the city with the edge of the sword.	Dawid said to all his servants who were with him at Yerushalayim, Arise, and let us flee; for else none of us shall escape from Avshalom: make speed to depart, lest he overtake us quickly, and bring down evil on us, and strike the city with the edge of the sword.
2 Samuel 19:7	2 Samuel	19	7	lexical	Now therefore arise, go forth, and speak comfortably to your servants; for I swear by YHWH, if you don't go forth, there will not stay a person with you this night: and that will be worse to you than all the brokenness that has happened to you from your youth until now.	Now therefore arise, go forth, and speak comfortably to your servants; for I swear by YHWH, if you don't go forth, there will not stay a person with you this night: and that will be worse to you than all the evil that has happened to you from your youth until now.
1 Kings 3:9	1 Kings	3	9	lexical	Give your servant therefore an understanding heart to judge your people, that I may discern between good and brokenness; for who is able to judge this your great people?	Give your servant therefore an understanding heart to judge your people, that I may discern between good and evil; for who is able to judge this your great people?
1 Kings 8:31	1 Kings	8	31	generic-pronoun	If someone sin against their neighbor, and an oath be laid on him to cause him to swear, and they come [and] swear before your altar in this house;	If someone sin against their neighbor, and an oath be laid on them to cause them to swear, and they come [and] swear before your altar in this house;
1 Kings 9:9	1 Kings	9	9	lexical	and they shall answer, Because they forsook YHWH their God, who brought forth their fathers out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has YHWH brought all this brokenness on them.	and they shall answer, Because they forsook YHWH their God, who brought forth their fathers out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has YHWH brought all this evil on them.
1 Kings 14:9	1 Kings	14	9	lexical	but have done brokenness above all who were before you, and have gone and made you other gods, and molten images, to provoke me to anger, and have cast me behind your back:	but have done wrong above all who were before you, and have gone and made you other gods, and molten images, to provoke me to anger, and have cast me behind your back:
1 Kings 16:7	1 Kings	16	7	lexical	Moreover by the prophet Yehu the son of Hanani came the word of YHWH against Baasha, and against his house, both because of all the brokenness that he did in the sight of YHWH, to provoke him to anger with the work of his hands, in being like the house of Yerovam, and because he struck him.	Moreover by the prophet Yehu the son of Hanani came the word of YHWH against Baasha, and against his house, both because of all the evil that he did in the sight of YHWH, to provoke him to anger with the work of his hands, in being like the house of Yerovam, and because he struck him.
1 Kings 21:20	1 Kings	21	20	lexical	Achav said to Eliyahu, Have you found me, my enemy? He answered, I have found you, because you have sold yourself to do that which is brokenness in the sight of YHWH.	Achav said to Eliyahu, Have you found me, my enemy? He answered, I have found you, because you have sold yourself to do that which is wrong in the sight of YHWH.
1 Kings 21:29	1 Kings	21	29	lexical	See you how Achav humbles himself before me? because he humbles himself before me, I will not bring the brokenness in his days; but in his son's days will I bring the brokenness on his house.	See you how Achav humbles himself before me? because he humbles himself before me, I will not bring the evil in his days; but in his son's days will I bring the evil on his house.
1 Kings 22:8	1 Kings	22	8	lexical	"The king of Israel said to Yehoshafat, there is yet one man by whom we may inquire of YHWH, Micaiah the son of Imlah: but I hate him; for he does not prophesy good concerning me, but brokenness. Yehoshafat said, ""Don't let the king say so."""	"The king of Israel said to Yehoshafat, there is yet one man by whom we may inquire of YHWH, Micaiah the son of Imlah: but I hate him; for he does not prophesy good concerning me, but evil. Yehoshafat said, ""Don't let the king say so."""
1 Kings 22:18	1 Kings	22	18	lexical	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but brokenness?	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but evil?
2 Kings 8:12	2 Kings	8	12	lexical	Hazael said, Why weeps my lord? He answered, Because I know the brokenness that you will do to the children of Israel: their strongholds will you set on fire, and their young people will you kill with the sword, and will dash in pieces their little ones, and rip up their women with child.	Hazael said, Why weeps my lord? He answered, Because I know the evil that you will do to the children of Israel: their strongholds will you set on fire, and their young people will you kill with the sword, and will dash in pieces their little ones, and rip up their women with child.
2 Kings 21:6	2 Kings	21	6	lexical	He made his son to pass through the fire, and practiced sorcery, and used enchantments, and dealt with those who had familiar spirits, and with wizards: he worked much brokenness in the sight of YHWH, to provoke him to anger.	He made his son to pass through the fire, and practiced sorcery, and used enchantments, and dealt with those who had familiar spirits, and with wizards: he did much wrong in the sight of YHWH, to provoke him to anger.
2 Kings 21:9	2 Kings	21	9	lexical	But they didn't listen: and Menashe seduced them to do that which is brokenness more than did the nations whom YHWH destroyed before the children of Israel.	But they didn't listen: and Menashe seduced them to do that which is evil more than did the nations whom YHWH destroyed before the children of Israel.
2 Kings 21:12	2 Kings	21	12	lexical	therefore thus says YHWH, the God of Israel, Behold, I bring such brokenness on Yerushalayim and Yehudah, that whoever hears of it, both their ears shall tingle.	therefore thus says YHWH, the God of Israel, Behold, I bring such calamity on Yerushalayim and Yehudah, that whoever hears of it, both their ears shall tingle.
2 Kings 21:15	2 Kings	21	15	lexical	because they have done that which is brokenness in my sight, and have provoked me to anger, since the day their fathers came forth out of Mitzrayim, even to this day.	because they have done what is wrong in my sight, and have provoked me to anger, since the day their fathers came forth out of Mitzrayim, even to this day.
2 Kings 22:20	2 Kings	22	20	lexical	Therefore, behold, I will gather you to your fathers, and you shall be gathered to your grave in peace, neither shall your eyes see all the brokenness which I will bring on this place. They brought the king word again.	Therefore, behold, I will gather you to your fathers, and you shall be gathered to your grave in peace, neither shall your eyes see all the evil which I will bring on this place. They brought the king word again.
1 Chronicles 7:23	1 Chronicles	7	23	lexical	He went in to his wife, and she conceived, and bore a son, and he named him Beriah, because it went brokenness with his house.	He went in to his wife, and she conceived, and bore a son, and he named him Beriah, because it went evil with his house.
2 Chronicles 6:22	2 Chronicles	6	22	generic-pronoun	If someone sin against their neighbor, and an oath is laid on him to cause him to swear, and they come and swears before your altar in this house;	If someone sin against their neighbor, and an oath is laid on them to cause them to swear, and they come and swears before your altar in this house;
2 Chronicles 7:22	2 Chronicles	7	22	lexical	They shall answer, Because they abandoned YHWH, the God of their fathers, who brought them forth out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has he brought all this brokenness on them.	They shall answer, Because they abandoned YHWH, the God of their fathers, who brought them forth out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has he brought all this evil on them.
2 Chronicles 18:7	2 Chronicles	18	7	lexical	The king of Israel said to Yehoshafat, There is yet one man by whom we may inquire of YHWH: but I hate him; for he never prophesies good concerning me, but always brokenness: the same is Micaiah the son of Imla. Yehoshafat said, Don't let the king say so.	The king of Israel said to Yehoshafat, There is yet one man by whom we may inquire of YHWH: but I hate him; for he never prophesies good concerning me, but always evil: the same is Micaiah the son of Imla. Yehoshafat said, Don't let the king say so.
2 Chronicles 18:17	2 Chronicles	18	17	lexical	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but brokenness?	The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but evil?
2 Chronicles 20:9	2 Chronicles	20	9	lexical	If brokenness come on us, the sword, judgment, or pestilence, or famine, we will stand before this house, and before you, (for your name is in this house), and cry to you in our affliction, and you will hear and save.	If evil come on us, the sword, judgment, or pestilence, or famine, we will stand before this house, and before you, (for your name is in this house), and cry to you in our affliction, and you will hear and save.
2 Chronicles 33:6	2 Chronicles	33	6	lexical	He also made his children to pass through the fire in the valley of the son of Hinnom; and he practiced sorcery, and used enchantments, and practiced sorcery, and dealt with those who had familiar spirits, and with wizards: he worked much brokenness in the sight of YHWH, to provoke him to anger.	He also made his children to pass through the fire in the valley of the son of Hinnom; and he practiced sorcery, and used enchantments, and practiced sorcery, and dealt with those who had familiar spirits, and with wizards: he did much wrong in the sight of YHWH, to provoke him to anger.
2 Chronicles 33:9	2 Chronicles	33	9	lexical	Menashe seduced Yehudah and the inhabitants of Yerushalayim, so that they did brokenness more than did the nations whom YHWH destroyed before the children of Israel.	Menashe seduced Yehudah and the inhabitants of Yerushalayim, so that they did wrong more than did the nations whom YHWH destroyed before the children of Israel.
2 Chronicles 34:28	2 Chronicles	34	28	lexical	Behold, I will gather you to your fathers, and you shall be gathered to your grave in peace, neither shall your eyes see all the brokenness that I will bring on this place, and on the inhabitants of it. They brought back word to the king.	Behold, I will gather you to your fathers, and you shall be gathered to your grave in peace, neither shall your eyes see all the calamity that I will bring on this place, and on the inhabitants of it. They brought back word to the king.
Ezra 9:13	Ezra	9	13	lexical	After all that is come on us for our broken deeds, and for our great guilt, seeing that you our God have punished us less than our iniquities deserve, and have given us such a remnant,	After all that is come on us for our wrong deeds, and for our great guilt, seeing that you our God have punished us less than our iniquities deserve, and have given us such a remnant,
Nehemiah 2:17	Nehemiah	2	17	lexical	Then said I to them, You see the brokenness case that we are in, how Yerushalayim lies waste, and the gates of it are burned with fire: come, and let us build up the wall of Yerushalayim, that we be no more a reproach.	Then said I to them, You see the trouble that we are in, how Yerushalayim lies waste, and the gates of it are burned with fire: come, and let us build up the wall of Yerushalayim, that we be no more a reproach.
Nehemiah 9:28	Nehemiah	9	28	lexical	But after they had rest, they did brokenness again before you; therefore left you them in the hand of their enemies, so that they had the dominion over them: yet when they returned, and cried to you, you heard from heavens; and many times did you deliver them according to your mercies,	But after they had rest, they did wrong again before you; therefore left you them in the hand of their enemies, so that they had the dominion over them: yet when they returned, and cried to you, you heard from heavens; and many times did you deliver them according to your mercies,
Nehemiah 13:7	Nehemiah	13	7	lexical	and I came to Yerushalayim, and understood the brokenness that Eliashib had done for Tobiah, in preparing him a chamber in the courts of the house of Elohim.	and I came to Yerushalayim, and understood the evil that Eliashib had done for Tobiah, in preparing him a chamber in the courts of the house of Elohim.
Nehemiah 13:18	Nehemiah	13	18	lexical	Didn't your fathers do thus, and did not our God bring all this brokenness on us, and on this city? yet you bring more wrath on Israel by profaning the Sabbath.	Didn't your fathers do thus, and did not our God bring all this evil on us, and on this city? yet you bring more wrath on Israel by profaning the Sabbath.
Nehemiah 13:27	Nehemiah	13	27	lexical	Shall we then listen to you to do all this great brokenness, to trespass against our God in marrying foreign women?	Shall we then listen to you to do all this great evil, to trespass against our God in marrying foreign women?
Esther 7:7	Esther	7	7	lexical	The king arose in his wrath from the banquet of wine and went into the palace garden. Haman stood up to make request for his life to Esther the queen; for he saw that there was brokenness determined against him by the king.	The king arose in his wrath from the banquet of wine and went into the palace garden. Haman stood up to make request for his life to Esther the queen; for he saw that there was evil determined against him by the king.
Esther 8:6	Esther	8	6	lexical	"For how can I endure to see the brokenness that would come to my people? How can I endure to see the destruction of my relatives?"""	"For how can I endure to see the evil that would come to my people? How can I endure to see the destruction of my relatives?"""
Job 2:10	Job	2	10	lexical	"But he said to her, ""You speak as one of the foolish women would speak. What? Shall we receive good at the hand of Elohim, and shall we not receive brokenness?"" In all this Job didn't sin with his lips."	"But he said to her, ""You speak as one of the foolish women would speak. What? Shall we receive good at the hand of Elohim, and shall we not receive evil?"" In all this Job didn't sin with his lips."
Job 2:11	Job	2	11	lexical	Now when Job's three friends heard of all this brokenness that had come on him, they each came from his own place: Eliphaz the Temanite, Bildad the Shuhite, and Zophar the Naamathite, and they made an appointment together to come to sympathize with him and to comfort him.	Now when Job's three friends heard of all this evil that had come on him, they each came from his own place: Eliphaz the Temanite, Bildad the Shuhite, and Zophar the Naamathite, and they made an appointment together to come to sympathize with him and to comfort him.
Job 4:2	Job	4	2	generic-pronoun	"""If someone ventures to talk with you, will you be grieved? But who can withhold himself from speaking?"	"""If someone ventures to talk with you, will you be grieved? But who can withhold themselves from speaking?"
Job 5:19	Job	5	19	lexical	He will deliver you in six troubles; yes, in seven there shall no brokenness touch you.	He will deliver you in six troubles; yes, in seven there shall no evil touch you.
Job 8:20	Job	8	20	lexical	"""Behold, Elohim will not cast away a blameless man, neither will he uphold the people who act from brokenness."	"""Behold, Elohim will not cast away a blameless man, neither will he uphold the people who do wrong."
Job 15:20	Job	15	20	lexical	the broken person writhes in pain all their days, even the number of years that are laid up for the oppressor.	the wicked person writhes in pain all their days, even the number of years that are laid up for the oppressor.
Job 20:29	Job	20	29	lexical	"This is the portion of a broken person from Elohim, the heritage appointed to him by Elohim."""	"This is the portion of a wicked person from Elohim, the heritage appointed to him by Elohim."""
Job 21:30	Job	21	30	lexical	that the brokenness a person is reserved to the day of calamity, That they are led forth to the day of wrath?	that the evil a person is reserved to the day of calamity, That they are led forth to the day of wrath?
Job 27:13	Job	27	13	lexical	"""This is the portion of a broken person with Elohim, the heritage of oppressors, which they receive from the Almighty."	"""This is the portion of a wicked person with Elohim, the heritage of oppressors, which they receive from the Almighty."
Job 30:26	Job	30	26	lexical	When I looked for good, then brokenness came; When I waited for light, there came darkness.	When I looked for good, then evil came; When I waited for light, there came darkness.
Job 31:29	Job	31	29	lexical	"""If I have rejoiced at the destruction of the one who hated me, or lifted up myself when brokenness found him;"	"""If I have rejoiced at the destruction of the one who hated me, or lifted up myself when evil found him;"
Job 35:12	Job	35	12	lexical	There they cry, but none gives answer, because of the pride of brokenness men.	There they cry, but none gives answer, because of the pride of wicked people.
Psalms 5:4	Psalms	5	4	lexical	For you are not an Elohim who has pleasure in wickedness. Brokenness can't live with you.	For you are not an Elohim who has pleasure in wickedness. evil can't live with you.
Psalms 7:4	Psalms	7	4	lexical	if I have rewarded brokenness to the one who was at peace with me (yes, if I have delivered the one who without cause was my adversary),	if I have rewarded evil to the one who was at peace with me (yes, if I have delivered the one who without cause was my adversary),
Psalms 10:15	Psalms	10	15	lexical	Break the arm of the wicked. As for the brokenness man, seek out his wickedness until you find none.	Break the arm of the wicked. As for the wicked person, seek out his wickedness until you find none.
Psalms 15:3	Psalms	15	3	lexical	The one who doesn't slander with their tongue, nor does brokenness to their friend, nor casts slurs against their fellow man;	The one who doesn't slander with their tongue, nor does evil to their friend, nor casts slurs against their fellow man;
Psalms 21:11	Psalms	21	11	lexical	For they intended brokenness against you. They plotted brokenness against you which cannot succeed.	For they intended harm against you. They plotted harm against you which cannot succeed.
Psalms 22:16	Psalms	22	16	lexical	For dogs have surrounded me. A company of people who act from brokenness have enclosed me. Like a lion, they pin my hands and feet.	For dogs have surrounded me. A company of people who do wrong have enclosed me. Like a lion, they pin my hands and feet.
Psalms 23:4	Psalms	23	4	lexical	Even though I walk through the valley of the shadow of death, I will fear no brokenness, for you are with me. Your rod and your staff, they comfort me.	Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me. Your rod and your staff, they comfort me.
Psalms 26:5	Psalms	26	5	lexical	I hate the assembly of people who act from brokenness, and will not sit with the wicked.	I hate the assembly of people who do wrong, and will not sit with the wicked.
Psalms 27:2	Psalms	27	2	lexical	When people who act from brokenness came at me to eat up my flesh, even my adversaries and my foes, they stumbled and fell.	When people who do wrong came at me to eat up my flesh, even my adversaries and my foes, they stumbled and fell.
Psalms 34:16	Psalms	34	16	lexical	YHWH's face is against those who do brokenness, to cut off the memory of them from the earth.	YHWH's face is against those who do wrong, to cut off the memory of them from the earth.
Psalms 34:21	Psalms	34	21	lexical	Brokenness shall kill the wicked. Those who hate the righteous shall be condemned.	evil shall kill the wicked. Those who hate the righteous shall be condemned.
Psalms 35:12	Psalms	35	12	lexical	They reward me brokenness for good, to the bereaving of my soul.	They reward me evil for good, to the bereaving of my soul.
Psalms 36:4	Psalms	36	4	lexical	They plot iniquity on their bed. They set themselves in a way that is not good. They don't abhor brokenness.	They plot iniquity on their bed. They set themselves in a way that is not good. They don't abhor evil.
Psalms 37:1	Psalms	37	1	lexical	Don't fret because of people who act from brokenness, neither be envious against those who work unrighteousness.	Don't fret because of people who do wrong, neither be envious against those who work unrighteousness.
Psalms 37:8	Psalms	37	8	lexical	Cease from anger, and forsake wrath. Don't fret, it leads only to acting from brokenness.	Cease from anger, and forsake wrath. Don't fret, it leads only to acting from evil.
Psalms 37:9	Psalms	37	9	lexical	For people who act from brokenness shall be cut off, but those who wait for YHWH shall inherit the land.	For people who do wrong shall be cut off, but those who wait for YHWH shall inherit the land.
Psalms 37:19	Psalms	37	19	lexical	They shall not be disappointed in the time of brokenness. In the days of famine they shall be satisfied.	They shall not be disappointed in the time of evil. In the days of famine they shall be satisfied.
Psalms 38:20	Psalms	38	20	lexical	They who also render brokenness for good are adversaries to me, because I follow what is good.	They who also render evil for good are adversaries to me, because I follow what is good.
Psalms 41:1	Psalms	41	1	lexical	Blessed is the one who considers the poor. YHWH will deliver them in the day of brokenness.	Blessed is the one who considers the poor. YHWH will deliver them in the day of evil.
Psalms 49:5	Psalms	49	5	lexical	Why should I fear in the days of brokenness, when iniquity at my heels surrounds me?	Why should I fear in the days of evil, when iniquity at my heels surrounds me?
Psalms 50:19	Psalms	50	19	lexical	"""You give your mouth to brokenness. Your tongue frames deceit."	"""You give your mouth to evil. Your tongue frames deceit."
Psalms 51:4	Psalms	51	4	lexical	Against you, and you only, have I sinned, and done that which is brokenness in your sight; that you may be proved right when you speak, and justified when you judge.	Against you, and you only, have I sinned, and done that which is evil in your sight; that you may be proved right when you speak, and justified when you judge.
Psalms 52:3	Psalms	52	3	lexical	You love brokenness more than good, lying rather than speaking the truth. Selah.	You love evil more than good, lying rather than speaking the truth. Selah.
Psalms 54:5	Psalms	54	5	lexical	YHWH will repay the brokenness to my enemies. Destroy them in your truth.	YHWH will repay the evil to my enemies. Destroy them in your truth.
Psalms 56:5	Psalms	56	5	lexical	All day long they twist my words. All their thoughts are against me for brokenness.	All day long they twist my words. All their thoughts are against me for evil.
Psalms 64:2	Psalms	64	2	lexical	Hide me from the conspiracy of the wicked, from the noisy crowd of the ones doing brokenness;	Hide me from the conspiracy of the wicked, from the noisy crowd of the ones doing wrong;
Psalms 64:5	Psalms	64	5	lexical	"They encourage themselves in brokenness plans. They talk about laying snares secretly. They say, ""Who will see them?"""	"They encourage themselves in evil plans. They talk about laying snares secretly. They say, ""Who will see them?"""
Psalms 74:3	Psalms	74	3	lexical	Lift up your feet to the perpetual ruins, all the brokenness that the enemy has done in the sanctuary.	Lift up your feet to the perpetual ruins, all the evil that the enemy has done in the sanctuary.
Psalms 78:49	Psalms	78	49	lexical	Elohim threw on them the fierceness of Elohim’s anger, wrath, indignation, and trouble, and a band of angels of brokenness.	Elohim threw on them the fierceness of Elohim’s anger, wrath, indignation, and trouble, and a band of angels of evil.
Psalms 89:22	Psalms	89	22	lexical	No enemy will tax him. No broken person will oppress him.	No enemy will tax him. No wicked person will oppress him.
Psalms 90:15	Psalms	90	15	lexical	Make us glad for as many days as you have afflicted us, for as many years as we have seen brokenness.	Make us glad for as many days as you have afflicted us, for as many years as we have seen evil.
Psalms 91:10	Psalms	91	10	lexical	no brokenness shall happen to you, neither shall any plague come near your dwelling.	no evil shall happen to you, neither shall any plague come near your dwelling.
Psalms 92:7	Psalms	92	7	lexical	though the wicked spring up as the grass, and all the people who act from brokenness flourish, they will be destroyed forever.	though the wicked spring up as the grass, and all the people who do wrong flourish, they will be destroyed forever.
Psalms 92:9	Psalms	92	9	lexical	For, behold, your enemies, YHWH, for, behold, your enemies shall perish. All the people who act from brokenness will be scattered.	For, behold, your enemies, YHWH, for, behold, your enemies shall perish. All the people who do wrong will be scattered.
Psalms 94:4	Psalms	94	4	lexical	They pour out arrogant words. All the people who act from brokenness boast.	They pour out arrogant words. All the people who do wrong boast.
Psalms 94:16	Psalms	94	16	lexical	Who will rise up for me against the wicked? Who will stand up for me against the people who act from brokenness?	Who will rise up for me against the wicked? Who will stand up for me against the people who do wrong?
Psalms 97:10	Psalms	97	10	lexical	You who love YHWH, hate brokenness. YHWH preserves the souls of YHWH’s saints. YHWH delivers them out of the hand of the wicked.	You who love YHWH, hate evil. YHWH preserves the souls of YHWH’s saints. YHWH delivers them out of the hand of the wicked.
Psalms 101:4	Psalms	101	4	lexical	A perverse heart will be far from me. I will have nothing to do with brokenness.	A perverse heart will be far from me. I will have nothing to do with evil.
Psalms 109:5	Psalms	109	5	lexical	They have rewarded me brokenness for good, and hatred for my love.	They have repaid me harm for good, and hatred for my love.
Psalms 109:6	Psalms	109	6	lexical	Set a broken person over him. Let an adversary stand at his right hand.	Set a wicked person over him. Let an adversary stand at his right hand.
Psalms 112:7	Psalms	112	7	lexical	They will not be afraid of brokenness news. Their heart is steadfast, trusting in YHWH.	They will not be afraid of bad news. Their heart is steadfast, trusting in YHWH.
Psalms 119:115	Psalms	119	115	lexical	Depart from me, you people who act from brokenness, that I may keep the commandments of my God.	Depart from me, you people who do wrong, that I may keep the commandments of my God.
Psalms 121:7	Psalms	121	7	lexical	YHWH will keep you from all brokenness. YHWH will keep your soul.	YHWH will keep you from all harm. YHWH will keep your soul.
Psalms 125:3	Psalms	125	3	lexical	For the scepter of wickedness won't remain over the allotment of the righteous; so that the righteous won't use their hands to do brokenness.	For the scepter of wickedness won't remain over the allotment of the righteous; so that the righteous won't use their hands to do wrong.
Psalms 140:1	Psalms	140	1	lexical	Deliver me, YHWH, from the brokenness man. Preserve me from the violent man;	Deliver me, YHWH, from the wicked person. Preserve me from the violent man;
Psalms 140:8	Psalms	140	8	lexical	YHWH, don't grant the desires of the wicked. Don't let their brokenness plans succeed, or they will become proud. Selah.	YHWH, don't grant the desires of the wicked. Don't let their evil plans succeed, or they will become proud. Selah.
Psalms 140:11	Psalms	140	11	lexical	A brokenness speaker won't be established in the earth. Brokenness will hunt the violent man to overthrow him.	A evil speaker won't be established in the earth. evil will hunt the violent man to overthrow him.
Psalms 141:5	Psalms	141	5	lexical	Let the righteous strike me, it is kindness; let them reprove me, it is like oil on the head; don't let my head refuse it; Yet my prayer is always against broken deeds.	Let the righteous strike me, it is kindness; let them reprove me, it is like oil on the head; don't let my head refuse it; Yet my prayer is always against wrong deeds.
Proverbs 1:16	Proverbs	1	16	lexical	for their feet run to brokenness. They hurry to shed blood.	for their feet run to evil. They hurry to shed blood.
Proverbs 2:12	Proverbs	2	12	lexical	to deliver you from the way of brokenness, from the people who speak perverse things;	to deliver you from the way of evil, from the people who speak perverse things;
Proverbs 2:14	Proverbs	2	14	lexical	who rejoice to do brokenness, and delight in the perverseness of brokenness;	who rejoice to do wrong, and delight in the perverseness of evil;
Proverbs 3:29	Proverbs	3	29	lexical	Don't devise brokenness against your neighbor, seeing they dwell securely by you.	Don't devise harm against your neighbor, seeing they dwell securely by you.
Proverbs 4:14	Proverbs	4	14	lexical	Don't enter into the path of the wicked. Don't walk in the way of brokenness men.	Don't enter into the path of the wicked. Don't walk in the way of wicked people.
Proverbs 4:16	Proverbs	4	16	lexical	For they don't sleep, unless they do brokenness. Their sleep is taken away, unless they make someone fall.	For they don't sleep, unless they do wrong. Their sleep is taken away, unless they make someone fall.
Proverbs 5:22	Proverbs	5	22	lexical	The broken deeds of the wicked ensnare them. The cords of their sin hold them firmly.	The wrong deeds of the wicked ensnare them. The cords of their sin hold them firmly.
Proverbs 6:14	Proverbs	6	14	lexical	in whose heart is perverseness, who devises brokenness continually, who always sows discord.	in whose heart is perverseness, who devises harm continually, who always sows discord.
Proverbs 8:13	Proverbs	8	13	lexical	Reverence for YHWH is to hate brokenness. I hate pride, arrogance, the broken way, and the perverse mouth.	Reverence for YHWH is to hate evil. I hate pride, arrogance, the wrong way, and the perverse mouth.
Proverbs 9:7	Proverbs	9	7	lexical	The one who corrects a mocker invites insult. The one who reproves a broken person invites abuse.	The one who corrects a mocker invites insult. The one who reproves a wicked person invites abuse.
Proverbs 11:7	Proverbs	11	7	lexical	When a broken person dies, hope perishes, and expectation of power comes to nothing.	When a wicked person dies, hope perishes, and expectation of power comes to nothing.
Proverbs 11:19	Proverbs	11	19	lexical	The one who is truly righteous gets life. The one who pursues brokenness gets death.	The one who is truly righteous gets life. The one who pursues evil gets death.
Proverbs 11:21	Proverbs	11	21	lexical	Most certainly, the brokenness man will not be unpunished, but the seed of the righteous will be delivered.	Most certainly, the wicked person will not be unpunished, but the seed of the righteous will be delivered.
Proverbs 11:27	Proverbs	11	27	lexical	The one who diligently seeks good seeks favor, but the one who searches after brokenness, it shall come to them.	The one who diligently seeks good seeks favor, but the one who searches after evil, it shall come to them.
Proverbs 12:12	Proverbs	12	12	lexical	The wicked desires the plunder of brokenness men, but the root of the righteous flourishes.	The wicked desires the plunder of wicked people, but the root of the righteous flourishes.
Proverbs 12:13	Proverbs	12	13	lexical	A brokenness a person is trapped by sinfulness of lips, but the righteous shall come out of trouble.	A wicked person is trapped by sinfulness of lips, but the righteous shall come out of trouble.
Proverbs 12:20	Proverbs	12	20	lexical	Deceit is in the heart of those who plot brokenness, but joy comes to the promoters of peace.	Deceit is in the heart of those who plot harm, but joy comes to the promoters of peace.
Proverbs 12:21	Proverbs	12	21	lexical	No mischief shall happen to the righteous, but the wicked shall be filled with brokenness.	No mischief shall happen to the righteous, but the wicked shall be filled with evil.
Proverbs 13:5	Proverbs	13	5	lexical	A righteous person hates lies, but a broken person brings shame and disgrace.	A righteous person hates lies, but a wicked person brings shame and disgrace.
Proverbs 14:16	Proverbs	14	16	lexical	A wise person fears, and shuns brokenness, but the fool is hotheaded and reckless.	A wise person fears, and shuns evil, but the fool is hotheaded and reckless.
Proverbs 14:19	Proverbs	14	19	lexical	The brokenness bow down before the good, and the wicked at the gates of the righteous.	Those who do wrong bow down before the good, and the wicked at the gates of the righteous.
Proverbs 14:22	Proverbs	14	22	lexical	Don't they go astray who plot brokenness? But love and faithfulness belong to those who plan good.	Don't they go astray who plot harm? But love and faithfulness belong to those who plan good.
Proverbs 15:3	Proverbs	15	3	lexical	YHWH's eyes are everywhere, keeping watch on the brokenness and the good.	YHWH's eyes are everywhere, keeping watch on the evil and the good.
Proverbs 15:28	Proverbs	15	28	lexical	The heart of the righteous weighs answers, but the mouth of the wicked gushes out brokenness.	The heart of the righteous weighs answers, but the mouth of the wicked gushes out evil.
