reference	triggers	text
Psalms 90:3	man	"You turn man to destruction, saying, ""Return, you children of people."""
Psalms 91:2	he	"I will say of YHWH, ""He is my refuge and my fortress; my God, in whom I trust."""
Psalms 91:14	he, his, him	"""Because he has set his love on me, therefore I will deliver him. I will set him on high, because he has known my name."
Psalms 91:15	he, him	He will call on me, and I will answer him. I will be with him in trouble. I will deliver him, and honor him.
Psalms 91:16	him	"I will satisfy him with long life, and show him my salvation."""
Psalms 92:6	man	A senseless man doesn't know, neither does a fool understand this:
Psalms 92:12	he	The righteous shall flourish like the palm tree. He will grow like a cedar in Levanon.
Psalms 94:10	man	The one who disciplines the nations, won't they punish? The one who teaches man knows.
Psalms 94:11	man	YHWH knows the thoughts of man, that they are futile.
Psalms 94:13	him	that you may give him rest from the days of adversity, until the pit is dug for the wicked.
Psalms 95:3	king	For YHWH is a great Elohim, a great King above all gods.
Psalms 95:9	fathers	when your fathers tempted me, tested me, and saw my work.
Psalms 96:9	him	Worship YHWH in holy array. Tremble before him, all the earth.
Psalms 97:7	him	Let all them be shamed who serve engraved images, who boast in their idols. Worship him, all you gods!
Psalms 98:6	king	With trumpets and sound of the ram's horn, make a joyful noise before the King, YHWH.
Psalms 99:4	king	The King's strength also loves justice. You do establish equity. You execute justice and righteousness in Ya'akov.
Psalms 101:3	men	I will set no vile thing before my eyes. I hate the deeds of faithless men. They will not cling to me.
Psalms 102:15	kings	So the nations will fear the name of YHWH; all the kings of the earth your glory.
Psalms 102:21	men	that men may declare the name of YHWH in Tzion, and YHWH’s praise in Yerushalayim;
Psalms 103:13	father, his	Like a father has compassion on his children, so YHWH has compassion on those who revere YHWH.
Psalms 103:15	man, his, he	As for man, his days are like grass. As a flower of the field, so he flourishes.
Psalms 104:14	man, he	YHWH causes the grass to grow for the livestock, and plants for man to cultivate, that he may bring forth food out of the earth:
Psalms 104:23	man, his	Man goes forth to his work, to his labor until the evening.
Psalms 104:34	him	Let your meditation be sweet to him. I will rejoice in YHWH.
Psalms 105:12	men	when they were but a few men in number, yes, very few, and foreigners in it.
Psalms 105:14	kings	They allowed no one to do them wrong. Yes, YHWH reproved kings for their sakes,
Psalms 105:18	his	They bruised his feet with shackles. His neck was locked in irons,
Psalms 105:19	his, him	until the time that his word happened, and YHWH's word proved him true.
Psalms 105:20	king, him	The king sent and freed him; even the ruler of peoples, and let him go free.
Psalms 105:21	he, him, lord, his	He made him lord of his house, and ruler of all of his possessions;
Psalms 105:22	his, princes	to discipline his princes at his pleasure, and to teach his elders wisdom.
Psalms 105:30	kings	Their land swarmed with frogs, even in the chambers of their kings.
Psalms 105:37	his	YHWH brought them forth with silver and gold. There was not one feeble person among his tribes.
Psalms 106:6	fathers	We have sinned with our fathers. We have committed iniquity. We have done wickedly.
Psalms 106:7	fathers	Our fathers didn't understand your wonders in Mitzrayim. They didn't remember the multitude of your loving kindnesses, but were rebellious at the sea, even at the Red Sea.
Psalms 106:31	him	That was credited to him for righteousness, for all generations to come.
Psalms 106:33	he, his	because they were rebellious against YHWH’s spirit, he spoke rashly with his lips.
Psalms 106:37	sons	Yes, they sacrificed their sons and their daughters to demons.
Psalms 106:38	sons	They shed innocent blood, even the blood of their sons and of their daughters, whom they sacrificed to the idols of Kena'an. The land was polluted with blood.
Psalms 106:43	he	Many times he delivered them, but they were rebellious in their counsel, and were brought low in their iniquity.
Psalms 106:44	he	Nevertheless he regarded their distress, when he heard their cry.
Psalms 106:48	amen	"Blessed be YHWH, the God of Israel, from everlasting even to everlasting! Let all the people say, ""Amen."" Praise Yah!"
Psalms 107:27	man	They reel back and forth, and stagger like a drunken man, and are at their wits' end.
Psalms 107:40	princes	YHWH pours contempt on princes, and causes them to wander in a trackless waste.
Psalms 108:7	his	"Elohim has spoken from his sanctuary: ""In triumph, I will divide Shekhem, and measure out the valley of Succoth."
Psalms 109:6	him, his	Set a broken person over him. Let an adversary stand at his right hand.
Psalms 109:7	he, him, his	When he is judged, let him come forth guilty. Let his prayer be turned into sin.
Psalms 109:8	his	Let his days be few. Let another take his office.
Psalms 109:9	his	Let his children be fatherless, and his wife a widow.
Psalms 109:10	his	Let his children be wandering beggars. Let them be sought from their ruins.
Psalms 109:11	he, his	Let the creditor seize all that he has. Let strangers plunder the fruit of his labor.
Psalms 109:12	him, his	Let there be none to extend kindness to him, neither let there be any to have pity on his fatherless children.
Psalms 109:13	his	Let his posterity be cut off. In the generation following let their name be blotted out.
Psalms 109:14	his, fathers	Let the iniquity of his fathers be remembered by YHWH. Don't let the sin of his mother be blotted out.
Psalms 109:15	he	Let them be before YHWH continually, that he may cut off the memory of them from the earth;
Psalms 109:16	he, man	because he didn't remember to show kindness, but persecuted the poor and needy man, the broken in heart, to kill them.
Psalms 109:17	he, him	Yes, he loved cursing, and it came to him. He didn't delight in blessing, and it was far from him.
Psalms 109:18	he, himself, his	He clothed himself also with cursing as with his garment. It came into his inward parts like water, like oil into his bones.
Psalms 109:19	him, he, himself	Let it be to him as the clothing with which he covers himself, for the belt that is always around him.
Psalms 109:30	him	I will give great thanks to YHWH with my mouth. Yes, I will praise him among the multitude.
Psalms 109:31	he, him, his	For he will stand at the right hand of the needy, to save him from those who judge his soul.
Psalms 110:5	he, kings, his	YHWH is at your right hand. He will crush kings in the day of his wrath.
Psalms 110:6	he	He will judge among the nations. He will heap up dead bodies. He will crush the ruler of the whole earth.
Psalms 110:7	he, his	He will drink of the brook in the way; therefore he will lift up his head.
Psalms 111:4	he, his	He has caused his wonderful works to be remembered. YHWH is gracious and merciful.
Psalms 112:2	his	His seed will be mighty in the land. The generation of the upright will be blessed.
Psalms 112:3	his	Wealth and riches are in his house. His righteousness endures forever.
Psalms 112:5	he, his	It is well with the one who deals graciously and lends. He will maintain his cause in judgment.
Psalms 112:6	he	For he will never be shaken. The righteous will be remembered forever.
Psalms 112:7	he, his	He will not be afraid of brokenness news. His heart is steadfast, trusting in YHWH.
Psalms 112:8	his, he	His heart is established. He will not be afraid in the end when he sees his adversaries.
Psalms 112:9	he, his	He has dispersed, he has given to the poor. His righteousness endures forever. His horn will be exalted with honor.
Psalms 112:10	he, his	The wicked will see it, and be grieved. He shall gnash with his teeth, and melt away. The desire of the wicked will perish.
Psalms 113:8	he, him, princes, his	that he may set him with princes, even with the princes of his people.
Psalms 114:2	his	Yehudah became his sanctuary, Israel his dominion.
Psalms 116:16	son	YHWH, truly I am your servant. I am your servant, the son of your handmaid. You have freed me from my chains.
Psalms 117:1	him	Praise YHWH, all you nations! Extol him, all you peoples!
Psalms 118:6	man	YHWH is on my side. I will not be afraid. What can man do to me?
Psalms 118:8	man	It is better to take refuge in YHWH, than to put confidence in man.
Psalms 118:9	princes	It is better to take refuge in YHWH, than to put confidence in princes.
Psalms 119:9	his	How can a young person keep his way pure? By living according to your word.
Psalms 119:23	princes	Though princes sit and slander me, your servant will meditate on your statutes.
Psalms 119:46	kings	I will also speak of your statutes before kings, and will not be disappointed.
Psalms 119:113	men	I hate double-minded men, but I love your law.
Psalms 119:134	man	Redeem me from the oppression of man, so I will observe your precepts.
Psalms 119:161	princes	Princes have persecuted me without a cause, but my heart stands in awe of your words.
Psalms 120:1	he	In my distress, I cried to YHWH. He answered me.
Psalms 122:8	brothers	"For my brothers' and companions' sakes, I will now say, ""Peace be within you."""
Psalms 123:2	master	Behold, as the eyes of servants look to the hand of their master, as the eyes of a maid to the hand of her mistress; so our eyes look to YHWH, our God, until YHWH has mercy on us.
Psalms 124:2	men	if it had not been YHWH who was on our side, when men rose up against us;
Psalms 127:1	watchman	Unless YHWH builds the house, they labor in vain who build it. Unless YHWH watches over the city, the watchman guards it in vain.
Psalms 127:2	he, his	It is vain for you to rise up early, to stay up late, eating the bread of toil; for he gives sleep to his loved ones.
Psalms 127:3	his	Behold, children are a heritage of YHWH. The fruit of the womb is his reward.
Psalms 127:4	man	As arrows in the hand of a mighty man, so are the children of youth.
Psalms 130:6	watchmen	My soul longs for YHWH more than watchmen long for the morning; more than watchmen for the morning.
Psalms 131:2	his	Surely I have stilled and quieted my soul, like a weaned child with his mother, like a weaned child is my soul within me.
Psalms 132:1	his	YHWH, remember Dawid and all his affliction,
Psalms 132:2	he	how he swore to YHWH, and vowed to the Mighty One of Ya'akov:
Psalms 132:7	his	"""We will go into his dwelling place. We will worship at his footstool."
Psalms 132:18	his, himself	"I will clothe his enemies with shame, but on himself, his crown will be resplendent."""
Psalms 133:1	brothers	See how good and how pleasant it is for brothers to live together in unity!
Psalms 133:2	his	It is like the precious oil on the head, that ran down on the beard, even Aharon's beard; that came down on the edge of his robes;
Psalms 135:1	him	Praise Yah! Praise the name of YHWH! Praise him, you servants of YHWH,
Psalms 135:8	man	Who struck the firstborn of Mitzrayim, both of man and animal;
Psalms 135:9	his	Who sent signs and wonders into the midst of you, Mitzrayim, on Pharaoh, and on all his servants;
Psalms 135:10	kings	who struck many nations, and killed mighty kings,
Psalms 135:11	king	Sihon king of the Amorites, Og king of Bashan, and all the kingdoms of Kena'an,
Psalms 136:15	his	But overthrew Pharaoh and his army in the Red Sea; for YHWH’s loving kindness endures forever:
Psalms 136:17	kings	To the one who struck great kings; for YHWH’s loving kindness endures forever;
Psalms 136:18	kings	And killed mighty kings; for YHWH’s loving kindness endures forever:
Psalms 136:19	king	Sihon king of the Amorites; for YHWH’s loving kindness endures forever;
Psalms 136:20	king	Og king of Bashan; for YHWH’s loving kindness endures forever;
Psalms 137:8	he	Daughter of Bavel, doomed to destruction, he will be happy who rewards you, as you have served us.
Psalms 137:9	he	Happy shall he be, who takes and dashes your little ones against the rock.
Psalms 138:4	kings	All the kings of the earth will give you thanks, YHWH, for they have heard the words of your mouth.
Psalms 139:19	men	If only you, Elohim, would kill the wicked. Get away from me, you bloodthirsty men!
Psalms 140:1	man	Deliver me, YHWH, from the brokenness man. Preserve me from the violent man;
Psalms 140:11	man, him	A brokenness speaker won't be established in the earth. Brokenness will hunt the violent man to overthrow him.
Psalms 141:5	him	Let the righteous strike me, it is kindness; let him reprove me, it is like oil on the head; don't let my head refuse it; Yet my prayer is always against broken deeds.
Psalms 142:2	him	I pour out my complaint before him. I tell him my troubles.
Psalms 143:3	he	For the enemy pursues my soul. He has struck my life down to the ground. He has made me live in dark places, as those who have been long dead.
Psalms 144:2	he	my loving kindness, my fortress, my high tower, my deliverer, my shield, and he in whom I take refuge; who subdues my people under me.
Psalms 144:3	man, him	YHWH, what is man, that you care for him? Or the child of humanity, that you think of them?
Psalms 144:4	his	A person is like a breath. His days are like a shadow that passes away.
Psalms 144:10	kings	You are the one who gives salvation to kings, who rescues Dawid, their servant, from the deadly sword.
Psalms 144:12	sons	Then our sons will be like well-nurtured plants, our daughters like pillars carved to adorn a palace.
Psalms 145:1	king	I will exalt you, my God, the King. I will praise your name forever and ever.
Psalms 145:6	men	Men will speak of the might of your awesome acts. I will declare your greatness.
Psalms 146:3	princes	Don't put your trust in princes, each a child of humanity in whom there is no help.
Psalms 146:4	his, he	His spirit departs, and he returns to the earth. In that very day, his thoughts perish.
Psalms 147:1	him	Praise Yah, for it is good to sing praises to our God; for it is pleasant and fitting to praise him.
Psalms 148:11	kings, princes	kings of the earth and all peoples; princes and all judges of the earth;
Psalms 148:12	men	both young people and maidens; old men and children:
Psalms 149:1	his	Praise YHWH! Sing to YHWH a new song, his praise in the assembly of the saints.
Psalms 149:2	king	Let Israel rejoice in the one who made them. Let the children of Tzion be joyful in their King.
Psalms 149:8	kings	To bind their kings with chains, and their nobles with fetters of iron;
Psalms 149:9	his	to execute on them the written judgment. All his saints have this honor. Praise Yah!
Psalms 150:1	his, him	Praise Yah! Praise Elohim in his sanctuary! Praise him in his heavens for his acts of power!
Psalms 150:2	him, his	Praise him for his mighty acts! Praise him according to his excellent greatness!
Psalms 150:3	him	Praise him with the sounding of the trumpet! Praise him with harp and lyre!
Psalms 150:4	him	Praise him with tambourine and dancing! Praise him with stringed instruments and flute!
Psalms 150:5	him	Praise him with loud cymbals! Praise him with resounding cymbals!
Proverbs 1:1	son, king	The proverbs of Shlomo, the son of Dawid, king of Israel:
Proverbs 1:8	father	My child, listen to your father's instruction, and don't forsake your mother's teaching:
Proverbs 2:8	he, his	that he may guard the paths of justice, and preserve the way of his saints.
Proverbs 2:20	men	that you may walk in the way of good men, and keep the paths of the righteous.
Proverbs 3:4	man	So you will find favor, and good understanding in the sight of Elohim and man.
Proverbs 3:6	him, he	In all your ways acknowledge him, and he will make your paths straight.
Proverbs 3:12	father, son, he	for whom YHWH loves, YHWH reproves; even as a father reproves the son in whom he delights.
Proverbs 3:20	his	By his knowledge, the depths were broken up, and the skies drop down the dew.
Proverbs 3:29	he	Don't devise brokenness against your neighbor, seeing he dwells securely by you.
Proverbs 3:31	his	Don't envy the violent person. Choose none of his ways.
Proverbs 3:34	he	Surely he mocks the mockers, but he gives grace to the humble.
Proverbs 4:1	sons, father	Listen, sons, to a father's instruction. Pay attention and know understanding;
Proverbs 4:3	son, father	For I was a son to my father, tender and an only child in the sight of my mother.
Proverbs 4:4	he	"He taught me, and said to me: ""Let your heart retain my words. Keep my commandments, and live."
Proverbs 4:14	men	Don't enter into the path of the wicked. Don't walk in the way of brokenness men.
Proverbs 5:21	man, his	For the ways of man are before the eyes of YHWH. YHWH examines all his paths.
Proverbs 5:22	him, his	The broken deeds of the wicked ensnare him. The cords of his sin hold him firmly.
Proverbs 5:23	he, his	He will die for lack of instruction. In the greatness of his folly, he will go astray.
Proverbs 6:11	man	so your poverty will come as a robber, and your scarcity as an armed man.
Proverbs 6:13	his	who winks with his eyes, who signals with his feet, who motions with his fingers;
Proverbs 6:15	his, he	Therefore his calamity will come suddenly. He will be broken suddenly, and that without remedy.
Proverbs 6:19	brothers	a false witness who utters lies, and the one who sows discord among brothers.
Proverbs 6:20	father	My child, keep your father's commandment, and don't forsake your mother's teaching.
Proverbs 6:28	his	Or can one walk on hot coals, and his feet not be scorched?
Proverbs 6:30	men, he, himself	Men don't despise a thief, if he steals to satisfy himself when he is hungry:
Proverbs 6:31	he, his	but if he is found, he shall restore seven times. He shall give all the wealth of his house.
Proverbs 6:33	he, his	He will get wounds and dishonor. His reproach will not be wiped away.
Proverbs 6:34	husband, he	For jealousy arouses the fury of the husband. He won't spare in the day of vengeance.
Proverbs 6:35	he	He won't regard any ransom, neither will he rest content, though you give many gifts.
Proverbs 7:8	he	passing through the street near her corner, he went the way to her house,
Proverbs 7:10	him	Behold, there a woman met him with the attire of a prostitute, and with crafty intent.
Proverbs 7:13	him	So she caught him, and kissed him. With an impudent face she said to him:
Proverbs 7:19	husband, he	For my husband isn't at home. He has gone on a long journey.
Proverbs 7:20	he, him	"He has taken a bag of money with him. He will come home at the full moon."""
Proverbs 7:21	him	With persuasive words, she led him astray. With the flattering of her lips, she seduced him.
Proverbs 7:23	his	Until an arrow strikes through his liver, as a bird hurries to the snare, and doesn't know that it will cost his life.
Proverbs 7:24	sons	Now therefore, sons, listen to me. Pay attention to the words of my mouth.
Proverbs 8:4	men, sons	"""To you men, I call! I send my voice to the sons of humanity."
Proverbs 8:15	kings, princes	By me kings reign, and princes decree justice.
Proverbs 8:16	princes	By me princes rule; nobles, and all the righteous rulers of the earth.
Proverbs 8:26	he	while as yet he had not made the earth, nor the fields, nor the beginning of the dust of the world.
Proverbs 8:27	he	When he established the heavens, I was there; when he set a circle on the surface of the deep,
Proverbs 8:28	he	when he established the clouds above, when the springs of the deep became strong,
Proverbs 8:29	he, his	when he gave to the sea its boundary, that the waters should not violate his commandment, when he marked out the foundations of the earth;
Proverbs 8:30	craftsman, his, him	then I was the craftsman by his side. I was a delight day by day, always rejoicing before him,
Proverbs 8:31	his	Rejoicing in his whole world. My delight was with the human beings.
Proverbs 9:8	he	Don't reprove a scoffer, lest he hate you. Reprove a wise person, and they will love you.
Proverbs 9:18	he	But he doesn't know that the dead are there, that her guests are in the depths of Sheol.
Proverbs 10:1	son, father, his	The proverbs of Shlomo. A wise son makes a glad father; but a foolish son brings grief to his mother.
Proverbs 10:4	he	He becomes poor who works with a lazy hand, but the hand of the diligent brings wealth.
Proverbs 10:5	son	The one who gathers in summer is a wise son, but the one who sleeps during the harvest is a son who causes shame.
Proverbs 10:26	him	As vinegar to the teeth, and as smoke to the eyes, so is the sluggard to those who send him.
Proverbs 11:5	his	The righteousness of the blameless will direct his way, but the wicked shall fall by his own wickedness.
Proverbs 11:9	his, man	With his mouth the godless man destroys his neighbor, but the righteous will be delivered through knowledge.
Proverbs 11:16	men	A gracious woman obtains honor, but violent men obtain riches.
Proverbs 11:17	man	The merciful man does good to their own soul, but the one who is cruel troubles their own flesh.
Proverbs 11:21	man	Most certainly, the brokenness man will not be unpunished, but the seed of the righteous will be delivered.
Proverbs 12:2	man	A good man shall obtain favor from YHWH, but they will condemn a person of wicked devices.
Proverbs 12:4	husband, his	A worthy woman is the crown of her husband, but a disgraceful wife is as rottenness in his bones.
Proverbs 12:12	men	The wicked desires the plunder of brokenness men, but the root of the righteous flourishes.
Proverbs 12:23	man, his	A prudent man keeps his knowledge, but the hearts of fools proclaim foolishness.
Proverbs 12:27	man, his	The slothful man doesn't roast his game, but the possessions of diligent people are prized.
Proverbs 13:1	son, his, father	A wise son listens to his father's instruction, but a scoffer doesn't listen to rebuke.
Proverbs 13:16	man	Every prudent man acts from knowledge, but a fool exposes folly.
Proverbs 13:22	man, his	A good man leaves an inheritance to his children's children, but the wealth of the sinner is stored for the righteous.
Proverbs 13:24	son, him	One who spares the rod hates their son, but one who loves him is careful to discipline him.
Proverbs 13:25	his	The righteous one eats to the satisfying of his soul, but the belly of the wicked goes hungry.
Proverbs 14:10	he	The heart knows its own bitterness and joy; he will not share these with a stranger.
Proverbs 14:14	his, man	The unfaithful will be repaid for his own ways; likewise a good man will be rewarded for his ways.
Proverbs 14:28	king, prince	In the multitude of people is the king's glory, but in the lack of people is the destruction of the prince.
Proverbs 14:31	him	The one who oppresses the poor shows contempt for their Maker, but the one who is kind to the needy honors him.
Proverbs 14:32	his	The wicked is brought down in his calamity, but in death, the righteous has a refuge.
Proverbs 14:35	king	The king's favor is toward a servant who deals wisely, but their wrath is toward one who causes shame.
Proverbs 15:5	father	A fool despises their father's correction, but the one who heeds reproof shows prudence.
Proverbs 15:12	he	A scoffer doesn't love to be reproved; he will not go to the wise.
Proverbs 15:18	man	A wrathful man stirs up contention, but one who is slow to anger appeases strife.
Proverbs 15:20	son, father	A wise son makes a father glad, but a foolish person despises their mother.
Proverbs 15:24	him	The path of life leads upward for the wise, to keep him from going downward to Sheol.
Proverbs 16:1	man	The plans of the heart belong to man, but the answer of the tongue is from YHWH.
Proverbs 16:6	men	By mercy and truth iniquity is atoned for. By reverence for YHWH men depart from harm.
Proverbs 16:7	him	When someone's ways please YHWH, they make even their enemies to be at peace with him.
Proverbs 16:10	king, he, his	Inspired judgments are on the lips of the king. He shall not betray his mouth.
Proverbs 16:12	kings	It is an abomination for kings to do wrong, for the throne is established by righteousness.
Proverbs 16:13	kings	Righteous lips are the delight of kings. They value one who speaks the truth.
Proverbs 16:14	king	The king's wrath is a messenger of death, but a wise person will pacify it.
Proverbs 16:15	king, his	In the light of the king's face is life. His favor is like a cloud of the spring rain.
Proverbs 16:23	his	The heart of the wise instructs his mouth, and adds learning to his lips.
Proverbs 16:26	man, him, his	The appetite of the laboring man labors for him; for his mouth urges him on.
Proverbs 16:27	man, his	A worthless man devises mischief. His speech is like a scorching fire.
Proverbs 16:28	man	A perverse man stirs up strife. A whisperer separates close friends.
Proverbs 17:2	son, brothers	A servant who deals wisely will rule over a son who causes shame, and shall have a part in the inheritance among the brothers.
Proverbs 17:6	men	Children's children are the crown of old men; the glory of children are their parents.
Proverbs 17:7	prince	Arrogant speech isn't fitting for a fool, much less do lying lips fit a prince.
Proverbs 17:8	he	A bribe is a precious stone in the eyes of the one who gives it; wherever he turns, he prospers.
Proverbs 17:11	man, him	A brokenness man seeks only rebellion; therefore a cruel messenger shall be sent against him.
Proverbs 17:17	brother	A friend loves at all times; and a brother is born for adversity.
Proverbs 17:21	father	The one who becomes the father of a fool grieves. The father of a fool has no joy.
Proverbs 17:25	son, his, father, him	A foolish son brings grief to his father, and bitterness to her who bore him.
Proverbs 17:28	he, his	Even a fool, when they keep silent, is counted wise. When he shuts his lips, he is thought to be discerning.
Proverbs 18:1	man	An unfriendly man pursues selfishness, and defies all sound judgment.
Proverbs 18:9	brother, master	One who is slack in their work is brother to the one who is a master of destruction.
Proverbs 18:19	brother	A brother offended is more difficult than a fortified city; and disputes are like the bars of a castle.
Proverbs 18:20	his, he	A person's stomach is filled with the fruit of their mouth. With the harvest of his lips he is satisfied.
Proverbs 18:24	brother	A person of many companions may be ruined, but there is a friend who sticks closer than a brother.
Proverbs 19:3	man, his	The foolishness of man subverts his way; his heart rages against YHWH.
Proverbs 19:4	his	Wealth adds many friends, but the poor is separated from his friend.
Proverbs 19:7	him, his, he	All the relatives of the poor shun him: how much more do his friends avoid him! He pursues them with pleas, but they are gone.
Proverbs 19:10	princes	Delicate living is not appropriate for a fool, much less for a servant to have rule over princes.
Proverbs 19:11	his	The discretion of a person makes them slow to anger. It is his glory to overlook an offense.
Proverbs 19:12	king, his	The king's wrath is like the roaring of a lion, but his favor is like dew on the grass.
Proverbs 19:13	son, his, father	A foolish son is the calamity of his father. A wife's quarrels are a continual dripping.
Proverbs 19:14	fathers	House and riches are an inheritance from fathers, but a prudent wife is from YHWH.
Proverbs 19:18	son, his	Discipline your son, for there is hope; don't be a willing party to his death.
Proverbs 19:19	him	A hot-tempered person must pay the penalty, for if you rescue him, you must do it again.
Proverbs 19:23	he	Reverence for YHWH leads to life, then contentment; he rests and will not be touched by trouble.
Proverbs 19:24	his, he	The sluggard buries his hand in the dish; he will not so much as bring it to his mouth again.
Proverbs 19:26	father, son	The one who robs their father and drives away their mother, is a son who causes shame and brings reproach.
Proverbs 20:2	king	The terror of a king is like the roaring of a lion. The one who provokes them to anger forfeits their own life.
Proverbs 20:4	he	The sluggard will not plow by reason of the winter; therefore he shall beg in harvest, and have nothing.
Proverbs 20:6	men, man	Many men claim to be men of unfailing love, but who can find a faithful man?
Proverbs 20:7	his, him	A righteous person walks in integrity. Blessed are his children after him.
Proverbs 20:8	king, his	A king who sits on the throne of judgment scatters away all brokenness with his eyes.
Proverbs 20:11	himself, his	Even a child makes himself known by his doings, whether his work is pure, and whether it is right.
Proverbs 20:14	he, his	"""It's no good, it's no good,"" says the buyer; but when he is gone his way, then he boasts."
Proverbs 20:16	him	Take the garment of one who puts up collateral for a stranger; and hold him in pledge for a wayward woman.
Proverbs 20:20	father	Whoever curses their father or their mother, their lamp shall be put out in blackness of darkness.
Proverbs 20:26	king	A wise king winnows out the wicked, and drives the threshing wheel over them.
Proverbs 20:28	king, his	Love and faithfulness keep the king safe. His throne is sustained by love.
Proverbs 20:29	men	The glory of young people is their strength. The splendor of old men is their gray hair.
Proverbs 21:1	king	The king's heart is in YHWH's hand like the watercourses. YHWH turns it wherever YHWH desires.
Proverbs 21:10	his	The soul of the wicked desires brokenness; his neighbor finds no mercy in his eyes.
Proverbs 21:11	he	When the mocker is punished, the simple gains wisdom. When the wise is instructed, he receives knowledge.
Proverbs 21:17	man	The one who loves pleasure shall be a poor man. The one who loves wine and oil shall not be rich.
Proverbs 21:24	man, his, he	"The proud and haughty man, ""scoffer"" is his name; he works in the arrogance of pride."
Proverbs 21:25	him, his	The desire of the sluggard kills him, for his hands refuse to labor.
Proverbs 21:27	he	The sacrifice of the wicked is an abomination: how much more, when he brings it with a wicked mind!
Proverbs 21:29	he, his	A broken person hardens their face; but as for the upright, he establishes his ways.
Proverbs 22:3	man, himself	A prudent man sees danger, and hides himself; but the simple pass on, and suffer for it.
Proverbs 22:6	he	Train up a child in the way he should go, and when he is old he will not depart from it.
Proverbs 22:11	king	The one who loves purity of heart and speaks gracefully is the king's friend.
Proverbs 22:15	him	Folly is bound up in the heart of a child: the rod of discipline drives it far from him.
Proverbs 22:22	he	Don't exploit the poor, because he is poor; and don't crush the needy in court;
Proverbs 22:25	his	lest you learn his ways, and ensnare your soul.
Proverbs 22:27	he	If you don't have means to pay, why should he take away your bed from under you?
Proverbs 22:28	fathers	Don't move the ancient boundary stone, which your fathers have set up.
Proverbs 22:29	he, kings, men	Do you see a person skilled in their work? He will serve kings. He won't serve obscure men.
Proverbs 23:3	his	Don't be desirous of his dainties, seeing they are deceitful food.
Proverbs 23:7	he, his	"for as he thinks about the cost, so he is. ""Eat and drink!"" he says to you, but his heart is not with you."
Proverbs 23:11	he	for their Defender is strong. He will plead their case against you.
Proverbs 23:13	him, he	Don't withhold correction from a child. If you punish him with the rod, he will not die.
Proverbs 23:14	him, his	Punish him with the rod, and save his soul from Sheol.
Proverbs 23:22	father	Listen to your father who gave you life, and don't despise your mother when she is old.
Proverbs 23:24	father	The father of the righteous has great joy. Whoever raises a wise child delights in them.
Proverbs 23:25	father	Let your father and your mother be glad! Let her who bore you rejoice!
Proverbs 23:28	men	Yes, she lies in wait like a robber, and increases the unfaithful among men.
Proverbs 24:1	men	Don't be envious of brokenness men; neither desire to be with them:
Proverbs 24:5	man	A wise person has great power; and a knowledgeable man increases strength;
Proverbs 24:9	men	The schemes of folly are sin. The mocker is detested by men.
Proverbs 24:15	his	Don't lay in wait, broken person, against the habitation of the righteous. Don't destroy his resting place:
Proverbs 24:17	he	Don't rejoice when your enemy falls. Don't let your heart be glad when he is overthrown;
Proverbs 24:18	him	lest YHWH see it, and it displease YHWH, and YHWH turn away YHWH’s wrath from him.
Proverbs 24:20	man	for there will be no reward to the brokenness man; and the lamp of the wicked shall be snuffed out.
Proverbs 24:21	king	My child, revere YHWH and the king. Don't join those who are rebellious:
Proverbs 24:24	him	"The one who says to the wicked, ""You are righteous;"" peoples shall curse him, and nations shall abhor him--"
Proverbs 24:29	him, he	"Don't say, ""I will do to him as he has done to me; I will render to the person according to their work."""
Proverbs 24:34	man	so shall your poverty come as a robber, and your want as an armed man.
Proverbs 25:1	men, king	These also are proverbs of Shlomo, which the men of Chizkiyahu king of Yehudah copied out.
Proverbs 25:2	kings	It is the glory of Elohim to conceal a thing, but the glory of kings is to search out a matter.
Proverbs 25:3	kings	As the heavens for height, and the earth for depth, so the hearts of kings are unsearchable.
Proverbs 25:5	king, his	Take away the wicked from the king's presence, and his throne will be established in righteousness.
Proverbs 25:6	king	Don't exalt yourself in the presence of the king, or claim a place among great people;
Proverbs 25:7	prince	"for it is better that it be said to you, ""Come up here,"" than that you should be put lower in the presence of the prince, whom your eyes have seen."
Proverbs 25:13	him, he, his, masters	As the cold of snow in the time of harvest, so is a faithful messenger to those who send him; for he refreshes the soul of his masters.
Proverbs 25:17	he	Let your foot be seldom in your neighbor's house, lest he be weary of you, and hate you.
Proverbs 25:21	him, he	If your enemy is hungry, give him food to eat. If he is thirsty, give him water to drink:
Proverbs 25:22	his	for you will heap coals of fire on his head, and YHWH will reward you.
Proverbs 26:14	his	As the door turns on its hinges, so does the sluggard on his bed.
Proverbs 26:15	his, he	The sluggard buries his hand in the dish. He is too lazy to bring it back to his mouth.
Proverbs 26:16	his	The sluggard is wiser in his own eyes than seven people who answer with discretion.
Proverbs 26:18	madman	Like a madman who shoots firebrands, arrows, and death,
Proverbs 26:21	man	As coals are to hot embers, and wood to fire, so is a contentious man to kindling strife.
Proverbs 26:24	man, himself, his, he	A malicious man disguises himself with his lips, but he harbors brokenness in his heart.
Proverbs 26:25	his, him	When his speech is charming, don't believe him; for there are seven abominations in his heart.
Proverbs 26:26	his	His malice may be concealed by deception, but his wickedness will be exposed in the assembly.
Proverbs 27:2	man	Let another man praise you, and not your own mouth; a stranger, and not your own lips.
